N = 10;
T = 14;
K = 1;
C = 73.0;
furnance = 2;
color = 3;
machines = [4];
products = [14 15 238 223 222 231 21 185 463 224];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.84048],[3.8020752],[3.6292536],[4.032504],[4.176522],[3.3591398399999997],[4.7109888],[3.8276784],[4.4933616],[4.32054]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]];
Sijk = [[[0.0],[7.0],[12.0],[7.0],[10.0],[10.0],[11.0],[7.0],[12.0],[11.0]]
[[10.0],[0.0],[8.0],[13.0],[9.0],[6.0],[10.0],[8.0],[11.0],[11.0]]
[[12.0],[9.0],[0.0],[11.0],[8.0],[9.0],[13.0],[12.0],[11.0],[12.0]]
[[11.0],[9.0],[8.0],[0.0],[13.0],[11.0],[11.0],[8.0],[14.0],[9.0]]
[[9.0],[12.0],[11.0],[12.0],[0.0],[9.0],[14.0],[13.0],[13.0],[9.0]]
[[7.0],[7.0],[12.0],[12.0],[12.0],[0.0],[10.0],[8.0],[14.0],[14.0]]
[[13.0],[11.0],[7.0],[8.0],[12.0],[10.0],[0.0],[13.0],[13.0],[13.0]]
[[9.0],[8.0],[12.0],[8.0],[13.0],[7.0],[12.0],[0.0],[9.0],[9.0]]
[[11.0],[8.0],[9.0],[13.0],[13.0],[8.0],[13.0],[7.0],[0.0],[12.0]]
[[13.0],[8.0],[9.0],[11.0],[11.0],[11.0],[10.0],[9.0],[11.0],[0.0]]];
Cijk = [[[0.0],[7.0],[12.0],[7.0],[10.0],[10.0],[11.0],[7.0],[12.0],[11.0]]
[[10.0],[0.0],[8.0],[13.0],[9.0],[6.0],[10.0],[8.0],[11.0],[11.0]]
[[12.0],[9.0],[0.0],[11.0],[8.0],[9.0],[13.0],[12.0],[11.0],[12.0]]
[[11.0],[9.0],[8.0],[0.0],[13.0],[11.0],[11.0],[8.0],[14.0],[9.0]]
[[9.0],[12.0],[11.0],[12.0],[0.0],[9.0],[14.0],[13.0],[13.0],[9.0]]
[[7.0],[7.0],[12.0],[12.0],[12.0],[0.0],[10.0],[8.0],[14.0],[14.0]]
[[13.0],[11.0],[7.0],[8.0],[12.0],[10.0],[0.0],[13.0],[13.0],[13.0]]
[[9.0],[8.0],[12.0],[8.0],[13.0],[7.0],[12.0],[0.0],[9.0],[9.0]]
[[11.0],[8.0],[9.0],[13.0],[13.0],[8.0],[13.0],[7.0],[0.0],[12.0]]
[[13.0],[8.0],[9.0],[11.0],[11.0],[11.0],[10.0],[9.0],[11.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
