N = 10;
T = 7;
K = 4;
C = 292.0;
furnance = 2;
color = 1;
machines = [4 5 6 7];
products = [461 123 101 135 137 216 241 431 443 204];
MINik = [[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0]];
MAXik = [[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0]];
Pik = [[4.608576 4.608576 4.608576 4.608576],[2.71841976 2.71841976 2.71841976 2.71841976],[4.408551 4.408551 4.408551 4.408551],[2.784348 2.784348 2.784348 2.784348],[2.784348 2.784348 2.784348 2.784348],[4.096512 4.096512 4.096512 4.096512],[3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003],[2.9571696000000003 2.9571696000000003 2.9571696000000003 2.9571696000000003],[3.7636704 3.7636704 3.7636704 3.7636704],[3.744468 3.744468 3.744468 3.744468]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 117.0],[0.0 0.0 0.0 0.0 0.0 0.0 166.0],[0.0 0.0 0.0 0.0 0.0 0.0 157.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0],[0.0 0.0 0.0 0.0 0.0 0.0 106.0],[0.0 0.0 0.0 0.0 0.0 0.0 104.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 159.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 59.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[9.0 6.0 10.0 7.0],[10.0 14.0 1.0E9 13.0],[7.0 8.0 9.0 7.0],[8.0 9.0 8.0 8.0],[9.0 13.0 1.0E9 14.0],[6.0 7.0 9.0 12.0],[8.0 8.0 12.0 7.0],[12.0 11.0 1.0E9 11.0],[10.0 11.0 1.0E9 8.0]]
[[12.0 10.0 1.0E9 11.0],[0.0 0.0 0.0 0.0],[8.0 9.0 1.0E9 9.0],[8.0 9.0 8.0 10.0],[8.0 9.0 7.0 10.0],[7.0 13.0 1.0E9 12.0],[6.0 10.0 11.0 10.0],[9.0 10.0 10.0 10.0],[10.0 10.0 1.0E9 14.0],[7.0 8.0 1.0E9 9.0]]
[[11.0 12.0 1.0E9 10.0],[9.0 7.0 9.0 6.0],[0.0 0.0 0.0 0.0],[7.0 7.0 8.0 7.0],[7.0 9.0 11.0 10.0],[11.0 11.0 1.0E9 14.0],[6.0 6.0 9.0 11.0],[6.0 8.0 12.0 7.0],[12.0 10.0 1.0E9 10.0],[11.0 10.0 1.0E9 15.0]]
[[14.0 9.0 1.0E9 13.0],[9.0 8.0 11.0 11.0],[14.0 12.0 1.0E9 11.0],[0.0 0.0 0.0 0.0],[9.0 9.0 9.0 10.0],[7.0 11.0 1.0E9 13.0],[7.0 6.0 13.0 8.0],[7.0 6.0 8.0 9.0],[13.0 7.0 1.0E9 8.0],[11.0 7.0 1.0E9 9.0]]
[[10.0 13.0 1.0E9 12.0],[8.0 8.0 11.0 10.0],[9.0 14.0 1.0E9 14.0],[6.0 8.0 12.0 10.0],[0.0 0.0 0.0 0.0],[8.0 9.0 1.0E9 10.0],[7.0 10.0 10.0 13.0],[8.0 6.0 12.0 8.0],[10.0 9.0 1.0E9 13.0],[9.0 10.0 1.0E9 9.0]]
[[8.0 11.0 1.0E9 9.0],[6.0 6.0 7.0 6.0],[14.0 11.0 1.0E9 10.0],[9.0 7.0 11.0 9.0],[7.0 9.0 8.0 9.0],[0.0 0.0 0.0 0.0],[10.0 7.0 7.0 11.0],[9.0 5.0 11.0 8.0],[12.0 12.0 1.0E9 9.0],[12.0 7.0 1.0E9 12.0]]
[[11.0 13.0 1.0E9 15.0],[8.0 7.0 10.0 7.0],[10.0 14.0 1.0E9 14.0],[7.0 6.0 8.0 11.0],[7.0 6.0 8.0 7.0],[13.0 13.0 1.0E9 15.0],[0.0 0.0 0.0 0.0],[8.0 8.0 10.0 9.0],[9.0 9.0 1.0E9 10.0],[10.0 9.0 1.0E9 13.0]]
[[13.0 12.0 1.0E9 9.0],[8.0 6.0 6.0 7.0],[9.0 12.0 1.0E9 14.0],[7.0 7.0 7.0 11.0],[9.0 8.0 9.0 11.0],[13.0 8.0 1.0E9 8.0],[7.0 6.0 7.0 9.0],[0.0 0.0 0.0 0.0],[10.0 12.0 1.0E9 13.0],[9.0 8.0 1.0E9 11.0]]
[[8.0 13.0 1.0E9 8.0],[9.0 5.0 10.0 6.0],[11.0 9.0 1.0E9 8.0],[5.0 6.0 10.0 11.0],[6.0 9.0 11.0 11.0],[11.0 8.0 1.0E9 10.0],[8.0 7.0 11.0 8.0],[5.0 9.0 12.0 10.0],[0.0 0.0 0.0 0.0],[10.0 11.0 1.0E9 10.0]]
[[14.0 15.0 1.0E9 9.0],[8.0 8.0 11.0 9.0],[9.0 14.0 1.0E9 14.0],[7.0 6.0 11.0 7.0],[8.0 7.0 11.0 8.0],[9.0 10.0 1.0E9 15.0],[8.0 7.0 7.0 7.0],[7.0 8.0 8.0 9.0],[9.0 11.0 1.0E9 9.0],[0.0 0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0 0.0],[9.0 6.0 10.0 7.0],[10.0 14.0 1.0E9 13.0],[7.0 8.0 9.0 7.0],[8.0 9.0 8.0 8.0],[9.0 13.0 1.0E9 14.0],[6.0 7.0 9.0 12.0],[8.0 8.0 12.0 7.0],[12.0 11.0 1.0E9 11.0],[10.0 11.0 1.0E9 8.0]]
[[12.0 10.0 1.0E9 11.0],[0.0 0.0 0.0 0.0],[8.0 9.0 1.0E9 9.0],[8.0 9.0 8.0 10.0],[8.0 9.0 7.0 10.0],[7.0 13.0 1.0E9 12.0],[6.0 10.0 11.0 10.0],[9.0 10.0 10.0 10.0],[10.0 10.0 1.0E9 14.0],[7.0 8.0 1.0E9 9.0]]
[[11.0 12.0 1.0E9 10.0],[9.0 7.0 9.0 6.0],[0.0 0.0 0.0 0.0],[7.0 7.0 8.0 7.0],[7.0 9.0 11.0 10.0],[11.0 11.0 1.0E9 14.0],[6.0 6.0 9.0 11.0],[6.0 8.0 12.0 7.0],[12.0 10.0 1.0E9 10.0],[11.0 10.0 1.0E9 15.0]]
[[14.0 9.0 1.0E9 13.0],[9.0 8.0 11.0 11.0],[14.0 12.0 1.0E9 11.0],[0.0 0.0 0.0 0.0],[9.0 9.0 9.0 10.0],[7.0 11.0 1.0E9 13.0],[7.0 6.0 13.0 8.0],[7.0 6.0 8.0 9.0],[13.0 7.0 1.0E9 8.0],[11.0 7.0 1.0E9 9.0]]
[[10.0 13.0 1.0E9 12.0],[8.0 8.0 11.0 10.0],[9.0 14.0 1.0E9 14.0],[6.0 8.0 12.0 10.0],[0.0 0.0 0.0 0.0],[8.0 9.0 1.0E9 10.0],[7.0 10.0 10.0 13.0],[8.0 6.0 12.0 8.0],[10.0 9.0 1.0E9 13.0],[9.0 10.0 1.0E9 9.0]]
[[8.0 11.0 1.0E9 9.0],[6.0 6.0 7.0 6.0],[14.0 11.0 1.0E9 10.0],[9.0 7.0 11.0 9.0],[7.0 9.0 8.0 9.0],[0.0 0.0 0.0 0.0],[10.0 7.0 7.0 11.0],[9.0 5.0 11.0 8.0],[12.0 12.0 1.0E9 9.0],[12.0 7.0 1.0E9 12.0]]
[[11.0 13.0 1.0E9 15.0],[8.0 7.0 10.0 7.0],[10.0 14.0 1.0E9 14.0],[7.0 6.0 8.0 11.0],[7.0 6.0 8.0 7.0],[13.0 13.0 1.0E9 15.0],[0.0 0.0 0.0 0.0],[8.0 8.0 10.0 9.0],[9.0 9.0 1.0E9 10.0],[10.0 9.0 1.0E9 13.0]]
[[13.0 12.0 1.0E9 9.0],[8.0 6.0 6.0 7.0],[9.0 12.0 1.0E9 14.0],[7.0 7.0 7.0 11.0],[9.0 8.0 9.0 11.0],[13.0 8.0 1.0E9 8.0],[7.0 6.0 7.0 9.0],[0.0 0.0 0.0 0.0],[10.0 12.0 1.0E9 13.0],[9.0 8.0 1.0E9 11.0]]
[[8.0 13.0 1.0E9 8.0],[9.0 5.0 10.0 6.0],[11.0 9.0 1.0E9 8.0],[5.0 6.0 10.0 11.0],[6.0 9.0 11.0 11.0],[11.0 8.0 1.0E9 10.0],[8.0 7.0 11.0 8.0],[5.0 9.0 12.0 10.0],[0.0 0.0 0.0 0.0],[10.0 11.0 1.0E9 10.0]]
[[14.0 15.0 1.0E9 9.0],[8.0 8.0 11.0 9.0],[9.0 14.0 1.0E9 14.0],[7.0 6.0 11.0 7.0],[8.0 7.0 11.0 8.0],[9.0 10.0 1.0E9 15.0],[8.0 7.0 7.0 7.0],[7.0 8.0 8.0 9.0],[9.0 11.0 1.0E9 9.0],[0.0 0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
