N = 5;
T = 14;
K = 5;
C = 365.0;
furnance = 2;
color = 1;
machines = [4 5 6 7 8];
products = [443 241 260 163 415];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0]];
Pik = [[3.7636704 3.7636704 3.7636704 3.7636704 3.7636704],[3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003],[4.32054 4.32054 4.32054 4.32054 4.32054],[3.648456 3.648456 3.648456 3.648456 3.648456],[3.84048 3.84048 3.84048 3.84048 3.84048]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 277.0 0.0 0.0 0.0 0.0 0.0 0.0 108.0],[0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 92.0],[0.0 0.0 0.0 0.0 0.0 0.0 423.0 0.0 0.0 0.0 0.0 0.0 0.0 409.0],[0.0 0.0 0.0 0.0 0.0 0.0 373.0 0.0 0.0 0.0 0.0 0.0 0.0 116.0],[0.0 0.0 0.0 0.0 0.0 0.0 331.0 0.0 0.0 0.0 0.0 0.0 0.0 403.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[7.0 9.0 10.0 7.0 11.0],[8.0 13.0 8.0 12.0 15.0],[9.0 9.0 12.0 11.0 15.0],[11.0 10.0 1.0E9 14.0 12.0]]
[[11.0 8.0 1.0E9 11.0 11.0],[0.0 0.0 0.0 0.0 0.0],[11.0 13.0 13.0 10.0 15.0],[8.0 10.0 14.0 8.0 12.0],[10.0 12.0 1.0E9 12.0 14.0]]
[[7.0 7.0 1.0E9 9.0 14.0],[7.0 6.0 10.0 13.0 12.0],[0.0 0.0 0.0 0.0 0.0],[10.0 10.0 14.0 12.0 9.0],[10.0 9.0 1.0E9 9.0 9.0]]
[[7.0 8.0 1.0E9 8.0 8.0],[7.0 8.0 12.0 10.0 9.0],[10.0 13.0 11.0 9.0 11.0],[0.0 0.0 0.0 0.0 0.0],[10.0 12.0 1.0E9 8.0 12.0]]
[[7.0 11.0 1.0E9 11.0 13.0],[9.0 10.0 11.0 11.0 7.0],[11.0 8.0 13.0 11.0 10.0],[11.0 11.0 13.0 9.0 14.0],[0.0 0.0 0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0 0.0 0.0],[7.0 9.0 10.0 7.0 11.0],[8.0 13.0 8.0 12.0 15.0],[9.0 9.0 12.0 11.0 15.0],[11.0 10.0 1.0E9 14.0 12.0]]
[[11.0 8.0 1.0E9 11.0 11.0],[0.0 0.0 0.0 0.0 0.0],[11.0 13.0 13.0 10.0 15.0],[8.0 10.0 14.0 8.0 12.0],[10.0 12.0 1.0E9 12.0 14.0]]
[[7.0 7.0 1.0E9 9.0 14.0],[7.0 6.0 10.0 13.0 12.0],[0.0 0.0 0.0 0.0 0.0],[10.0 10.0 14.0 12.0 9.0],[10.0 9.0 1.0E9 9.0 9.0]]
[[7.0 8.0 1.0E9 8.0 8.0],[7.0 8.0 12.0 10.0 9.0],[10.0 13.0 11.0 9.0 11.0],[0.0 0.0 0.0 0.0 0.0],[10.0 12.0 1.0E9 8.0 12.0]]
[[7.0 11.0 1.0E9 11.0 13.0],[9.0 10.0 11.0 11.0 7.0],[11.0 8.0 13.0 11.0 10.0],[11.0 11.0 13.0 9.0 14.0],[0.0 0.0 0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
