N = 10;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 2;
machines = [4 5];
products = [169 428 190 465 130 167 411 146 195 409];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[4.576572 4.576572],[3.9172896 3.9172896],[3.4820352000000003 3.4820352000000003],[4.4933616 4.4933616],[2.6499312 2.6499312],[4.576572 4.576572],[3.936492 3.936492],[2.112264 2.112264],[4.4933616 4.4933616],[5.184648 5.184648]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 66.0]];
Sijk = [[[0.0 0.0],[13.0 12.0],[11.0 8.0],[8.0 11.0],[8.0 8.0],[10.0 13.0],[10.0 7.0],[7.0 6.0],[9.0 9.0],[11.0 8.0]]
[[11.0 15.0],[0.0 0.0],[10.0 10.0],[13.0 14.0],[7.0 8.0],[10.0 14.0],[8.0 13.0],[5.0 5.0],[9.0 9.0],[11.0 13.0]]
[[13.0 13.0],[12.0 12.0],[0.0 0.0],[14.0 8.0],[6.0 5.0],[12.0 11.0],[7.0 8.0],[6.0 5.0],[14.0 11.0],[10.0 12.0]]
[[9.0 14.0],[9.0 7.0],[8.0 7.0],[0.0 0.0],[8.0 8.0],[9.0 9.0],[7.0 13.0],[5.0 5.0],[12.0 9.0],[8.0 11.0]]
[[10.0 10.0],[13.0 9.0],[11.0 11.0],[15.0 12.0],[0.0 0.0],[10.0 9.0],[11.0 9.0],[4.0 4.0],[8.0 12.0],[12.0 13.0]]
[[15.0 11.0],[8.0 12.0],[11.0 10.0],[11.0 13.0],[9.0 6.0],[0.0 0.0],[9.0 13.0],[7.0 7.0],[8.0 11.0],[8.0 11.0]]
[[11.0 9.0],[9.0 8.0],[8.0 10.0],[12.0 14.0],[6.0 5.0],[9.0 8.0],[0.0 0.0],[5.0 4.0],[13.0 13.0],[8.0 11.0]]
[[11.0 10.0],[11.0 7.0],[7.0 12.0],[14.0 13.0],[5.0 7.0],[8.0 11.0],[7.0 9.0],[0.0 0.0],[9.0 9.0],[10.0 11.0]]
[[12.0 8.0],[11.0 11.0],[11.0 9.0],[12.0 14.0],[7.0 8.0],[15.0 14.0],[13.0 10.0],[4.0 5.0],[0.0 0.0],[12.0 11.0]]
[[8.0 12.0],[11.0 12.0],[7.0 10.0],[11.0 13.0],[7.0 7.0],[11.0 8.0],[12.0 13.0],[6.0 5.0],[8.0 11.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[13.0 12.0],[11.0 8.0],[8.0 11.0],[8.0 8.0],[10.0 13.0],[10.0 7.0],[7.0 6.0],[9.0 9.0],[11.0 8.0]]
[[11.0 15.0],[0.0 0.0],[10.0 10.0],[13.0 14.0],[7.0 8.0],[10.0 14.0],[8.0 13.0],[5.0 5.0],[9.0 9.0],[11.0 13.0]]
[[13.0 13.0],[12.0 12.0],[0.0 0.0],[14.0 8.0],[6.0 5.0],[12.0 11.0],[7.0 8.0],[6.0 5.0],[14.0 11.0],[10.0 12.0]]
[[9.0 14.0],[9.0 7.0],[8.0 7.0],[0.0 0.0],[8.0 8.0],[9.0 9.0],[7.0 13.0],[5.0 5.0],[12.0 9.0],[8.0 11.0]]
[[10.0 10.0],[13.0 9.0],[11.0 11.0],[15.0 12.0],[0.0 0.0],[10.0 9.0],[11.0 9.0],[4.0 4.0],[8.0 12.0],[12.0 13.0]]
[[15.0 11.0],[8.0 12.0],[11.0 10.0],[11.0 13.0],[9.0 6.0],[0.0 0.0],[9.0 13.0],[7.0 7.0],[8.0 11.0],[8.0 11.0]]
[[11.0 9.0],[9.0 8.0],[8.0 10.0],[12.0 14.0],[6.0 5.0],[9.0 8.0],[0.0 0.0],[5.0 4.0],[13.0 13.0],[8.0 11.0]]
[[11.0 10.0],[11.0 7.0],[7.0 12.0],[14.0 13.0],[5.0 7.0],[8.0 11.0],[7.0 9.0],[0.0 0.0],[9.0 9.0],[10.0 11.0]]
[[12.0 8.0],[11.0 11.0],[11.0 9.0],[12.0 14.0],[7.0 8.0],[15.0 14.0],[13.0 10.0],[4.0 5.0],[0.0 0.0],[12.0 11.0]]
[[8.0 12.0],[11.0 12.0],[7.0 10.0],[11.0 13.0],[7.0 7.0],[11.0 8.0],[12.0 13.0],[6.0 5.0],[8.0 11.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
