N = 10;
T = 7;
K = 3;
C = 219.0;
furnance = 2;
color = 5;
machines = [4 5 6];
products = [442 455 264 435 464 245 234 422 227 148];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0]];
Pik = [[3.81743712 3.81743712 3.81743712],[3.672459 3.672459 3.672459],[3.9940992000000004 3.9940992000000004 3.9940992000000004],[4.4149518 4.4149518 4.4149518],[4.1477184 4.1477184 4.1477184],[2.5910438399999998 2.5910438399999998 2.5910438399999998],[2.6931366 2.6931366 2.6931366],[3.456432 3.456432 3.456432],[3.13383168 3.13383168 3.13383168],[2.6627327999999997 2.6627327999999997 2.6627327999999997]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 94.0],[0.0 0.0 0.0 0.0 0.0 0.0 119.0],[0.0 0.0 0.0 0.0 0.0 0.0 122.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 112.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 76.0]];
Sijk = [[[0.0 0.0 0.0],[8.0 7.0 1.0E9],[13.0 13.0 1.0E9],[8.0 12.0 1.0E9],[9.0 10.0 1.0E9],[6.0 8.0 6.0],[5.0 6.0 7.0],[11.0 9.0 11.0],[9.0 9.0 7.0],[7.0 7.0 10.0]]
[[11.0 8.0 1.0E9],[0.0 0.0 0.0],[8.0 7.0 1.0E9],[14.0 8.0 1.0E9],[9.0 8.0 1.0E9],[8.0 5.0 6.0],[6.0 6.0 11.0],[7.0 9.0 12.0],[11.0 8.0 9.0],[7.0 5.0 6.0]]
[[10.0 10.0 1.0E9],[7.0 10.0 1.0E9],[0.0 0.0 0.0],[12.0 14.0 1.0E9],[11.0 12.0 1.0E9],[6.0 7.0 7.0],[8.0 8.0 8.0],[9.0 7.0 10.0],[6.0 7.0 7.0],[8.0 9.0 8.0]]
[[10.0 9.0 1.0E9],[7.0 7.0 1.0E9],[12.0 13.0 1.0E9],[0.0 0.0 0.0],[12.0 11.0 1.0E9],[9.0 6.0 9.0],[7.0 7.0 7.0],[7.0 11.0 8.0],[9.0 10.0 8.0],[8.0 7.0 9.0]]
[[11.0 10.0 1.0E9],[8.0 7.0 1.0E9],[9.0 11.0 1.0E9],[10.0 12.0 1.0E9],[0.0 0.0 0.0],[8.0 7.0 11.0],[7.0 8.0 8.0],[7.0 7.0 8.0],[10.0 9.0 12.0],[6.0 6.0 7.0]]
[[7.0 11.0 1.0E9],[9.0 12.0 1.0E9],[9.0 9.0 1.0E9],[14.0 9.0 1.0E9],[8.0 7.0 1.0E9],[0.0 0.0 0.0],[7.0 8.0 7.0],[11.0 10.0 10.0],[10.0 9.0 7.0],[5.0 5.0 10.0]]
[[12.0 13.0 1.0E9],[11.0 9.0 1.0E9],[8.0 10.0 1.0E9],[10.0 13.0 1.0E9],[10.0 13.0 1.0E9],[5.0 9.0 9.0],[0.0 0.0 0.0],[7.0 9.0 13.0],[8.0 6.0 13.0],[5.0 9.0 7.0]]
