N = 20;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 3;
machines = [4 5];
products = [226 10 15 224 243 242 223 244 218 235 133 21 94 238 232 66 14 222 239 230];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[2.92068504 2.92068504],[3.84048 3.84048],[3.8020752 3.8020752],[4.32054 4.32054],[3.3460182 3.3460182],[3.3460182 3.3460182],[4.032504 4.032504],[3.3460182 3.3460182],[2.63584944 2.63584944],[3.1916949119999996 3.1916949119999996],[2.784348 2.784348],[4.7109888 4.7109888],[3.072384 3.072384],[3.6292536 3.6292536],[3.456432 3.456432],[2.8675584 2.8675584],[3.84048 3.84048],[4.176522 4.176522],[3.3591398399999997 3.3591398399999997],[3.2452056000000002 3.2452056000000002]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0],[0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]];
Sijk = [[[0.0 0.0],[9.0 8.0],[12.0 9.0],[11.0 8.0],[6.0 10.0],[7.0 6.0],[10.0 11.0],[9.0 8.0],[7.0 9.0],[7.0 8.0],[6.0 7.0],[9.0 8.0],[8.0 9.0],[9.0 11.0],[9.0 10.0],[8.0 8.0],[10.0 7.0],[12.0 9.0],[8.0 6.0],[9.0 6.0]]
[[6.0 10.0],[0.0 0.0],[9.0 7.0],[11.0 13.0],[11.0 8.0],[8.0 11.0],[9.0 8.0],[10.0 7.0],[6.0 6.0],[8.0 10.0],[6.0 7.0],[11.0 9.0],[9.0 8.0],[10.0 11.0],[9.0 10.0],[8.0 8.0],[7.0 7.0],[10.0 12.0],[10.0 6.0],[9.0 6.0]]
[[7.0 5.0],[9.0 7.0],[0.0 0.0],[8.0 8.0],[9.0 10.0],[10.0 11.0],[12.0 13.0],[9.0 8.0],[7.0 5.0],[7.0 9.0],[6.0 9.0],[11.0 8.0],[8.0 7.0],[7.0 7.0],[11.0 7.0],[7.0 9.0],[13.0 8.0],[9.0 11.0],[11.0 11.0],[7.0 7.0]]
[[6.0 8.0],[8.0 7.0],[9.0 9.0],[0.0 0.0],[8.0 10.0],[6.0 8.0],[9.0 8.0],[9.0 11.0],[7.0 6.0],[8.0 9.0],[6.0 8.0],[13.0 9.0],[7.0 8.0],[12.0 10.0],[11.0 7.0],[7.0 5.0],[8.0 11.0],[10.0 13.0],[7.0 8.0],[6.0 8.0]]
[[9.0 7.0],[10.0 8.0],[11.0 10.0],[10.0 10.0],[0.0 0.0],[9.0 9.0],[13.0 11.0],[8.0 7.0],[7.0 5.0],[7.0 6.0],[6.0 9.0],[12.0 8.0],[8.0 10.0],[11.0 8.0],[7.0 9.0],[7.0 5.0],[8.0 11.0],[9.0 9.0],[10.0 10.0],[11.0 7.0]]
[[8.0 8.0],[9.0 9.0],[10.0 10.0],[11.0 12.0],[9.0 10.0],[0.0 0.0],[12.0 7.0],[9.0 11.0],[8.0 7.0],[6.0 7.0],[7.0 5.0],[11.0 10.0],[8.0 6.0],[9.0 9.0],[11.0 6.0],[8.0 6.0],[12.0 9.0],[9.0 10.0],[10.0 7.0],[9.0 11.0]]
[[8.0 8.0],[8.0 13.0],[10.0 12.0],[13.0 10.0],[9.0 9.0],[9.0 6.0],[0.0 0.0],[9.0 10.0],[5.0 9.0],[8.0 10.0],[8.0 7.0],[10.0 14.0],[7.0 7.0],[7.0 12.0],[6.0 11.0],[8.0 5.0],[7.0 10.0],[11.0 11.0],[10.0 8.0],[11.0 7.0]]
[[8.0 6.0],[8.0 8.0],[9.0 12.0],[12.0 8.0],[8.0 10.0],[6.0 10.0],[7.0 11.0],[0.0 0.0],[8.0 7.0],[8.0 9.0],[6.0 6.0],[12.0 10.0],[8.0 8.0],[8.0 11.0],[12.0 6.0],[6.0 7.0],[8.0 7.0],[7.0 12.0],[6.0 6.0],[11.0 8.0]]
[[7.0 8.0],[12.0 12.0],[12.0 12.0],[9.0 8.0],[6.0 10.0],[11.0 7.0],[8.0 11.0],[10.0 10.0],[0.0 0.0],[9.0 9.0],[6.0 8.0],[10.0 13.0],[7.0 7.0],[12.0 10.0],[11.0 6.0],[8.0 8.0],[11.0 11.0],[8.0 12.0],[11.0 10.0],[11.0 9.0]]
[[6.0 6.0],[11.0 13.0],[8.0 12.0],[13.0 12.0],[11.0 10.0],[6.0 8.0],[12.0 13.0],[7.0 9.0],[5.0 8.0],[0.0 0.0],[5.0 7.0],[9.0 14.0],[7.0 8.0],[11.0 8.0],[11.0 7.0],[9.0 7.0],[8.0 10.0],[11.0 14.0],[11.0 7.0],[9.0 6.0]]
[[8.0 9.0],[7.0 9.0],[9.0 12.0],[9.0 13.0],[8.0 10.0],[9.0 8.0],[10.0 7.0],[9.0 10.0],[8.0 7.0],[9.0 11.0],[0.0 0.0],[9.0 9.0],[6.0 9.0],[12.0 8.0],[11.0 9.0],[6.0 8.0],[8.0 10.0],[10.0 13.0],[9.0 7.0],[11.0 10.0]]
[[10.0 8.0],[7.0 8.0],[10.0 10.0],[9.0 13.0],[6.0 7.0],[11.0 7.0],[9.0 10.0],[11.0 9.0],[8.0 7.0],[10.0 9.0],[8.0 6.0],[0.0 0.0],[10.0 10.0],[8.0 9.0],[7.0 8.0],[9.0 9.0],[10.0 13.0],[13.0 11.0],[8.0 7.0],[11.0 6.0]]
[[9.0 9.0],[7.0 9.0],[7.0 9.0],[9.0 10.0],[8.0 7.0],[9.0 6.0],[10.0 13.0],[11.0 10.0],[8.0 7.0],[10.0 8.0],[6.0 8.0],[12.0 13.0],[0.0 0.0],[8.0 12.0],[10.0 8.0],[7.0 8.0],[9.0 12.0],[14.0 9.0],[9.0 9.0],[7.0 10.0]]
[[5.0 9.0],[10.0 10.0],[8.0 9.0],[9.0 13.0],[7.0 6.0],[9.0 11.0],[12.0 8.0],[9.0 10.0],[7.0 9.0],[9.0 6.0],[5.0 7.0],[15.0 14.0],[8.0 6.0],[0.0 0.0],[8.0 10.0],[7.0 7.0],[7.0 8.0],[12.0 8.0],[10.0 10.0],[9.0 6.0]]
[[8.0 6.0],[7.0 13.0],[13.0 12.0],[8.0 10.0],[10.0 9.0],[11.0 8.0],[7.0 13.0],[11.0 7.0],[7.0 7.0],[7.0 7.0],[8.0 9.0],[11.0 9.0],[7.0 9.0],[9.0 10.0],[0.0 0.0],[9.0 7.0],[7.0 7.0],[13.0 9.0],[8.0 11.0],[7.0 9.0]]
[[6.0 10.0],[7.0 12.0],[7.0 10.0],[10.0 8.0],[8.0 7.0],[8.0 7.0],[13.0 13.0],[8.0 9.0],[6.0 7.0],[10.0 6.0],[6.0 5.0],[12.0 12.0],[7.0 9.0],[8.0 9.0],[9.0 10.0],[0.0 0.0],[7.0 8.0],[11.0 13.0],[7.0 7.0],[11.0 9.0]]
[[9.0 10.0],[7.0 7.0],[9.0 11.0],[10.0 9.0],[11.0 9.0],[6.0 7.0],[12.0 10.0],[9.0 10.0],[8.0 8.0],[9.0 6.0],[7.0 8.0],[15.0 8.0],[6.0 9.0],[8.0 7.0],[10.0 7.0],[5.0 7.0],[0.0 0.0],[10.0 8.0],[8.0 11.0],[7.0 8.0]]
[[8.0 9.0],[12.0 13.0],[13.0 7.0],[9.0 13.0],[6.0 8.0],[8.0 8.0],[10.0 11.0],[11.0 10.0],[6.0 8.0],[10.0 6.0],[8.0 9.0],[13.0 14.0],[8.0 10.0],[10.0 9.0],[7.0 9.0],[7.0 9.0],[12.0 12.0],[0.0 0.0],[9.0 7.0],[6.0 7.0]]
[[9.0 9.0],[8.0 11.0],[8.0 11.0],[13.0 9.0],[9.0 11.0],[11.0 9.0],[11.0 8.0],[7.0 8.0],[6.0 6.0],[8.0 9.0],[6.0 8.0],[13.0 11.0],[6.0 9.0],[11.0 7.0],[9.0 7.0],[8.0 7.0],[9.0 9.0],[8.0 8.0],[0.0 0.0],[6.0 7.0]]
