N = 18;
T = 7;
K = 3;
C = 219.0;
furnance = 2;
color = 3;
machines = [4 5 6];
products = [233 14 239 226 244 15 222 231 238 230 94 243 133 224 235 232 242 66];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0]];
Pik = [[3.00325536 3.00325536 3.00325536],[3.84048 3.84048 3.84048],[3.3591398399999997 3.3591398399999997 3.3591398399999997],[2.92068504 2.92068504 2.92068504],[3.3460182 3.3460182 3.3460182],[3.8020752 3.8020752 3.8020752],[4.176522 4.176522 4.176522],[3.3591398399999997 3.3591398399999997 3.3591398399999997],[3.6292536 3.6292536 3.6292536],[3.2452056000000002 3.2452056000000002 3.2452056000000002],[3.072384 3.072384 3.072384],[3.3460182 3.3460182 3.3460182],[2.784348 2.784348 2.784348],[4.32054 4.32054 4.32054],[3.1916949119999996 3.1916949119999996 3.1916949119999996],[3.456432 3.456432 3.456432],[3.3460182 3.3460182 3.3460182],[2.8675584 2.8675584 2.8675584]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 67.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0]];
Sijk = [[[0.0 0.0 0.0],[8.0 10.0 1.0E9],[8.0 11.0 10.0],[6.0 7.0 10.0],[6.0 9.0 14.0],[9.0 13.0 1.0E9],[10.0 9.0 1.0E9],[10.0 9.0 10.0],[10.0 12.0 9.0],[8.0 9.0 7.0],[7.0 7.0 1.0E9],[7.0 8.0 1.0E9],[5.0 7.0 11.0],[14.0 10.0 1.0E9],[6.0 10.0 9.0],[8.0 10.0 13.0],[10.0 8.0 10.0],[8.0 7.0 10.0]]
[[10.0 10.0 12.0],[0.0 0.0 0.0],[7.0 10.0 8.0],[6.0 10.0 11.0],[10.0 11.0 11.0],[8.0 11.0 1.0E9],[10.0 13.0 1.0E9],[9.0 11.0 7.0],[10.0 11.0 11.0],[6.0 7.0 8.0],[9.0 7.0 1.0E9],[10.0 11.0 1.0E9],[7.0 6.0 11.0],[11.0 12.0 1.0E9],[8.0 8.0 13.0],[8.0 11.0 13.0],[11.0 8.0 13.0],[6.0 7.0 10.0]]
[[6.0 10.0 8.0],[9.0 9.0 1.0E9],[0.0 0.0 0.0],[9.0 8.0 7.0],[8.0 11.0 10.0],[9.0 8.0 1.0E9],[8.0 9.0 1.0E9],[7.0 11.0 9.0],[8.0 7.0 10.0],[7.0 9.0 13.0],[6.0 10.0 1.0E9],[9.0 9.0 1.0E9],[6.0 9.0 11.0],[9.0 9.0 1.0E9],[6.0 6.0 13.0],[11.0 9.0 10.0],[8.0 9.0 10.0],[9.0 6.0 9.0]]
[[9.0 7.0 9.0],[9.0 8.0 1.0E9],[6.0 6.0 13.0],[0.0 0.0 0.0],[9.0 10.0 12.0],[11.0 10.0 1.0E9],[12.0 11.0 1.0E9],[11.0 11.0 8.0],[11.0 11.0 12.0],[6.0 7.0 9.0],[7.0 8.0 1.0E9],[10.0 9.0 1.0E9],[6.0 9.0 6.0],[9.0 13.0 1.0E9],[8.0 8.0 9.0],[7.0 9.0 13.0],[9.0 8.0 12.0],[5.0 9.0 9.0]]
[[7.0 9.0 8.0],[8.0 8.0 1.0E9],[10.0 9.0 8.0],[9.0 8.0 9.0],[0.0 0.0 0.0],[10.0 8.0 1.0E9],[10.0 8.0 1.0E9],[7.0 7.0 9.0],[8.0 12.0 15.0],[7.0 7.0 8.0],[9.0 8.0 1.0E9],[7.0 10.0 1.0E9],[7.0 7.0 7.0],[8.0 8.0 1.0E9],[6.0 7.0 8.0],[10.0 11.0 9.0],[10.0 10.0 10.0],[8.0 9.0 10.0]]
[[9.0 7.0 11.0],[12.0 10.0 1.0E9],[7.0 10.0 13.0],[7.0 7.0 12.0],[7.0 8.0 12.0],[0.0 0.0 0.0],[13.0 9.0 1.0E9],[7.0 10.0 11.0],[11.0 7.0 11.0],[10.0 10.0 8.0],[10.0 9.0 1.0E9],[7.0 8.0 1.0E9],[9.0 7.0 11.0],[12.0 8.0 1.0E9],[6.0 6.0 11.0],[9.0 12.0 13.0],[7.0 7.0 14.0],[7.0 10.0 7.0]]
[[9.0 6.0 8.0],[7.0 12.0 1.0E9],[8.0 6.0 10.0],[6.0 8.0 10.0],[8.0 11.0 11.0],[12.0 9.0 1.0E9],[0.0 0.0 0.0],[8.0 8.0 11.0],[7.0 12.0 8.0],[11.0 7.0 7.0],[9.0 9.0 1.0E9],[6.0 7.0 1.0E9],[7.0 6.0 11.0],[10.0 12.0 1.0E9],[6.0 7.0 13.0],[11.0 11.0 8.0],[6.0 8.0 8.0],[9.0 7.0 7.0]]
