N = 20;
T = 7;
K = 3;
C = 219.0;
furnance = 2;
color = 1;
machines = [4 5 6];
products = [436 186 101 98 116 178 165 184 118 163 99 199 16 170 132 137 67 124 431 145];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0]];
Pik = [[4.4149518 4.4149518 4.4149518],[3.8276784 3.8276784 3.8276784],[4.408551 4.408551 4.408551],[2.7459432 2.7459432 2.7459432],[3.456432 3.456432 3.456432],[4.9094136 4.9094136 4.9094136],[3.648456 3.648456 3.648456],[3.744468 3.744468 3.744468],[2.88036 2.88036 2.88036],[3.648456 3.648456 3.648456],[4.301337599999999 4.301337599999999 4.301337599999999],[3.6868608000000003 3.6868608000000003 3.6868608000000003],[3.8020752 3.8020752 3.8020752],[4.576572 4.576572 4.576572],[2.5795224 2.5795224 2.5795224],[2.784348 2.784348 2.784348],[2.4579072 2.4579072 2.4579072],[2.3938992000000003 2.3938992000000003 2.3938992000000003],[2.9571696000000003 2.9571696000000003 2.9571696000000003],[3.1107888 3.1107888 3.1107888]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 60.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0]];
Sijk = [[[0.0 0.0 0.0],[11.0 11.0 1.0E9],[10.0 8.0 1.0E9],[8.0 8.0 7.0],[7.0 7.0 13.0],[14.0 12.0 1.0E9],[9.0 9.0 1.0E9],[7.0 10.0 1.0E9],[7.0 8.0 7.0],[9.0 7.0 14.0],[13.0 11.0 1.0E9],[7.0 8.0 1.0E9],[7.0 10.0 1.0E9],[15.0 14.0 1.0E9],[7.0 7.0 10.0],[5.0 7.0 8.0],[6.0 5.0 8.0],[5.0 6.0 6.0],[9.0 9.0 7.0],[10.0 8.0 11.0]]
[[12.0 8.0 1.0E9],[0.0 0.0 0.0],[8.0 10.0 1.0E9],[6.0 9.0 9.0],[7.0 6.0 9.0],[9.0 12.0 1.0E9],[9.0 12.0 1.0E9],[9.0 9.0 1.0E9],[7.0 8.0 10.0],[7.0 8.0 9.0],[13.0 13.0 1.0E9],[9.0 9.0 1.0E9],[13.0 10.0 1.0E9],[12.0 9.0 1.0E9],[8.0 8.0 10.0],[8.0 6.0 8.0],[5.0 5.0 6.0],[5.0 7.0 9.0],[7.0 8.0 12.0],[10.0 10.0 8.0]]
[[14.0 8.0 1.0E9],[11.0 10.0 1.0E9],[0.0 0.0 0.0],[6.0 7.0 11.0],[8.0 11.0 10.0],[11.0 11.0 1.0E9],[10.0 7.0 1.0E9],[10.0 7.0 1.0E9],[8.0 7.0 8.0],[10.0 9.0 15.0],[9.0 14.0 1.0E9],[12.0 8.0 1.0E9],[10.0 11.0 1.0E9],[13.0 12.0 1.0E9],[8.0 6.0 8.0],[9.0 6.0 8.0],[5.0 5.0 9.0],[6.0 6.0 9.0],[8.0 9.0 9.0],[9.0 8.0 7.0]]
[[15.0 11.0 1.0E9],[13.0 8.0 1.0E9],[8.0 12.0 1.0E9],[0.0 0.0 0.0],[10.0 10.0 11.0],[10.0 11.0 1.0E9],[8.0 10.0 1.0E9],[10.0 11.0 1.0E9],[6.0 8.0 12.0],[7.0 8.0 12.0],[9.0 10.0 1.0E9],[11.0 10.0 1.0E9],[10.0 11.0 1.0E9],[15.0 11.0 1.0E9],[6.0 5.0 11.0],[9.0 6.0 8.0],[8.0 6.0 9.0],[4.0 6.0 9.0],[7.0 10.0 9.0],[10.0 9.0 11.0]]
[[10.0 9.0 1.0E9],[11.0 12.0 1.0E9],[12.0 10.0 1.0E9],[8.0 9.0 10.0],[0.0 0.0 0.0],[15.0 9.0 1.0E9],[7.0 11.0 1.0E9],[11.0 11.0 1.0E9],[7.0 9.0 7.0],[7.0 12.0 10.0],[14.0 11.0 1.0E9],[10.0 12.0 1.0E9],[13.0 10.0 1.0E9],[14.0 9.0 1.0E9],[8.0 8.0 8.0],[7.0 9.0 10.0],[5.0 5.0 10.0],[5.0 6.0 7.0],[8.0 8.0 12.0],[8.0 10.0 8.0]]
[[10.0 14.0 1.0E9],[10.0 8.0 1.0E9],[14.0 11.0 1.0E9],[8.0 8.0 10.0],[9.0 7.0 13.0],[0.0 0.0 0.0],[10.0 9.0 1.0E9],[11.0 10.0 1.0E9],[6.0 5.0 8.0],[7.0 12.0 13.0],[11.0 13.0 1.0E9],[8.0 7.0 1.0E9],[9.0 10.0 1.0E9],[13.0 8.0 1.0E9],[6.0 8.0 8.0],[7.0 9.0 7.0],[7.0 7.0 6.0],[5.0 5.0 6.0],[9.0 6.0 10.0],[8.0 10.0 9.0]]
[[8.0 11.0 1.0E9],[12.0 11.0 1.0E9],[8.0 11.0 1.0E9],[9.0 7.0 8.0],[10.0 11.0 13.0],[9.0 11.0 1.0E9],[0.0 0.0 0.0],[7.0 10.0 1.0E9],[8.0 10.0 7.0],[7.0 8.0 15.0],[12.0 11.0 1.0E9],[12.0 11.0 1.0E9],[10.0 7.0 1.0E9],[11.0 11.0 1.0E9],[8.0 5.0 6.0],[7.0 8.0 9.0],[6.0 7.0 6.0],[6.0 6.0 6.0],[7.0 9.0 11.0],[6.0 8.0 13.0]]
