N = 20;
T = 7;
K = 4;
C = 292.0;
furnance = 2;
color = 6;
machines = [4 5 6 7];
products = [424 258 23 175 117 54 419 3 77 120 55 158 176 24 156 11 183 466 201 257];
MINik = [[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0]];
MAXik = [[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0]];
Pik = [[4.032504 4.032504 4.032504 4.032504],[5.184648 5.184648 5.184648 5.184648],[3.7252656 3.7252656 3.7252656 3.7252656],[3.648456 3.648456 3.648456 3.648456],[3.888486 3.888486 3.888486 3.888486],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[4.032504 4.032504 4.032504 4.032504],[3.7739116800000003 3.7739116800000003 3.7739116800000003 3.7739116800000003],[1.856232 1.856232 1.856232 1.856232],[2.88036 2.88036 2.88036 2.88036],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[2.88036 2.88036 2.88036 2.88036],[4.3781472 4.3781472 4.3781472 4.3781472],[4.0357044 4.0357044 4.0357044 4.0357044],[2.496312 2.496312 2.496312 2.496312],[3.84048 3.84048 3.84048 3.84048],[3.744468 3.744468 3.744468 3.744468],[4.4933616 4.4933616 4.4933616 4.4933616],[5.28066 5.28066 5.28066 5.28066],[3.52044 3.52044 3.52044 3.52044]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 79.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 70.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 61.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 67.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[12.0 12.0 1.0E9 11.0],[11.0 9.0 1.0E9 8.0],[8.0 8.0 1.0E9 11.0],[8.0 13.0 14.0 8.0],[10.0 9.0 14.0 13.0],[7.0 10.0 12.0 12.0],[8.0 9.0 10.0 8.0],[6.0 5.0 4.0 8.0],[5.0 8.0 12.0 8.0],[11.0 11.0 11.0 8.0],[6.0 8.0 10.0 6.0],[12.0 14.0 10.0 14.0],[13.0 12.0 12.0 9.0],[6.0 8.0 8.0 9.0],[8.0 8.0 1.0E9 10.0],[10.0 9.0 1.0E9 13.0],[12.0 14.0 1.0E9 12.0],[8.0 10.0 1.0E9 9.0],[7.0 9.0 1.0E9 14.0]]
[[10.0 13.0 13.0 10.0],[0.0 0.0 0.0 0.0],[10.0 7.0 1.0E9 12.0],[11.0 9.0 1.0E9 9.0],[10.0 8.0 15.0 8.0],[12.0 8.0 12.0 9.0],[12.0 8.0 10.0 12.0],[12.0 7.0 11.0 9.0],[5.0 6.0 6.0 8.0],[6.0 8.0 9.0 10.0],[11.0 10.0 10.0 13.0],[6.0 9.0 9.0 8.0],[12.0 11.0 14.0 15.0],[13.0 9.0 10.0 8.0],[5.0 6.0 9.0 7.0],[8.0 11.0 1.0E9 9.0],[12.0 7.0 1.0E9 11.0],[11.0 15.0 1.0E9 11.0],[10.0 8.0 1.0E9 9.0],[8.0 8.0 1.0E9 10.0]]
[[8.0 10.0 10.0 10.0],[10.0 15.0 1.0E9 13.0],[0.0 0.0 0.0 0.0],[8.0 12.0 1.0E9 13.0],[8.0 12.0 11.0 10.0],[12.0 11.0 10.0 14.0],[10.0 9.0 15.0 14.0],[12.0 8.0 11.0 8.0],[4.0 4.0 4.0 5.0],[7.0 7.0 8.0 8.0],[10.0 9.0 9.0 13.0],[6.0 7.0 6.0 10.0],[8.0 12.0 8.0 13.0],[8.0 13.0 11.0 8.0],[5.0 7.0 7.0 8.0],[11.0 11.0 1.0E9 10.0],[8.0 8.0 1.0E9 15.0],[11.0 11.0 1.0E9 11.0],[10.0 15.0 1.0E9 11.0],[10.0 7.0 1.0E9 12.0]]
[[11.0 13.0 12.0 9.0],[9.0 11.0 1.0E9 13.0],[11.0 6.0 1.0E9 11.0],[0.0 0.0 0.0 0.0],[10.0 9.0 12.0 9.0],[10.0 8.0 15.0 9.0],[9.0 10.0 14.0 14.0],[10.0 7.0 15.0 12.0],[5.0 5.0 6.0 6.0],[6.0 10.0 9.0 7.0],[14.0 13.0 13.0 12.0],[8.0 8.0 9.0 11.0],[11.0 11.0 12.0 14.0],[12.0 8.0 14.0 12.0],[6.0 5.0 8.0 7.0],[10.0 10.0 1.0E9 9.0],[8.0 7.0 1.0E9 12.0],[12.0 8.0 1.0E9 15.0],[10.0 9.0 1.0E9 13.0],[11.0 6.0 1.0E9 8.0]]
[[12.0 13.0 12.0 10.0],[11.0 11.0 1.0E9 11.0],[11.0 7.0 1.0E9 15.0],[12.0 12.0 1.0E9 8.0],[0.0 0.0 0.0 0.0],[14.0 9.0 11.0 10.0],[7.0 11.0 15.0 14.0],[11.0 11.0 12.0 8.0],[5.0 6.0 6.0 7.0],[8.0 6.0 10.0 9.0],[14.0 9.0 14.0 15.0],[9.0 10.0 9.0 8.0],[8.0 13.0 9.0 10.0],[12.0 8.0 12.0 8.0],[8.0 5.0 8.0 9.0],[7.0 7.0 1.0E9 10.0],[7.0 8.0 1.0E9 15.0],[9.0 9.0 1.0E9 10.0],[11.0 10.0 1.0E9 10.0],[9.0 6.0 1.0E9 14.0]]
[[11.0 11.0 14.0 12.0],[11.0 8.0 1.0E9 11.0],[7.0 10.0 1.0E9 12.0],[8.0 9.0 1.0E9 13.0],[12.0 7.0 9.0 15.0],[0.0 0.0 0.0 0.0],[12.0 9.0 8.0 10.0],[9.0 7.0 13.0 9.0],[5.0 6.0 6.0 6.0],[9.0 6.0 9.0 8.0],[8.0 9.0 14.0 12.0],[9.0 6.0 9.0 9.0],[8.0 11.0 13.0 12.0],[11.0 12.0 9.0 9.0],[8.0 8.0 9.0 6.0],[11.0 12.0 1.0E9 12.0],[11.0 10.0 1.0E9 12.0],[8.0 9.0 1.0E9 8.0],[9.0 11.0 1.0E9 14.0],[8.0 10.0 1.0E9 14.0]]
