N = 5;
T = 7;
K = 1;
C = 73.0;
furnance = 2;
color = 1;
machines = [4];
products = [184 74 101 151 216];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.744468],[2.128266],[4.408551],[2.432304],[4.096512]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 83.0]];
Sijk = [[[0.0],[6.0],[12.0],[7.0],[9.0]]
[[7.0],[0.0],[8.0],[6.0],[10.0]]
[[10.0],[4.0],[0.0],[6.0],[11.0]]
[[11.0],[4.0],[8.0],[0.0],[10.0]]
[[9.0],[6.0],[10.0],[6.0],[0.0]]];
Cijk = [[[0.0],[6.0],[12.0],[7.0],[9.0]]
[[7.0],[0.0],[8.0],[6.0],[10.0]]
[[10.0],[4.0],[0.0],[6.0],[11.0]]
[[11.0],[4.0],[8.0],[0.0],[10.0]]
[[9.0],[6.0],[10.0],[6.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
