N = 7;
T = 7;
K = 1;
C = 73.0;
furnance = 2;
color = 1;
machines = [4];
products = [98 253 436 216 219 88 87];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[2.7459432],[3.6868608000000003],[4.4149518],[4.096512],[2.63584944],[3.8020752],[2.0130516000000003]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 35.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 25.0]];
Sijk = [[[0.0],[10.0],[13.0],[11.0],[8.0],[10.0],[4.0]]
[[6.0],[0.0],[8.0],[11.0],[7.0],[8.0],[5.0]]
[[9.0],[11.0],[0.0],[7.0],[9.0],[8.0],[7.0]]
[[6.0],[10.0],[10.0],[0.0],[5.0],[12.0],[5.0]]
[[8.0],[10.0],[8.0],[9.0],[0.0],[8.0],[6.0]]
[[5.0],[9.0],[10.0],[9.0],[7.0],[0.0],[5.0]]
[[5.0],[9.0],[10.0],[7.0],[8.0],[7.0],[0.0]]];
Cijk = [[[0.0],[10.0],[13.0],[11.0],[8.0],[10.0],[4.0]]
[[6.0],[0.0],[8.0],[11.0],[7.0],[8.0],[5.0]]
[[9.0],[11.0],[0.0],[7.0],[9.0],[8.0],[7.0]]
[[6.0],[10.0],[10.0],[0.0],[5.0],[12.0],[5.0]]
[[8.0],[10.0],[8.0],[9.0],[0.0],[8.0],[6.0]]
[[5.0],[9.0],[10.0],[9.0],[7.0],[0.0],[5.0]]
[[5.0],[9.0],[10.0],[7.0],[8.0],[7.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2];
