N = 5;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 5;
machines = [4 5];
products = [422 42 60 452 79];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.456432 3.456432],[3.6868608000000003 3.6868608000000003],[4.3397424 4.3397424],[3.6639715392000003 3.6639715392000003],[2.9699712000000003 2.9699712000000003]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 164.0],[0.0 0.0 0.0 0.0 0.0 0.0 163.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0]];
Sijk = [[[0.0 0.0],[12.0 9.0],[10.0 12.0],[11.0 9.0],[9.0 6.0]]
[[6.0 7.0],[0.0 0.0],[10.0 12.0],[10.0 11.0],[8.0 5.0]]
[[7.0 6.0],[8.0 10.0],[0.0 0.0],[11.0 8.0],[7.0 7.0]]
[[7.0 10.0],[10.0 12.0],[11.0 12.0],[0.0 0.0],[8.0 8.0]]
[[6.0 9.0],[10.0 8.0],[8.0 13.0],[8.0 10.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[12.0 9.0],[10.0 12.0],[11.0 9.0],[9.0 6.0]]
[[6.0 7.0],[0.0 0.0],[10.0 12.0],[10.0 11.0],[8.0 5.0]]
[[7.0 6.0],[8.0 10.0],[0.0 0.0],[11.0 8.0],[7.0 7.0]]
[[7.0 10.0],[10.0 12.0],[11.0 12.0],[0.0 0.0],[8.0 8.0]]
[[6.0 9.0],[10.0 8.0],[8.0 13.0],[8.0 10.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
