N = 5;
T = 7;
K = 3;
C = 219.0;
furnance = 2;
color = 2;
machines = [4 5 6];
products = [126 409 413 172 146];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0]];
Pik = [[2.5616001600000002 2.5616001600000002 2.5616001600000002],[5.184648 5.184648 5.184648],[4.3781472 4.3781472 4.3781472],[4.3781472 4.3781472 4.3781472],[2.112264 2.112264 2.112264]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 249.0],[0.0 0.0 0.0 0.0 0.0 0.0 66.0],[0.0 0.0 0.0 0.0 0.0 0.0 112.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 114.0]];
Sijk = [[[0.0 0.0 0.0],[10.0 13.0 1.0E9],[14.0 14.0 1.0E9],[14.0 11.0 1.0E9],[5.0 6.0 6.0]]
[[8.0 7.0 7.0],[0.0 0.0 0.0],[14.0 14.0 1.0E9],[9.0 10.0 1.0E9],[6.0 6.0 8.0]]
[[6.0 6.0 9.0],[10.0 12.0 1.0E9],[0.0 0.0 0.0],[14.0 11.0 1.0E9],[7.0 7.0 7.0]]
[[7.0 7.0 6.0],[10.0 11.0 1.0E9],[13.0 11.0 1.0E9],[0.0 0.0 0.0],[4.0 5.0 5.0]]
[[5.0 6.0 8.0],[9.0 13.0 1.0E9],[9.0 11.0 1.0E9],[9.0 10.0 1.0E9],[0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0],[10.0 13.0 1.0E9],[14.0 14.0 1.0E9],[14.0 11.0 1.0E9],[5.0 6.0 6.0]]
[[8.0 7.0 7.0],[0.0 0.0 0.0],[14.0 14.0 1.0E9],[9.0 10.0 1.0E9],[6.0 6.0 8.0]]
[[6.0 6.0 9.0],[10.0 12.0 1.0E9],[0.0 0.0 0.0],[14.0 11.0 1.0E9],[7.0 7.0 7.0]]
[[7.0 7.0 6.0],[10.0 11.0 1.0E9],[13.0 11.0 1.0E9],[0.0 0.0 0.0],[4.0 5.0 5.0]]
[[5.0 6.0 8.0],[9.0 13.0 1.0E9],[9.0 11.0 1.0E9],[9.0 10.0 1.0E9],[0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
