N = 10;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 1;
machines = [4 5];
products = [252 149 194 99 127 178 260 74 427 67];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.6868608000000003 3.6868608000000003],[2.6627327999999997 2.6627327999999997],[3.4820352000000003 3.4820352000000003],[4.301337599999999 4.301337599999999],[2.5616001600000002 2.5616001600000002],[4.9094136 4.9094136],[4.32054 4.32054],[2.128266 2.128266],[3.9172896 3.9172896],[2.4579072 2.4579072]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 85.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 62.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 62.0]];
Sijk = [[[0.0 0.0],[9.0 6.0],[11.0 11.0],[10.0 9.0],[8.0 6.0],[11.0 13.0],[14.0 14.0],[5.0 5.0],[10.0 9.0],[8.0 7.0]]
[[12.0 7.0],[0.0 0.0],[11.0 7.0],[9.0 9.0],[8.0 5.0],[13.0 10.0],[12.0 10.0],[7.0 6.0],[10.0 10.0],[5.0 8.0]]
[[12.0 10.0],[8.0 6.0],[0.0 0.0],[9.0 8.0],[6.0 6.0],[15.0 11.0],[9.0 10.0],[5.0 7.0],[10.0 7.0],[5.0 8.0]]
[[6.0 10.0],[9.0 8.0],[10.0 7.0],[0.0 0.0],[8.0 7.0],[14.0 12.0],[13.0 13.0],[5.0 6.0],[11.0 10.0],[5.0 6.0]]
[[8.0 8.0],[5.0 6.0],[10.0 7.0],[9.0 8.0],[0.0 0.0],[10.0 12.0],[9.0 13.0],[7.0 5.0],[12.0 11.0],[7.0 6.0]]
[[9.0 12.0],[6.0 7.0],[11.0 12.0],[11.0 11.0],[5.0 6.0],[0.0 0.0],[10.0 8.0],[4.0 6.0],[9.0 9.0],[7.0 8.0]]
[[8.0 9.0],[7.0 6.0],[7.0 6.0],[12.0 13.0],[5.0 7.0],[15.0 9.0],[0.0 0.0],[5.0 7.0],[9.0 11.0],[5.0 7.0]]
[[9.0 10.0],[5.0 5.0],[10.0 6.0],[9.0 11.0],[5.0 5.0],[15.0 11.0],[9.0 9.0],[0.0 0.0],[7.0 12.0],[5.0 7.0]]
[[7.0 11.0],[7.0 9.0],[7.0 6.0],[12.0 13.0],[5.0 7.0],[8.0 8.0],[10.0 11.0],[5.0 6.0],[0.0 0.0],[6.0 5.0]]
[[11.0 11.0],[6.0 6.0],[10.0 11.0],[11.0 9.0],[7.0 8.0],[13.0 11.0],[8.0 9.0],[4.0 6.0],[12.0 10.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[9.0 6.0],[11.0 11.0],[10.0 9.0],[8.0 6.0],[11.0 13.0],[14.0 14.0],[5.0 5.0],[10.0 9.0],[8.0 7.0]]
[[12.0 7.0],[0.0 0.0],[11.0 7.0],[9.0 9.0],[8.0 5.0],[13.0 10.0],[12.0 10.0],[7.0 6.0],[10.0 10.0],[5.0 8.0]]
[[12.0 10.0],[8.0 6.0],[0.0 0.0],[9.0 8.0],[6.0 6.0],[15.0 11.0],[9.0 10.0],[5.0 7.0],[10.0 7.0],[5.0 8.0]]
[[6.0 10.0],[9.0 8.0],[10.0 7.0],[0.0 0.0],[8.0 7.0],[14.0 12.0],[13.0 13.0],[5.0 6.0],[11.0 10.0],[5.0 6.0]]
[[8.0 8.0],[5.0 6.0],[10.0 7.0],[9.0 8.0],[0.0 0.0],[10.0 12.0],[9.0 13.0],[7.0 5.0],[12.0 11.0],[7.0 6.0]]
[[9.0 12.0],[6.0 7.0],[11.0 12.0],[11.0 11.0],[5.0 6.0],[0.0 0.0],[10.0 8.0],[4.0 6.0],[9.0 9.0],[7.0 8.0]]
[[8.0 9.0],[7.0 6.0],[7.0 6.0],[12.0 13.0],[5.0 7.0],[15.0 9.0],[0.0 0.0],[5.0 7.0],[9.0 11.0],[5.0 7.0]]
[[9.0 10.0],[5.0 5.0],[10.0 6.0],[9.0 11.0],[5.0 5.0],[15.0 11.0],[9.0 9.0],[0.0 0.0],[7.0 12.0],[5.0 7.0]]
[[7.0 11.0],[7.0 9.0],[7.0 6.0],[12.0 13.0],[5.0 7.0],[8.0 8.0],[10.0 11.0],[5.0 6.0],[0.0 0.0],[6.0 5.0]]
[[11.0 11.0],[6.0 6.0],[10.0 11.0],[11.0 9.0],[7.0 8.0],[13.0 11.0],[8.0 9.0],[4.0 6.0],[12.0 10.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
