N = 10;
T = 7;
K = 3;
C = 219.0;
furnance = 2;
color = 2;
machines = [4 5 6];
products = [202 172 413 53 411 109 146 130 73 136];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0]];
Pik = [[4.928616 4.928616 4.928616],[4.3781472 4.3781472 4.3781472],[4.3781472 4.3781472 4.3781472],[1.36209024 1.36209024 1.36209024],[3.936492 3.936492 3.936492],[1.12014 1.12014 1.12014],[2.112264 2.112264 2.112264],[2.6499312 2.6499312 2.6499312],[2.128266 2.128266 2.128266],[2.784348 2.784348 2.784348]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 112.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 120.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 67.0],[0.0 0.0 0.0 0.0 0.0 0.0 61.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0]];
Sijk = [[[0.0 0.0 0.0],[14.0 12.0 1.0E9],[10.0 13.0 1.0E9],[3.0 3.0 3.0],[8.0 11.0 1.0E9],[3.0 3.0 5.0],[4.0 5.0 7.0],[8.0 9.0 8.0],[5.0 5.0 6.0],[5.0 6.0 7.0]]
[[10.0 12.0 1.0E9],[0.0 0.0 0.0],[13.0 14.0 1.0E9],[4.0 3.0 6.0],[8.0 12.0 1.0E9],[3.0 3.0 5.0],[6.0 5.0 9.0],[5.0 6.0 10.0],[6.0 5.0 7.0],[9.0 7.0 10.0]]
[[8.0 12.0 1.0E9],[11.0 9.0 1.0E9],[0.0 0.0 0.0],[3.0 4.0 6.0],[9.0 7.0 1.0E9],[3.0 2.0 3.0],[5.0 4.0 9.0],[6.0 6.0 8.0],[5.0 7.0 8.0],[7.0 7.0 10.0]]
[[10.0 13.0 1.0E9],[10.0 12.0 1.0E9],[9.0 14.0 1.0E9],[0.0 0.0 0.0],[10.0 11.0 1.0E9],[3.0 3.0 4.0],[5.0 6.0 5.0],[5.0 6.0 6.0],[6.0 5.0 6.0],[8.0 7.0 9.0]]
[[13.0 13.0 1.0E9],[11.0 8.0 1.0E9],[12.0 11.0 1.0E9],[4.0 4.0 6.0],[0.0 0.0 0.0],[2.0 2.0 3.0],[5.0 4.0 6.0],[6.0 9.0 8.0],[4.0 6.0 8.0],[6.0 6.0 6.0]]
[[13.0 9.0 1.0E9],[14.0 10.0 1.0E9],[9.0 9.0 1.0E9],[3.0 5.0 4.0],[8.0 11.0 1.0E9],[0.0 0.0 0.0],[6.0 4.0 9.0],[5.0 7.0 11.0],[6.0 4.0 7.0],[6.0 9.0 11.0]]
[[8.0 13.0 1.0E9],[11.0 12.0 1.0E9],[13.0 10.0 1.0E9],[5.0 4.0 5.0],[9.0 12.0 1.0E9],[4.0 3.0 5.0],[0.0 0.0 0.0],[5.0 7.0 10.0],[6.0 7.0 5.0],[9.0 5.0 9.0]]
[[14.0 11.0 1.0E9],[11.0 12.0 1.0E9],[8.0 11.0 1.0E9],[4.0 5.0 4.0],[10.0 8.0 1.0E9],[4.0 3.0 3.0],[5.0 7.0 6.0],[0.0 0.0 0.0],[5.0 6.0 5.0],[8.0 9.0 7.0]]
[[11.0 8.0 1.0E9],[13.0 8.0 1.0E9],[10.0 10.0 1.0E9],[3.0 4.0 3.0],[10.0 11.0 1.0E9],[3.0 3.0 3.0],[5.0 5.0 7.0],[5.0 7.0 7.0],[0.0 0.0 0.0],[7.0 7.0 9.0]]
[[14.0 9.0 1.0E9],[12.0 10.0 1.0E9],[9.0 14.0 1.0E9],[5.0 3.0 5.0],[12.0 8.0 1.0E9],[3.0 3.0 4.0],[4.0 7.0 9.0],[7.0 6.0 10.0],[5.0 6.0 5.0],[0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0],[14.0 12.0 1.0E9],[10.0 13.0 1.0E9],[3.0 3.0 3.0],[8.0 11.0 1.0E9],[3.0 3.0 5.0],[4.0 5.0 7.0],[8.0 9.0 8.0],[5.0 5.0 6.0],[5.0 6.0 7.0]]
[[10.0 12.0 1.0E9],[0.0 0.0 0.0],[13.0 14.0 1.0E9],[4.0 3.0 6.0],[8.0 12.0 1.0E9],[3.0 3.0 5.0],[6.0 5.0 9.0],[5.0 6.0 10.0],[6.0 5.0 7.0],[9.0 7.0 10.0]]
[[8.0 12.0 1.0E9],[11.0 9.0 1.0E9],[0.0 0.0 0.0],[3.0 4.0 6.0],[9.0 7.0 1.0E9],[3.0 2.0 3.0],[5.0 4.0 9.0],[6.0 6.0 8.0],[5.0 7.0 8.0],[7.0 7.0 10.0]]
[[10.0 13.0 1.0E9],[10.0 12.0 1.0E9],[9.0 14.0 1.0E9],[0.0 0.0 0.0],[10.0 11.0 1.0E9],[3.0 3.0 4.0],[5.0 6.0 5.0],[5.0 6.0 6.0],[6.0 5.0 6.0],[8.0 7.0 9.0]]
[[13.0 13.0 1.0E9],[11.0 8.0 1.0E9],[12.0 11.0 1.0E9],[4.0 4.0 6.0],[0.0 0.0 0.0],[2.0 2.0 3.0],[5.0 4.0 6.0],[6.0 9.0 8.0],[4.0 6.0 8.0],[6.0 6.0 6.0]]
[[13.0 9.0 1.0E9],[14.0 10.0 1.0E9],[9.0 9.0 1.0E9],[3.0 5.0 4.0],[8.0 11.0 1.0E9],[0.0 0.0 0.0],[6.0 4.0 9.0],[5.0 7.0 11.0],[6.0 4.0 7.0],[6.0 9.0 11.0]]
[[8.0 13.0 1.0E9],[11.0 12.0 1.0E9],[13.0 10.0 1.0E9],[5.0 4.0 5.0],[9.0 12.0 1.0E9],[4.0 3.0 5.0],[0.0 0.0 0.0],[5.0 7.0 10.0],[6.0 7.0 5.0],[9.0 5.0 9.0]]
[[14.0 11.0 1.0E9],[11.0 12.0 1.0E9],[8.0 11.0 1.0E9],[4.0 5.0 4.0],[10.0 8.0 1.0E9],[4.0 3.0 3.0],[5.0 7.0 6.0],[0.0 0.0 0.0],[5.0 6.0 5.0],[8.0 9.0 7.0]]
[[11.0 8.0 1.0E9],[13.0 8.0 1.0E9],[10.0 10.0 1.0E9],[3.0 4.0 3.0],[10.0 11.0 1.0E9],[3.0 3.0 3.0],[5.0 5.0 7.0],[5.0 7.0 7.0],[0.0 0.0 0.0],[7.0 7.0 9.0]]
[[14.0 9.0 1.0E9],[12.0 10.0 1.0E9],[9.0 14.0 1.0E9],[5.0 3.0 5.0],[12.0 8.0 1.0E9],[3.0 3.0 4.0],[4.0 7.0 9.0],[7.0 6.0 10.0],[5.0 6.0 5.0],[0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
