N = 10;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 5;
machines = [4 5];
products = [234 262 209 401 408 148 189 134 481 450];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[2.6931366 2.6931366],[3.7892736 3.7892736],[5.24481552 5.24481552],[2.49887232 2.49887232],[4.896612 4.896612],[2.6627327999999997 2.6627327999999997],[3.4820352000000003 3.4820352000000003],[2.784348 2.784348],[3.30793344 3.30793344],[2.5462382399999997 2.5462382399999997]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0]];
Sijk = [[[0.0 0.0],[13.0 8.0],[12.0 13.0],[5.0 7.0],[10.0 9.0],[8.0 7.0],[6.0 9.0],[6.0 9.0],[9.0 10.0],[6.0 6.0]]
[[8.0 6.0],[0.0 0.0],[13.0 8.0],[6.0 5.0],[13.0 12.0],[6.0 6.0],[11.0 11.0],[9.0 9.0],[7.0 7.0],[8.0 8.0]]
[[8.0 7.0],[7.0 7.0],[0.0 0.0],[8.0 8.0],[11.0 8.0],[7.0 8.0],[10.0 8.0],[5.0 6.0],[10.0 9.0],[6.0 8.0]]
[[5.0 9.0],[9.0 8.0],[11.0 11.0],[0.0 0.0],[11.0 12.0],[9.0 8.0],[10.0 10.0],[7.0 7.0],[10.0 11.0],[5.0 7.0]]
[[8.0 7.0],[9.0 10.0],[11.0 14.0],[6.0 8.0],[0.0 0.0],[9.0 7.0],[7.0 7.0],[9.0 6.0],[10.0 8.0],[8.0 6.0]]
[[6.0 6.0],[8.0 12.0],[15.0 12.0],[6.0 5.0],[11.0 10.0],[0.0 0.0],[8.0 10.0],[6.0 8.0],[7.0 6.0],[5.0 5.0]]
[[8.0 7.0],[12.0 11.0],[10.0 10.0],[7.0 7.0],[8.0 14.0],[5.0 7.0],[0.0 0.0],[8.0 6.0],[10.0 8.0],[6.0 6.0]]
[[9.0 6.0],[11.0 7.0],[11.0 13.0],[6.0 8.0],[14.0 9.0],[6.0 9.0],[7.0 10.0],[0.0 0.0],[10.0 8.0],[7.0 8.0]]
[[5.0 6.0],[12.0 8.0],[9.0 8.0],[6.0 7.0],[12.0 9.0],[6.0 5.0],[7.0 7.0],[8.0 9.0],[0.0 0.0],[6.0 5.0]]
[[7.0 5.0],[9.0 7.0],[15.0 10.0],[8.0 6.0],[8.0 15.0],[6.0 6.0],[8.0 6.0],[8.0 7.0],[11.0 9.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[13.0 8.0],[12.0 13.0],[5.0 7.0],[10.0 9.0],[8.0 7.0],[6.0 9.0],[6.0 9.0],[9.0 10.0],[6.0 6.0]]
[[8.0 6.0],[0.0 0.0],[13.0 8.0],[6.0 5.0],[13.0 12.0],[6.0 6.0],[11.0 11.0],[9.0 9.0],[7.0 7.0],[8.0 8.0]]
