N = 20;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 2;
machines = [4 5];
products = [411 195 109 438 240 173 157 73 193 430 167 71 136 202 428 465 187 418 413 467];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.936492 3.936492],[4.4933616 4.4933616],[1.12014 1.12014],[4.4149518 4.4149518],[3.2089130640000003 3.2089130640000003],[4.3781472 4.3781472],[2.88036 2.88036],[2.128266 2.128266],[3.4820352000000003 3.4820352000000003],[2.9571696000000003 2.9571696000000003],[4.576572 4.576572],[2.0066508 2.0066508],[2.784348 2.784348],[4.928616 4.928616],[3.9172896 3.9172896],[4.4933616 4.4933616],[3.6868608000000003 3.6868608000000003],[4.4933616 4.4933616],[4.3781472 4.3781472],[4.4933616 4.4933616]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0]];
Sijk = [[[0.0 0.0],[14.0 15.0],[4.0 3.0],[12.0 8.0],[8.0 7.0],[9.0 13.0],[8.0 9.0],[4.0 6.0],[10.0 8.0],[6.0 8.0],[11.0 13.0],[5.0 6.0],[6.0 9.0],[10.0 10.0],[11.0 8.0],[9.0 11.0],[7.0 12.0],[13.0 9.0],[10.0 9.0],[11.0 13.0]]
[[9.0 8.0],[0.0 0.0],[3.0 3.0],[14.0 10.0],[8.0 6.0],[10.0 12.0],[6.0 10.0],[5.0 5.0],[11.0 10.0],[8.0 6.0],[10.0 12.0],[4.0 5.0],[7.0 9.0],[11.0 9.0],[10.0 10.0],[14.0 8.0],[12.0 11.0],[14.0 12.0],[11.0 8.0],[13.0 13.0]]
[[10.0 11.0],[14.0 14.0],[0.0 0.0],[11.0 12.0],[10.0 10.0],[9.0 12.0],[6.0 7.0],[7.0 5.0],[9.0 7.0],[9.0 5.0],[12.0 13.0],[5.0 5.0],[7.0 7.0],[14.0 12.0],[12.0 11.0],[8.0 10.0],[9.0 8.0],[14.0 10.0],[11.0 8.0],[14.0 9.0]]
[[8.0 11.0],[8.0 8.0],[3.0 4.0],[0.0 0.0],[8.0 8.0],[14.0 11.0],[8.0 8.0],[5.0 4.0],[11.0 10.0],[7.0 8.0],[12.0 14.0],[6.0 6.0],[9.0 9.0],[14.0 15.0],[11.0 7.0],[11.0 12.0],[10.0 12.0],[11.0 8.0],[12.0 14.0],[13.0 13.0]]
[[8.0 12.0],[12.0 13.0],[4.0 2.0],[11.0 11.0],[0.0 0.0],[9.0 10.0],[8.0 8.0],[5.0 5.0],[11.0 11.0],[6.0 7.0],[8.0 14.0],[7.0 6.0],[8.0 8.0],[14.0 9.0],[8.0 11.0],[8.0 8.0],[8.0 8.0],[13.0 12.0],[8.0 11.0],[12.0 14.0]]
[[8.0 7.0],[14.0 11.0],[3.0 3.0],[8.0 11.0],[8.0 8.0],[0.0 0.0],[9.0 9.0],[5.0 7.0],[11.0 8.0],[6.0 5.0],[9.0 8.0],[5.0 6.0],[6.0 9.0],[15.0 9.0],[12.0 7.0],[13.0 9.0],[8.0 6.0],[12.0 13.0],[9.0 13.0],[11.0 11.0]]
[[9.0 10.0],[12.0 14.0],[4.0 2.0],[13.0 13.0],[9.0 10.0],[14.0 10.0],[0.0 0.0],[5.0 4.0],[8.0 11.0],[8.0 8.0],[8.0 8.0],[6.0 5.0],[8.0 9.0],[9.0 10.0],[13.0 11.0],[14.0 9.0],[11.0 8.0],[8.0 13.0],[13.0 14.0],[14.0 10.0]]
