N = 20;
T = 14;
K = 3;
C = 219.0;
furnance = 2;
color = 1;
machines = [4 5 6];
products = [178 116 241 151 170 219 16 95 132 252 188 123 9 88 87 70 135 72 140 142];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0]];
Pik = [[4.9094136 4.9094136 4.9094136],[3.456432 3.456432 3.456432],[3.2089130640000003 3.2089130640000003 3.2089130640000003],[2.432304 2.432304 2.432304],[4.576572 4.576572 4.576572],[2.63584944 2.63584944 2.63584944],[3.8020752 3.8020752 3.8020752],[3.072384 3.072384 3.072384],[2.5795224 2.5795224 2.5795224],[3.6868608000000003 3.6868608000000003 3.6868608000000003],[3.6868608000000003 3.6868608000000003 3.6868608000000003],[2.71841976 2.71841976 2.71841976],[3.36042 3.36042 3.36042],[3.8020752 3.8020752 3.8020752],[2.0130516000000003 2.0130516000000003 2.0130516000000003],[2.9379672 2.9379672 2.9379672],[2.784348 2.784348 2.784348],[2.128266 2.128266 2.128266],[2.9379672 2.9379672 2.9379672],[2.5347168 2.5347168 2.5347168]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0],[0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0]];
Sijk = [[[0.0 0.0 0.0],[10.0 11.0 11.0],[7.0 10.0 8.0],[5.0 8.0 10.0],[11.0 12.0 1.0E9],[5.0 9.0 1.0E9],[10.0 7.0 1.0E9],[8.0 7.0 1.0E9],[5.0 6.0 8.0],[10.0 7.0 9.0],[11.0 7.0 1.0E9],[8.0 6.0 7.0],[6.0 9.0 11.0],[11.0 7.0 13.0],[4.0 5.0 7.0],[6.0 9.0 8.0],[5.0 6.0 10.0],[7.0 5.0 6.0],[8.0 8.0 7.0],[7.0 7.0 8.0]]
[[10.0 13.0 1.0E9],[0.0 0.0 0.0],[8.0 10.0 12.0],[6.0 5.0 5.0],[11.0 14.0 1.0E9],[6.0 6.0 1.0E9],[9.0 13.0 1.0E9],[10.0 9.0 1.0E9],[5.0 7.0 9.0],[7.0 11.0 10.0],[11.0 9.0 1.0E9],[7.0 8.0 9.0],[10.0 7.0 9.0],[8.0 11.0 9.0],[6.0 6.0 6.0],[9.0 6.0 7.0],[8.0 5.0 11.0],[5.0 7.0 8.0],[9.0 8.0 11.0],[6.0 7.0 7.0]]
[[8.0 13.0 1.0E9],[8.0 10.0 8.0],[0.0 0.0 0.0],[5.0 6.0 10.0],[10.0 9.0 1.0E9],[9.0 8.0 1.0E9],[8.0 12.0 1.0E9],[9.0 9.0 1.0E9],[5.0 7.0 9.0],[9.0 7.0 10.0],[8.0 9.0 1.0E9],[5.0 6.0 7.0],[7.0 7.0 13.0],[12.0 9.0 13.0],[5.0 5.0 5.0],[9.0 9.0 12.0],[6.0 9.0 6.0],[5.0 6.0 5.0],[9.0 6.0 11.0],[6.0 6.0 7.0]]
[[11.0 15.0 1.0E9],[6.0 11.0 11.0],[10.0 7.0 11.0],[0.0 0.0 0.0],[15.0 11.0 1.0E9],[8.0 6.0 1.0E9],[10.0 10.0 1.0E9],[10.0 7.0 1.0E9],[8.0 6.0 9.0],[12.0 7.0 10.0],[12.0 10.0 1.0E9],[8.0 9.0 9.0],[9.0 9.0 12.0],[7.0 10.0 12.0],[5.0 6.0 8.0],[8.0 9.0 8.0],[6.0 8.0 10.0],[5.0 5.0 9.0],[9.0 9.0 7.0],[6.0 6.0 6.0]]
[[12.0 13.0 1.0E9],[12.0 8.0 8.0],[10.0 8.0 10.0],[7.0 8.0 7.0],[0.0 0.0 0.0],[8.0 8.0 1.0E9],[11.0 10.0 1.0E9],[9.0 8.0 1.0E9],[7.0 7.0 8.0],[10.0 12.0 13.0],[9.0 12.0 1.0E9],[6.0 8.0 10.0],[9.0 10.0 11.0],[10.0 9.0 15.0],[5.0 4.0 6.0],[10.0 9.0 10.0],[6.0 7.0 7.0],[4.0 7.0 6.0],[10.0 10.0 11.0],[8.0 8.0 8.0]]
[[9.0 12.0 1.0E9],[9.0 11.0 14.0],[9.0 9.0 12.0],[6.0 5.0 9.0],[14.0 9.0 1.0E9],[0.0 0.0 0.0],[7.0 10.0 1.0E9],[6.0 9.0 1.0E9],[5.0 6.0 7.0],[11.0 12.0 12.0],[9.0 11.0 1.0E9],[9.0 8.0 9.0],[6.0 9.0 8.0],[10.0 12.0 10.0],[5.0 4.0 5.0],[7.0 9.0 8.0],[7.0 6.0 9.0],[7.0 7.0 8.0],[10.0 9.0 7.0],[7.0 7.0 9.0]]
[[15.0 11.0 1.0E9],[10.0 11.0 12.0],[10.0 10.0 7.0],[8.0 8.0 9.0],[15.0 14.0 1.0E9],[6.0 7.0 1.0E9],[0.0 0.0 0.0],[10.0 7.0 1.0E9],[9.0 5.0 6.0],[7.0 7.0 11.0],[12.0 11.0 1.0E9],[9.0 5.0 9.0],[7.0 7.0 11.0],[8.0 9.0 11.0],[6.0 5.0 7.0],[7.0 7.0 10.0],[8.0 9.0 12.0],[7.0 6.0 7.0],[9.0 7.0 7.0],[6.0 8.0 7.0]]
