N = 20;
T = 7;
K = 4;
C = 292.0;
furnance = 2;
color = 3;
machines = [4 5 6 7];
products = [21 224 243 232 220 242 185 218 13 94 239 244 66 231 230 15 223 133 10 463];
MINik = [[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0],[12.0 12.0 16.0 12.0]];
MAXik = [[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 20.0 20.0],[16.0 16.0 0.0 20.0],[16.0 16.0 0.0 20.0]];
Pik = [[4.7109888 4.7109888 4.7109888 4.7109888],[4.32054 4.32054 4.32054 4.32054],[3.3460182 3.3460182 3.3460182 3.3460182],[3.456432 3.456432 3.456432 3.456432],[2.784348 2.784348 2.784348 2.784348],[3.3460182 3.3460182 3.3460182 3.3460182],[3.8276784 3.8276784 3.8276784 3.8276784],[2.63584944 2.63584944 2.63584944 2.63584944],[3.84048 3.84048 3.84048 3.84048],[3.072384 3.072384 3.072384 3.072384],[3.3591398399999997 3.3591398399999997 3.3591398399999997 3.3591398399999997],[3.3460182 3.3460182 3.3460182 3.3460182],[2.8675584 2.8675584 2.8675584 2.8675584],[3.3591398399999997 3.3591398399999997 3.3591398399999997 3.3591398399999997],[3.2452056000000002 3.2452056000000002 3.2452056000000002 3.2452056000000002],[3.8020752 3.8020752 3.8020752 3.8020752],[4.032504 4.032504 4.032504 4.032504],[2.784348 2.784348 2.784348 2.784348],[3.84048 3.84048 3.84048 3.84048],[4.4933616 4.4933616 4.4933616 4.4933616]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 60.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[13.0 10.0 1.0E9 8.0],[10.0 10.0 1.0E9 8.0],[8.0 11.0 8.0 13.0],[8.0 7.0 1.0E9 10.0],[10.0 9.0 10.0 10.0],[8.0 12.0 1.0E9 13.0],[9.0 6.0 1.0E9 8.0],[12.0 7.0 1.0E9 13.0],[9.0 8.0 1.0E9 8.0],[11.0 9.0 9.0 8.0],[7.0 7.0 13.0 12.0],[5.0 8.0 9.0 8.0],[9.0 10.0 10.0 13.0],[6.0 10.0 13.0 11.0],[7.0 12.0 1.0E9 12.0],[13.0 7.0 1.0E9 13.0],[8.0 7.0 9.0 8.0],[11.0 7.0 1.0E9 11.0],[8.0 11.0 1.0E9 15.0]]
[[15.0 13.0 1.0E9 10.0],[0.0 0.0 0.0 0.0],[8.0 7.0 1.0E9 13.0],[10.0 11.0 12.0 13.0],[6.0 9.0 1.0E9 9.0],[10.0 6.0 10.0 8.0],[9.0 12.0 1.0E9 8.0],[8.0 5.0 1.0E9 10.0],[12.0 9.0 1.0E9 9.0],[10.0 8.0 1.0E9 12.0],[10.0 8.0 8.0 9.0],[11.0 9.0 13.0 14.0],[7.0 5.0 6.0 7.0],[11.0 8.0 10.0 10.0],[8.0 6.0 10.0 9.0],[11.0 12.0 1.0E9 11.0],[8.0 12.0 1.0E9 13.0],[6.0 9.0 10.0 8.0],[12.0 7.0 1.0E9 9.0],[10.0 14.0 1.0E9 13.0]]
[[12.0 15.0 1.0E9 12.0],[12.0 8.0 1.0E9 10.0],[0.0 0.0 0.0 0.0],[10.0 9.0 14.0 13.0],[5.0 9.0 1.0E9 6.0],[10.0 7.0 12.0 11.0],[8.0 12.0 1.0E9 9.0],[8.0 6.0 1.0E9 8.0],[7.0 8.0 1.0E9 11.0],[7.0 8.0 1.0E9 12.0],[8.0 10.0 11.0 13.0],[8.0 6.0 13.0 8.0],[7.0 9.0 7.0 8.0],[7.0 11.0 12.0 11.0],[9.0 7.0 13.0 10.0],[7.0 9.0 1.0E9 10.0],[9.0 11.0 1.0E9 12.0],[7.0 6.0 8.0 11.0],[9.0 10.0 1.0E9 10.0],[14.0 12.0 1.0E9 12.0]]
[[11.0 12.0 1.0E9 8.0],[12.0 12.0 1.0E9 9.0],[11.0 6.0 1.0E9 11.0],[0.0 0.0 0.0 0.0],[6.0 6.0 1.0E9 11.0],[6.0 10.0 13.0 11.0],[11.0 7.0 1.0E9 8.0],[5.0 6.0 1.0E9 11.0],[9.0 11.0 1.0E9 14.0],[10.0 8.0 1.0E9 11.0],[9.0 8.0 10.0 13.0],[10.0 6.0 9.0 8.0],[6.0 6.0 11.0 8.0],[8.0 11.0 13.0 9.0],[8.0 10.0 13.0 11.0],[11.0 7.0 1.0E9 10.0],[10.0 8.0 1.0E9 12.0],[7.0 8.0 8.0 10.0],[8.0 9.0 1.0E9 14.0],[9.0 14.0 1.0E9 14.0]]
[[13.0 13.0 1.0E9 9.0],[13.0 10.0 1.0E9 12.0],[6.0 9.0 1.0E9 9.0],[8.0 9.0 12.0 11.0],[0.0 0.0 0.0 0.0],[10.0 10.0 10.0 13.0],[9.0 10.0 1.0E9 14.0],[8.0 8.0 1.0E9 10.0],[12.0 7.0 1.0E9 10.0],[7.0 9.0 1.0E9 11.0],[8.0 6.0 14.0 10.0],[6.0 11.0 10.0 8.0],[9.0 7.0 12.0 8.0],[8.0 7.0 9.0 10.0],[8.0 10.0 9.0 11.0],[8.0 9.0 1.0E9 11.0],[7.0 8.0 1.0E9 13.0],[6.0 6.0 9.0 10.0],[11.0 7.0 1.0E9 15.0],[12.0 15.0 1.0E9 9.0]]
[[10.0 11.0 1.0E9 8.0],[10.0 10.0 1.0E9 9.0],[10.0 10.0 1.0E9 14.0],[7.0 7.0 12.0 8.0],[8.0 7.0 1.0E9 8.0],[0.0 0.0 0.0 0.0],[11.0 12.0 1.0E9 13.0],[7.0 7.0 1.0E9 9.0],[8.0 9.0 1.0E9 9.0],[8.0 8.0 1.0E9 7.0],[10.0 10.0 13.0 12.0],[9.0 6.0 12.0 14.0],[9.0 5.0 7.0 10.0],[6.0 7.0 7.0 10.0],[8.0 7.0 7.0 10.0],[10.0 12.0 1.0E9 12.0],[13.0 12.0 1.0E9 15.0],[9.0 6.0 11.0 7.0],[13.0 12.0 1.0E9 14.0],[9.0 14.0 1.0E9 8.0]]
