N = 10;
T = 28;
K = 4;
C = 240.0;
furnance = 6;
color = 2;
machines = [17 18 19 20];
products = [130 418 240 411 126 428 413 193 109 430];
MINik = [[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0]];
MAXik = [[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[0.0 0.0 16.0 0.0],[0.0 0.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0]];
Pik = [[2.68272 2.68272 2.68272 2.68272],[4.54896 4.54896 4.54896 4.54896],[3.2486184000000002 3.2486184000000002 3.2486184000000002 3.2486184000000002],[3.9852 3.9852 3.9852 3.9852],[2.593296 2.593296 2.593296 2.593296],[3.96576 3.96576 3.96576 3.96576],[4.43232 4.43232 4.43232 4.43232],[3.52512 3.52512 3.52512 3.52512],[1.134 1.134 1.134 1.134],[2.99376 2.99376 2.99376 2.99376]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 85.0 0.0 0.0 0.0 0.0 0.0 0.0 85.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 130.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 134.0 0.0 0.0 0.0 0.0 0.0 0.0 129.0],[0.0 0.0 0.0 0.0 0.0 0.0 124.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 125.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 114.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 132.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 126.0 0.0 0.0 0.0 0.0 0.0 0.0 114.0 0.0 0.0 0.0 0.0 0.0 0.0 134.0 0.0 0.0 0.0 0.0 0.0 0.0 114.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 113.0 0.0 0.0 0.0 0.0 0.0 0.0 113.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 138.0 0.0 0.0 0.0 0.0 0.0 0.0 105.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 135.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[10.0 8.0 11.0 5.0],[11.0 10.0 7.0 4.0],[1.0E9 10.0 12.0 1.0E9],[6.0 9.0 5.0 3.0],[1.0E9 11.0 8.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[4.0 4.0 2.0 2.0],[11.0 7.0 6.0 5.0]]
[[11.0 6.0 7.0 4.0],[0.0 0.0 0.0 0.0],[7.0 11.0 9.0 5.0],[1.0E9 7.0 7.0 1.0E9],[8.0 7.0 5.0 3.0],[1.0E9 11.0 11.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[3.0 5.0 3.0 2.0],[9.0 11.0 6.0 5.0]]
[[10.0 8.0 6.0 4.0],[11.0 12.0 8.0 6.0],[0.0 0.0 0.0 0.0],[1.0E9 9.0 7.0 1.0E9],[8.0 6.0 7.0 3.0],[1.0E9 11.0 12.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[4.0 4.0 3.0 2.0],[8.0 7.0 7.0 4.0]]
[[6.0 8.0 7.0 5.0],[12.0 9.0 11.0 7.0],[12.0 12.0 8.0 5.0],[0.0 0.0 0.0 0.0],[7.0 8.0 7.0 4.0],[1.0E9 9.0 10.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[4.0 4.0 3.0 2.0],[11.0 10.0 8.0 4.0]]
[[6.0 8.0 5.0 4.0],[12.0 8.0 11.0 4.0],[12.0 12.0 10.0 6.0],[1.0E9 8.0 12.0 1.0E9],[0.0 0.0 0.0 0.0],[1.0E9 9.0 7.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 12.0 1.0E9],[4.0 5.0 4.0 2.0],[7.0 9.0 8.0 3.0]]
[[6.0 11.0 8.0 3.0],[11.0 8.0 12.0 6.0],[11.0 12.0 10.0 5.0],[1.0E9 11.0 9.0 1.0E9],[11.0 6.0 6.0 3.0],[0.0 0.0 0.0 0.0],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[3.0 5.0 3.0 1.0],[8.0 9.0 8.0 4.0]]
