N = 10;
T = 14;
K = 3;
C = 135.0;
furnance = 1;
color = 1;
machines = [1 2 3];
products = [118 208 95 184 140 99 51 16 63 74];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0]];
Pik = [[2.916 2.916 2.916],[5.28768 5.28768 5.28768],[3.1104 3.1104 3.1104],[3.7908 3.7908 3.7908],[2.97432 2.97432 2.97432],[4.35456 4.35456 4.35456],[3.564 3.564 3.564],[3.84912 3.84912 3.84912],[3.73248 3.73248 3.73248],[2.1546 2.1546 2.1546]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0],[0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0],[0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0],[0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0]];
Sijk = [[[0.0 0.0 0.0],[6.0 6.0 1.0E9],[7.0 4.0 5.0],[7.0 5.0 1.0E9],[5.0 5.0 8.0],[1.0E9 4.0 6.0],[1.0E9 3.0 8.0],[7.0 5.0 7.0],[1.0E9 4.0 8.0],[7.0 3.0 7.0]]
[[8.0 5.0 6.0],[0.0 0.0 0.0],[9.0 3.0 5.0],[6.0 5.0 1.0E9],[6.0 4.0 8.0],[1.0E9 5.0 5.0],[1.0E9 5.0 9.0],[7.0 7.0 9.0],[1.0E9 6.0 6.0],[6.0 3.0 5.0]]
[[5.0 3.0 5.0],[6.0 6.0 1.0E9],[0.0 0.0 0.0],[9.0 4.0 1.0E9],[9.0 4.0 9.0],[1.0E9 4.0 6.0],[1.0E9 5.0 5.0],[5.0 7.0 7.0],[1.0E9 5.0 9.0],[5.0 3.0 6.0]]
[[5.0 4.0 6.0],[8.0 7.0 1.0E9],[9.0 4.0 6.0],[0.0 0.0 0.0],[7.0 4.0 7.0],[1.0E9 6.0 7.0],[1.0E9 6.0 8.0],[7.0 6.0 8.0],[1.0E9 4.0 6.0],[5.0 3.0 5.0]]
[[9.0 4.0 5.0],[6.0 9.0 1.0E9],[8.0 4.0 7.0],[8.0 5.0 1.0E9],[0.0 0.0 0.0],[1.0E9 5.0 6.0],[1.0E9 5.0 7.0],[7.0 4.0 5.0],[1.0E9 4.0 6.0],[5.0 4.0 6.0]]
[[7.0 4.0 6.0],[6.0 6.0 1.0E9],[9.0 3.0 9.0],[5.0 6.0 1.0E9],[6.0 4.0 7.0],[0.0 0.0 0.0],[1.0E9 5.0 5.0],[6.0 6.0 6.0],[1.0E9 5.0 9.0],[7.0 2.0 6.0]]
[[9.0 3.0 7.0],[9.0 9.0 1.0E9],[8.0 5.0 6.0],[6.0 6.0 1.0E9],[9.0 5.0 8.0],[1.0E9 7.0 7.0],[0.0 0.0 0.0],[9.0 5.0 8.0],[1.0E9 5.0 9.0],[4.0 4.0 5.0]]
