N = 14;
T = 14;
K = 3;
C = 135.0;
furnance = 1;
color = 5;
machines = [1 2 3];
products = [434 80 150 417 263 34 469 192 245 35 401 404 435 406];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[0.0 0.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0]];
Pik = [[3.03264 3.03264 3.03264],[3.99168 3.99168 3.99168],[2.86416 2.86416 2.86416],[3.4992 3.4992 3.4992],[5.4432 5.4432 5.4432],[3.20112 3.20112 3.20112],[5.71536 5.71536 5.71536],[3.52512 3.52512 3.52512],[2.6231039999999997 2.6231039999999997 2.6231039999999997],[3.52512 3.52512 3.52512],[2.529792 2.529792 2.529792],[3.5604359999999993 3.5604359999999993 3.5604359999999993],[4.46958 4.46958 4.46958],[3.888 3.888 3.888]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0]];
Sijk = [[[0.0 0.0 0.0],[9.0 4.0 6.0],[6.0 5.0 7.0],[8.0 4.0 7.0],[9.0 5.0 1.0E9],[9.0 4.0 6.0],[1.0E9 6.0 7.0],[1.0E9 4.0 9.0],[9.0 4.0 6.0],[6.0 5.0 1.0E9],[1.0E9 1.0E9 8.0],[1.0E9 4.0 7.0],[1.0E9 4.0 8.0],[5.0 6.0 8.0]]
[[7.0 5.0 6.0],[0.0 0.0 0.0],[6.0 5.0 6.0],[7.0 4.0 8.0],[7.0 8.0 1.0E9],[6.0 3.0 6.0],[1.0E9 7.0 8.0],[1.0E9 6.0 6.0],[9.0 3.0 7.0],[7.0 6.0 1.0E9],[1.0E9 1.0E9 5.0],[1.0E9 4.0 7.0],[1.0E9 6.0 5.0],[6.0 4.0 6.0]]
[[8.0 4.0 6.0],[9.0 4.0 8.0],[0.0 0.0 0.0],[5.0 3.0 8.0],[6.0 9.0 1.0E9],[8.0 5.0 8.0],[1.0E9 6.0 8.0],[1.0E9 4.0 9.0],[5.0 5.0 9.0],[8.0 5.0 1.0E9],[1.0E9 1.0E9 7.0],[1.0E9 5.0 6.0],[1.0E9 6.0 8.0],[8.0 5.0 5.0]]
[[8.0 5.0 5.0],[6.0 4.0 9.0],[9.0 5.0 7.0],[0.0 0.0 0.0],[9.0 8.0 1.0E9],[8.0 5.0 9.0],[1.0E9 7.0 9.0],[1.0E9 4.0 5.0],[9.0 5.0 5.0],[5.0 4.0 1.0E9],[1.0E9 1.0E9 6.0],[1.0E9 5.0 6.0],[1.0E9 7.0 7.0],[6.0 4.0 7.0]]
[[9.0 5.0 9.0],[7.0 5.0 7.0],[6.0 4.0 8.0],[7.0 3.0 6.0],[0.0 0.0 0.0],[8.0 5.0 8.0],[1.0E9 8.0 5.0],[1.0E9 5.0 9.0],[7.0 3.0 5.0],[8.0 5.0 1.0E9],[1.0E9 1.0E9 9.0],[1.0E9 5.0 7.0],[1.0E9 6.0 6.0],[8.0 7.0 6.0]]
[[5.0 3.0 9.0],[9.0 5.0 6.0],[5.0 5.0 9.0],[6.0 4.0 7.0],[7.0 8.0 1.0E9],[0.0 0.0 0.0],[1.0E9 7.0 9.0],[1.0E9 5.0 7.0],[6.0 4.0 6.0],[9.0 4.0 1.0E9],[1.0E9 1.0E9 6.0],[1.0E9 4.0 8.0],[1.0E9 6.0 7.0],[5.0 6.0 8.0]]
[[6.0 4.0 8.0],[5.0 5.0 6.0],[6.0 4.0 8.0],[6.0 4.0 8.0],[8.0 8.0 1.0E9],[7.0 3.0 9.0],[0.0 0.0 0.0],[1.0E9 5.0 6.0],[6.0 4.0 6.0],[9.0 4.0 1.0E9],[1.0E9 1.0E9 5.0],[1.0E9 5.0 8.0],[1.0E9 6.0 5.0],[7.0 6.0 9.0]]
