N = 20;
T = 28;
K = 5;
C = 365.0;
furnance = 2;
color = 1;
machines = [4 5 6 7 8];
products = [69 101 147 253 129 16 211 78 164 124 127 87 199 141 89 429 241 163 51 415];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0]];
Pik = [[2.32861104 2.32861104 2.32861104 2.32861104 2.32861104],[4.408551 4.408551 4.408551 4.408551 4.408551],[3.48971616 3.48971616 3.48971616 3.48971616 3.48971616],[3.6868608000000003 3.6868608000000003 3.6868608000000003 3.6868608000000003 3.6868608000000003],[2.5616001600000002 2.5616001600000002 2.5616001600000002 2.5616001600000002 2.5616001600000002],[3.8020752 3.8020752 3.8020752 3.8020752 3.8020752],[4.3269408 4.3269408 4.3269408 4.3269408 4.3269408],[1.856232 1.856232 1.856232 1.856232 1.856232],[3.648456 3.648456 3.648456 3.648456 3.648456],[2.3938992000000003 2.3938992000000003 2.3938992000000003 2.3938992000000003 2.3938992000000003],[2.5616001600000002 2.5616001600000002 2.5616001600000002 2.5616001600000002 2.5616001600000002],[2.0130516000000003 2.0130516000000003 2.0130516000000003 2.0130516000000003 2.0130516000000003],[3.6868608000000003 3.6868608000000003 3.6868608000000003 3.6868608000000003 3.6868608000000003],[2.6755344 2.6755344 2.6755344 2.6755344 2.6755344],[4.4357544 4.4357544 4.4357544 4.4357544 4.4357544],[3.9172896 3.9172896 3.9172896 3.9172896 3.9172896],[3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003],[3.648456 3.648456 3.648456 3.648456 3.648456],[3.52044 3.52044 3.52044 3.52044 3.52044],[3.84048 3.84048 3.84048 3.84048 3.84048]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 89.0],[0.0 0.0 0.0 0.0 0.0 0.0 105.0 0.0 0.0 0.0 0.0 0.0 0.0 107.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0 0.0 0.0 0.0 0.0 0.0 0.0 105.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0],[0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 106.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 94.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 97.0],[0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 104.0],[0.0 0.0 0.0 0.0 0.0 0.0 62.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 92.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 98.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[11.0 13.0 1.0E9 9.0 8.0],[12.0 9.0 12.0 10.0 8.0],[8.0 10.0 11.0 11.0 10.0],[6.0 7.0 7.0 8.0 8.0],[10.0 8.0 1.0E9 9.0 12.0],[14.0 14.0 1.0E9 10.0 12.0],[6.0 5.0 5.0 4.0 8.0],[7.0 10.0 13.0 8.0 10.0],[6.0 8.0 9.0 7.0 7.0],[7.0 6.0 10.0 7.0 9.0],[5.0 7.0 7.0 7.0 8.0],[7.0 9.0 1.0E9 13.0 15.0],[7.0 6.0 11.0 7.0 10.0],[8.0 10.0 1.0E9 10.0 13.0],[7.0 12.0 1.0E9 12.0 8.0],[9.0 6.0 10.0 7.0 10.0],[7.0 9.0 11.0 11.0 9.0],[7.0 8.0 1.0E9 8.0 14.0],[9.0 8.0 1.0E9 12.0 15.0]]
[[7.0 5.0 8.0 5.0 9.0],[0.0 0.0 0.0 0.0 0.0],[8.0 11.0 13.0 11.0 9.0],[11.0 9.0 13.0 10.0 11.0],[5.0 5.0 11.0 7.0 6.0],[10.0 12.0 1.0E9 14.0 10.0],[9.0 11.0 1.0E9 10.0 8.0],[6.0 5.0 5.0 5.0 6.0],[10.0 9.0 11.0 9.0 8.0],[8.0 7.0 8.0 9.0 6.0],[8.0 8.0 7.0 9.0 8.0],[5.0 7.0 7.0 6.0 6.0],[11.0 10.0 1.0E9 9.0 10.0],[7.0 6.0 9.0 9.0 11.0],[14.0 15.0 1.0E9 15.0 12.0],[10.0 9.0 1.0E9 12.0 10.0],[10.0 10.0 12.0 12.0 9.0],[11.0 6.0 13.0 13.0 9.0],[11.0 9.0 1.0E9 14.0 10.0],[10.0 8.0 1.0E9 14.0 8.0]]
[[4.0 7.0 6.0 7.0 6.0],[15.0 13.0 1.0E9 8.0 12.0],[0.0 0.0 0.0 0.0 0.0],[11.0 9.0 11.0 13.0 8.0],[7.0 5.0 7.0 9.0 6.0],[9.0 11.0 1.0E9 10.0 10.0],[11.0 11.0 1.0E9 9.0 11.0],[5.0 5.0 6.0 7.0 5.0],[11.0 12.0 13.0 14.0 8.0],[8.0 5.0 6.0 8.0 6.0],[6.0 7.0 9.0 7.0 6.0],[6.0 5.0 7.0 6.0 8.0],[11.0 10.0 1.0E9 15.0 15.0],[6.0 7.0 6.0 7.0 7.0],[11.0 14.0 1.0E9 14.0 9.0],[8.0 12.0 1.0E9 10.0 10.0],[7.0 6.0 9.0 11.0 10.0],[11.0 7.0 13.0 11.0 15.0],[7.0 10.0 1.0E9 8.0 9.0],[12.0 8.0 1.0E9 10.0 9.0]]
[[8.0 8.0 7.0 7.0 7.0],[8.0 10.0 1.0E9 11.0 8.0],[11.0 9.0 11.0 14.0 12.0],[0.0 0.0 0.0 0.0 0.0],[7.0 7.0 10.0 8.0 8.0],[7.0 9.0 1.0E9 13.0 10.0],[13.0 8.0 1.0E9 10.0 12.0],[5.0 5.0 4.0 7.0 5.0],[9.0 9.0 11.0 8.0 9.0],[7.0 7.0 10.0 8.0 5.0],[5.0 7.0 9.0 11.0 6.0],[6.0 6.0 8.0 6.0 5.0],[8.0 11.0 1.0E9 10.0 10.0],[7.0 7.0 11.0 6.0 7.0],[14.0 8.0 1.0E9 10.0 13.0],[10.0 8.0 1.0E9 9.0 12.0],[9.0 10.0 8.0 9.0 11.0],[10.0 10.0 14.0 9.0 13.0],[8.0 11.0 1.0E9 12.0 8.0],[11.0 11.0 1.0E9 14.0 14.0]]
[[6.0 6.0 7.0 7.0 8.0],[10.0 13.0 1.0E9 12.0 13.0],[7.0 11.0 12.0 7.0 13.0],[10.0 7.0 11.0 10.0 8.0],[0.0 0.0 0.0 0.0 0.0],[11.0 11.0 1.0E9 11.0 13.0],[13.0 9.0 1.0E9 12.0 10.0],[5.0 6.0 6.0 5.0 7.0],[7.0 12.0 9.0 12.0 15.0],[7.0 5.0 7.0 10.0 8.0],[8.0 5.0 6.0 10.0 9.0],[7.0 5.0 5.0 5.0 9.0],[8.0 7.0 1.0E9 12.0 12.0],[7.0 6.0 6.0 7.0 11.0],[11.0 10.0 1.0E9 13.0 8.0],[12.0 8.0 1.0E9 12.0 8.0],[8.0 10.0 10.0 9.0 8.0],[10.0 9.0 10.0 14.0 13.0],[10.0 10.0 1.0E9 9.0 11.0],[9.0 11.0 1.0E9 9.0 12.0]]
[[8.0 8.0 9.0 10.0 9.0],[14.0 9.0 1.0E9 13.0 14.0],[10.0 9.0 11.0 10.0 12.0],[8.0 9.0 12.0 8.0 10.0],[6.0 6.0 10.0 8.0 10.0],[0.0 0.0 0.0 0.0 0.0],[11.0 9.0 1.0E9 11.0 12.0],[5.0 4.0 7.0 7.0 7.0],[11.0 11.0 13.0 14.0 8.0],[7.0 5.0 6.0 8.0 8.0],[7.0 7.0 7.0 11.0 8.0],[5.0 5.0 8.0 6.0 7.0],[8.0 9.0 1.0E9 11.0 9.0],[6.0 9.0 8.0 6.0 11.0],[9.0 14.0 1.0E9 10.0 12.0],[12.0 12.0 1.0E9 10.0 13.0],[10.0 6.0 11.0 9.0 8.0],[8.0 12.0 12.0 14.0 9.0],[11.0 7.0 1.0E9 8.0 13.0],[10.0 10.0 1.0E9 13.0 14.0]]
