N = 9;
T = 14;
K = 2;
C = 130.0;
furnance = 3;
color = 3;
machines = [9 10];
products = [226 233 238 239 242 231 230 133 66];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.956824 2.956824],[3.040416 3.040416],[3.67416 3.67416],[3.400704 3.400704],[3.38742 3.38742],[3.400704 3.400704],[3.28536 3.28536],[2.8188 2.8188],[2.90304 2.90304]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0]];
Sijk = [[[0.0 0.0],[11.0 12.0],[12.0 1.0E9],[9.0 9.0],[8.0 10.0],[8.0 8.0],[10.0 9.0],[11.0 7.0],[10.0 10.0]]
[[9.0 1.0E9],[0.0 0.0],[9.0 1.0E9],[12.0 12.0],[10.0 8.0],[8.0 13.0],[12.0 9.0],[10.0 8.0],[11.0 8.0]]
[[9.0 1.0E9],[9.0 7.0],[0.0 0.0],[13.0 9.0],[12.0 12.0],[9.0 9.0],[7.0 11.0],[10.0 11.0],[8.0 7.0]]
[[9.0 1.0E9],[7.0 12.0],[13.0 1.0E9],[0.0 0.0],[8.0 13.0],[13.0 13.0],[10.0 7.0],[8.0 9.0],[12.0 8.0]]
[[8.0 1.0E9],[11.0 9.0],[10.0 1.0E9],[10.0 8.0],[0.0 0.0],[13.0 12.0],[8.0 10.0],[6.0 10.0],[7.0 7.0]]
[[7.0 1.0E9],[10.0 10.0],[10.0 1.0E9],[13.0 9.0],[10.0 8.0],[0.0 0.0],[11.0 12.0],[11.0 11.0],[11.0 11.0]]
[[8.0 1.0E9],[9.0 7.0],[11.0 1.0E9],[9.0 10.0],[8.0 12.0],[9.0 12.0],[0.0 0.0],[11.0 7.0],[11.0 10.0]]
[[9.0 1.0E9],[8.0 10.0],[11.0 1.0E9],[8.0 12.0],[11.0 8.0],[7.0 9.0],[13.0 8.0],[0.0 0.0],[7.0 10.0]]
[[11.0 1.0E9],[9.0 7.0],[10.0 1.0E9],[7.0 9.0],[10.0 11.0],[8.0 8.0],[12.0 13.0],[11.0 6.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[11.0 12.0],[12.0 1.0E9],[9.0 9.0],[8.0 10.0],[8.0 8.0],[10.0 9.0],[11.0 7.0],[10.0 10.0]]
[[9.0 1.0E9],[0.0 0.0],[9.0 1.0E9],[12.0 12.0],[10.0 8.0],[8.0 13.0],[12.0 9.0],[10.0 8.0],[11.0 8.0]]
[[9.0 1.0E9],[9.0 7.0],[0.0 0.0],[13.0 9.0],[12.0 12.0],[9.0 9.0],[7.0 11.0],[10.0 11.0],[8.0 7.0]]
[[9.0 1.0E9],[7.0 12.0],[13.0 1.0E9],[0.0 0.0],[8.0 13.0],[13.0 13.0],[10.0 7.0],[8.0 9.0],[12.0 8.0]]
[[8.0 1.0E9],[11.0 9.0],[10.0 1.0E9],[10.0 8.0],[0.0 0.0],[13.0 12.0],[8.0 10.0],[6.0 10.0],[7.0 7.0]]
[[7.0 1.0E9],[10.0 10.0],[10.0 1.0E9],[13.0 9.0],[10.0 8.0],[0.0 0.0],[11.0 12.0],[11.0 11.0],[11.0 11.0]]
[[8.0 1.0E9],[9.0 7.0],[11.0 1.0E9],[9.0 10.0],[8.0 12.0],[9.0 12.0],[0.0 0.0],[11.0 7.0],[11.0 10.0]]
[[9.0 1.0E9],[8.0 10.0],[11.0 1.0E9],[8.0 12.0],[11.0 8.0],[7.0 9.0],[13.0 8.0],[0.0 0.0],[7.0 10.0]]
[[11.0 1.0E9],[9.0 7.0],[10.0 1.0E9],[7.0 9.0],[10.0 11.0],[8.0 8.0],[12.0 13.0],[11.0 6.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
