N = 10;
T = 28;
K = 2;
C = 130.0;
furnance = 3;
color = 3;
machines = [9 10];
products = [232 238 242 231 233 239 133 244 230 66];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[3.4992 3.4992],[3.67416 3.67416],[3.38742 3.38742],[3.400704 3.400704],[3.040416 3.040416],[3.400704 3.400704],[2.8188 2.8188],[3.38742 3.38742],[3.28536 3.28536],[2.90304 2.90304]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0]];
Sijk = [[[0.0 0.0],[9.0 1.0E9],[11.0 13.0],[12.0 12.0],[8.0 7.0],[11.0 11.0],[7.0 10.0],[8.0 13.0],[8.0 10.0],[12.0 8.0]]
[[8.0 1.0E9],[0.0 0.0],[10.0 7.0],[7.0 13.0],[8.0 8.0],[10.0 10.0],[9.0 9.0],[11.0 13.0],[8.0 13.0],[11.0 12.0]]
[[8.0 1.0E9],[11.0 1.0E9],[0.0 0.0],[8.0 12.0],[12.0 9.0],[12.0 7.0],[10.0 11.0],[13.0 13.0],[13.0 13.0],[9.0 6.0]]
[[9.0 1.0E9],[9.0 1.0E9],[12.0 10.0],[0.0 0.0],[11.0 11.0],[11.0 13.0],[12.0 10.0],[8.0 10.0],[8.0 9.0],[7.0 12.0]]
[[12.0 1.0E9],[12.0 1.0E9],[11.0 12.0],[12.0 8.0],[0.0 0.0],[8.0 11.0],[9.0 8.0],[12.0 11.0],[7.0 11.0],[10.0 10.0]]
[[8.0 1.0E9],[13.0 1.0E9],[8.0 8.0],[9.0 9.0],[9.0 12.0],[0.0 0.0],[11.0 10.0],[11.0 12.0],[12.0 13.0],[11.0 8.0]]
[[12.0 1.0E9],[13.0 1.0E9],[12.0 10.0],[13.0 7.0],[9.0 8.0],[8.0 11.0],[0.0 0.0],[10.0 11.0],[13.0 12.0],[11.0 7.0]]
