N = 14;
T = 14;
K = 3;
C = 135.0;
furnance = 1;
color = 6;
machines = [1 2 3];
products = [55 8 120 77 248 201 180 215 29 213 257 160 466 159];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[0.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0]];
Pik = [[4.44528 4.44528 4.44528],[3.402 3.402 3.402],[2.916 2.916 2.916],[1.8792 1.8792 1.8792],[3.93984 3.93984 3.93984],[5.346 5.346 5.346],[5.334336 5.334336 5.334336],[4.51008 4.51008 4.51008],[4.86 4.86 4.86],[5.2326 5.2326 5.2326],[3.564 3.564 3.564],[4.19904 4.19904 4.19904],[4.54896 4.54896 4.54896],[4.44528 4.44528 4.44528]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0],[0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0]];
Sijk = [[[0.0 0.0 0.0],[9.0 5.0 5.0],[8.0 4.0 7.0],[4.0 2.0 4.0],[6.0 5.0 1.0E9],[1.0E9 8.0 9.0],[8.0 8.0 1.0E9],[7.0 7.0 1.0E9],[5.0 5.0 1.0E9],[8.0 8.0 1.0E9],[1.0E9 4.0 7.0],[1.0E9 7.0 7.0],[1.0E9 8.0 9.0],[1.0E9 7.0 8.0]]
[[6.0 7.0 9.0],[0.0 0.0 0.0],[8.0 4.0 7.0],[4.0 3.0 6.0],[7.0 6.0 1.0E9],[1.0E9 9.0 8.0],[8.0 5.0 1.0E9],[5.0 5.0 1.0E9],[9.0 5.0 1.0E9],[8.0 6.0 1.0E9],[1.0E9 5.0 7.0],[1.0E9 7.0 7.0],[1.0E9 4.0 9.0],[1.0E9 6.0 7.0]]
[[9.0 6.0 9.0],[5.0 3.0 5.0],[0.0 0.0 0.0],[4.0 3.0 5.0],[5.0 5.0 1.0E9],[1.0E9 6.0 8.0],[5.0 8.0 1.0E9],[9.0 6.0 1.0E9],[8.0 5.0 1.0E9],[6.0 7.0 1.0E9],[1.0E9 6.0 9.0],[1.0E9 4.0 7.0],[1.0E9 7.0 5.0],[1.0E9 7.0 7.0]]
[[9.0 5.0 7.0],[9.0 4.0 6.0],[7.0 5.0 5.0],[0.0 0.0 0.0],[8.0 6.0 1.0E9],[1.0E9 7.0 6.0],[6.0 6.0 1.0E9],[8.0 6.0 1.0E9],[7.0 6.0 1.0E9],[9.0 5.0 1.0E9],[1.0E9 4.0 8.0],[1.0E9 6.0 9.0],[1.0E9 5.0 7.0],[1.0E9 5.0 8.0]]
[[8.0 6.0 8.0],[9.0 6.0 7.0],[5.0 3.0 6.0],[4.0 3.0 5.0],[0.0 0.0 0.0],[1.0E9 9.0 6.0],[8.0 8.0 1.0E9],[7.0 5.0 1.0E9],[8.0 8.0 1.0E9],[8.0 8.0 1.0E9],[1.0E9 4.0 5.0],[1.0E9 7.0 6.0],[1.0E9 8.0 8.0],[1.0E9 5.0 7.0]]
[[9.0 7.0 6.0],[8.0 4.0 7.0],[8.0 4.0 6.0],[4.0 3.0 6.0],[7.0 6.0 1.0E9],[0.0 0.0 0.0],[6.0 7.0 1.0E9],[9.0 7.0 1.0E9],[9.0 6.0 1.0E9],[6.0 7.0 1.0E9],[1.0E9 6.0 6.0],[1.0E9 7.0 6.0],[1.0E9 7.0 8.0],[1.0E9 5.0 9.0]]
[[9.0 8.0 9.0],[7.0 3.0 7.0],[9.0 3.0 5.0],[6.0 3.0 5.0],[7.0 4.0 1.0E9],[1.0E9 9.0 6.0],[0.0 0.0 0.0],[9.0 6.0 1.0E9],[5.0 6.0 1.0E9],[9.0 6.0 1.0E9],[1.0E9 4.0 9.0],[1.0E9 7.0 5.0],[1.0E9 6.0 6.0],[1.0E9 5.0 6.0]]
