N = 10;
T = 28;
K = 2;
C = 130.0;
furnance = 3;
color = 5;
machines = [9 10];
products = [280 339 97 348 324 402 315 275 337 508];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.8674 2.8674],[2.375568 2.375568],[2.43 2.43],[3.402 3.402],[2.7216 2.7216],[2.72646 2.72646],[2.78964 2.78964],[2.53692 2.53692],[2.5272 2.5272],[1.8144 1.8144]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0]];
Sijk = [[[0.0 0.0],[7.0 9.0],[9.0 6.0],[7.0 11.0],[8.0 11.0],[11.0 7.0],[8.0 11.0],[8.0 8.0],[9.0 6.0],[6.0 7.0]]
[[8.0 7.0],[0.0 0.0],[8.0 8.0],[10.0 9.0],[11.0 11.0],[10.0 6.0],[6.0 11.0],[10.0 7.0],[8.0 9.0],[7.0 6.0]]
[[9.0 8.0],[7.0 9.0],[0.0 0.0],[9.0 11.0],[11.0 8.0],[11.0 10.0],[8.0 9.0],[8.0 9.0],[9.0 9.0],[5.0 4.0]]
[[7.0 7.0],[7.0 6.0],[9.0 9.0],[0.0 0.0],[8.0 9.0],[10.0 9.0],[10.0 7.0],[8.0 8.0],[6.0 8.0],[7.0 8.0]]
[[12.0 8.0],[5.0 6.0],[8.0 8.0],[13.0 11.0],[0.0 0.0],[9.0 11.0],[11.0 10.0],[9.0 9.0],[8.0 10.0],[5.0 7.0]]
[[10.0 6.0],[7.0 6.0],[7.0 8.0],[7.0 12.0],[11.0 9.0],[0.0 0.0],[9.0 7.0],[9.0 7.0],[6.0 9.0],[7.0 7.0]]
[[8.0 9.0],[7.0 8.0],[10.0 7.0],[7.0 12.0],[9.0 11.0],[11.0 6.0],[0.0 0.0],[11.0 6.0],[6.0 11.0],[8.0 5.0]]
