N = 18;
T = 28;
K = 2;
C = 130.0;
furnance = 3;
color = 5;
machines = [9 10];
products = [122 37 236 297 301 399 319 303 237 321 306 450 328 320 445 400 97 346];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 20.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.671704 2.671704],[3.2076 3.2076],[2.53692 2.53692],[1.8792 1.8792],[1.9408895999999995 1.9408895999999995],[3.01806 3.01806],[2.53692 2.53692],[2.2659912 2.2659912],[2.7216 2.7216],[2.63088 2.63088],[2.4543 2.4543],[2.5777439999999996 2.5777439999999996],[2.7905472000000002 2.7905472000000002],[2.77182 2.77182],[2.187 2.187],[3.172608 3.172608],[2.43 2.43],[3.359232 3.359232]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0]];
Sijk = [[[0.0 0.0],[9.0 1.0E9],[7.0 11.0],[7.0 6.0],[5.0 7.0],[9.0 1.0E9],[9.0 9.0],[8.0 6.0],[6.0 8.0],[9.0 7.0],[8.0 9.0],[6.0 8.0],[7.0 12.0],[6.0 11.0],[8.0 5.0],[10.0 12.0],[7.0 8.0],[13.0 13.0]]
[[11.0 11.0],[0.0 0.0],[10.0 6.0],[5.0 5.0],[6.0 8.0],[7.0 1.0E9],[9.0 6.0],[8.0 9.0],[7.0 7.0],[11.0 7.0],[10.0 7.0],[8.0 7.0],[11.0 7.0],[7.0 7.0],[5.0 6.0],[11.0 9.0],[7.0 9.0],[9.0 11.0]]
[[9.0 10.0],[9.0 1.0E9],[0.0 0.0],[6.0 5.0],[5.0 6.0],[9.0 1.0E9],[10.0 7.0],[8.0 9.0],[8.0 7.0],[9.0 11.0],[8.0 9.0],[8.0 6.0],[8.0 9.0],[9.0 10.0],[9.0 9.0],[9.0 11.0],[9.0 7.0],[10.0 10.0]]
[[7.0 10.0],[12.0 1.0E9],[10.0 6.0],[0.0 0.0],[8.0 7.0],[8.0 1.0E9],[8.0 8.0],[9.0 5.0],[8.0 8.0],[9.0 10.0],[8.0 8.0],[9.0 10.0],[8.0 7.0],[6.0 7.0],[8.0 5.0],[7.0 9.0],[6.0 6.0],[13.0 12.0]]
[[9.0 6.0],[13.0 1.0E9],[9.0 10.0],[5.0 5.0],[0.0 0.0],[10.0 1.0E9],[6.0 6.0],[5.0 8.0],[11.0 8.0],[11.0 7.0],[10.0 6.0],[8.0 7.0],[11.0 7.0],[9.0 7.0],[7.0 9.0],[8.0 9.0],[9.0 10.0],[9.0 7.0]]
[[10.0 10.0],[13.0 1.0E9],[7.0 8.0],[6.0 5.0],[6.0 7.0],[0.0 0.0],[8.0 7.0],[8.0 6.0],[11.0 8.0],[7.0 8.0],[7.0 8.0],[7.0 8.0],[11.0 7.0],[11.0 11.0],[9.0 5.0],[10.0 7.0],[7.0 7.0],[8.0 11.0]]
[[7.0 8.0],[9.0 1.0E9],[9.0 9.0],[8.0 8.0],[5.0 7.0],[12.0 1.0E9],[0.0 0.0],[8.0 7.0],[11.0 11.0],[10.0 7.0],[7.0 9.0],[7.0 6.0],[9.0 8.0],[10.0 7.0],[8.0 7.0],[10.0 7.0],[6.0 10.0],[13.0 13.0]]
