N = 17;
T = 14;
K = 4;
C = 240.0;
furnance = 6;
color = 2;
machines = [17 18 19 20];
products = [126 418 423 53 240 109 428 136 430 157 71 411 413 438 73 130 146];
MINik = [[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0]];
MAXik = [[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[0.0 0.0 16.0 0.0],[0.0 0.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0]];
Pik = [[2.593296 2.593296 2.593296 2.593296],[4.54896 4.54896 4.54896 4.54896],[4.54896 4.54896 4.54896 4.54896],[1.378944 1.378944 1.378944 1.378944],[3.2486184000000002 3.2486184000000002 3.2486184000000002 3.2486184000000002],[1.134 1.134 1.134 1.134],[3.96576 3.96576 3.96576 3.96576],[2.8188 2.8188 2.8188 2.8188],[2.99376 2.99376 2.99376 2.99376],[2.916 2.916 2.916 2.916],[2.03148 2.03148 2.03148 2.03148],[3.9852 3.9852 3.9852 3.9852],[4.43232 4.43232 4.43232 4.43232],[4.46958 4.46958 4.46958 4.46958],[2.1546 2.1546 2.1546 2.1546],[2.68272 2.68272 2.68272 2.68272],[2.1384 2.1384 2.1384 2.1384]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0],[0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0],[0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0],[0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[8.0 7.0 7.0 8.0],[12.0 10.0 11.0 5.0],[4.0 4.0 4.0 3.0],[12.0 7.0 7.0 6.0],[5.0 3.0 4.0 2.0],[1.0E9 10.0 10.0 1.0E9],[10.0 9.0 6.0 4.0],[8.0 11.0 9.0 4.0],[8.0 7.0 6.0 5.0],[7.0 8.0 4.0 3.0],[1.0E9 9.0 11.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[8.0 6.0 5.0 3.0],[8.0 9.0 6.0 4.0],[7.0 8.0 5.0 2.0]]
[[7.0 9.0 6.0 3.0],[0.0 0.0 0.0 0.0],[12.0 11.0 8.0 6.0],[5.0 4.0 4.0 2.0],[7.0 7.0 8.0 5.0],[4.0 3.0 4.0 2.0],[1.0E9 7.0 9.0 1.0E9],[8.0 10.0 8.0 4.0],[11.0 9.0 7.0 4.0],[10.0 8.0 8.0 3.0],[7.0 5.0 6.0 3.0],[1.0E9 8.0 12.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[6.0 8.0 5.0 2.0],[11.0 9.0 7.0 5.0],[8.0 7.0 7.0 3.0]]
[[7.0 11.0 8.0 4.0],[9.0 9.0 8.0 7.0],[0.0 0.0 0.0 0.0],[4.0 4.0 3.0 2.0],[12.0 10.0 6.0 3.0],[4.0 4.0 4.0 2.0],[1.0E9 8.0 7.0 1.0E9],[7.0 6.0 7.0 3.0],[11.0 7.0 9.0 5.0],[10.0 10.0 5.0 4.0],[8.0 6.0 7.0 2.0],[1.0E9 8.0 10.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[7.0 7.0 6.0 4.0],[10.0 9.0 7.0 4.0],[7.0 8.0 6.0 3.0]]
[[10.0 11.0 8.0 3.0],[9.0 10.0 11.0 7.0],[9.0 8.0 12.0 4.0],[0.0 0.0 0.0 0.0],[8.0 8.0 9.0 5.0],[4.0 3.0 3.0 2.0],[1.0E9 7.0 11.0 1.0E9],[11.0 7.0 6.0 3.0],[9.0 7.0 7.0 4.0],[12.0 12.0 6.0 5.0],[7.0 7.0 6.0 4.0],[1.0E9 8.0 7.0 1.0E9],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[8.0 7.0 4.0 3.0],[10.0 8.0 8.0 4.0],[5.0 7.0 6.0 2.0]]
[[6.0 7.0 9.0 4.0],[9.0 8.0 10.0 6.0],[12.0 11.0 8.0 6.0],[6.0 5.0 4.0 2.0],[0.0 0.0 0.0 0.0],[4.0 5.0 3.0 2.0],[1.0E9 8.0 11.0 1.0E9],[9.0 6.0 5.0 3.0],[7.0 10.0 6.0 5.0],[12.0 12.0 8.0 4.0],[5.0 5.0 5.0 3.0],[1.0E9 8.0 8.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[7.0 8.0 7.0 3.0],[7.0 9.0 8.0 4.0],[6.0 8.0 4.0 3.0]]
[[7.0 8.0 8.0 3.0],[10.0 8.0 9.0 4.0],[10.0 12.0 10.0 6.0],[4.0 5.0 3.0 2.0],[7.0 11.0 8.0 5.0],[0.0 0.0 0.0 0.0],[1.0E9 10.0 10.0 1.0E9],[12.0 7.0 7.0 3.0],[7.0 12.0 10.0 5.0],[10.0 9.0 9.0 4.0],[6.0 7.0 5.0 4.0],[1.0E9 9.0 10.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[7.0 7.0 7.0 3.0],[10.0 8.0 5.0 4.0],[9.0 7.0 4.0 3.0]]
