N = 18;
T = 14;
K = 4;
C = 240.0;
furnance = 6;
color = 6;
machines = [17 18 19 20];
products = [120 156 176 55 24 48 3 115 419 424 77 205 201 161 39 215 111 213];
MINik = [[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0]];
MAXik = [[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 0.0 16.0 0.0],[0.0 0.0 16.0 0.0],[0.0 0.0 16.0 0.0],[0.0 0.0 0.0 8.0],[0.0 0.0 0.0 8.0],[0.0 0.0 16.0 8.0],[0.0 0.0 0.0 8.0]];
Pik = [[2.916 2.916 2.916 2.916],[2.5272 2.5272 2.5272 2.5272],[4.43232 4.43232 4.43232 4.43232],[4.44528 4.44528 4.44528 4.44528],[4.08564 4.08564 4.08564 4.08564],[4.51008 4.51008 4.51008 4.51008],[3.820608 3.820608 3.820608 3.820608],[3.4992 3.4992 3.4992 3.4992],[4.0824 4.0824 4.0824 4.0824],[4.0824 4.0824 4.0824 4.0824],[1.8792 1.8792 1.8792 1.8792],[5.346 5.346 5.346 5.346],[5.346 5.346 5.346 5.346],[4.19904 4.19904 4.19904 4.19904],[3.5964 3.5964 3.5964 3.5964],[4.51008 4.51008 4.51008 4.51008],[4.0824 4.0824 4.0824 4.0824],[5.2326 5.2326 5.2326 5.2326]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0],[0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0],[0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0],[0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0],[0.0 0.0 0.0 0.0 0.0 0.0 65.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 68.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0],[0.0 0.0 0.0 0.0 0.0 0.0 68.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0],[0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[10.0 10.0 7.0 4.0],[10.0 9.0 7.0 5.0],[11.0 9.0 12.0 7.0],[11.0 11.0 7.0 5.0],[9.0 8.0 11.0 7.0],[7.0 9.0 8.0 5.0],[9.0 11.0 11.0 4.0],[10.0 12.0 12.0 5.0],[10.0 9.0 9.0 6.0],[8.0 4.0 6.0 2.0],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 1.0E9 3.0],[1.0E9 1.0E9 1.0E9 7.0],[1.0E9 1.0E9 9.0 6.0],[1.0E9 1.0E9 1.0E9 8.0]]
[[11.0 12.0 7.0 3.0],[0.0 0.0 0.0 0.0],[12.0 10.0 11.0 6.0],[10.0 10.0 7.0 6.0],[9.0 7.0 7.0 7.0],[8.0 12.0 12.0 6.0],[7.0 12.0 8.0 6.0],[12.0 9.0 9.0 4.0],[7.0 10.0 12.0 5.0],[7.0 12.0 8.0 5.0],[6.0 7.0 4.0 2.0],[1.0E9 1.0E9 9.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 1.0E9 6.0],[1.0E9 1.0E9 1.0E9 5.0],[1.0E9 1.0E9 10.0 4.0],[1.0E9 1.0E9 1.0E9 7.0]]
[[9.0 9.0 9.0 3.0],[10.0 6.0 6.0 4.0],[0.0 0.0 0.0 0.0],[12.0 11.0 7.0 7.0],[8.0 9.0 10.0 4.0],[7.0 8.0 8.0 6.0],[12.0 9.0 10.0 5.0],[7.0 8.0 10.0 4.0],[9.0 7.0 9.0 6.0],[7.0 7.0 10.0 7.0],[7.0 7.0 4.0 3.0],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 1.0E9 5.0],[1.0E9 1.0E9 1.0E9 4.0],[1.0E9 1.0E9 8.0 4.0],[1.0E9 1.0E9 1.0E9 9.0]]
[[10.0 8.0 7.0 3.0],[10.0 7.0 6.0 4.0],[9.0 10.0 9.0 4.0],[0.0 0.0 0.0 0.0],[9.0 9.0 10.0 5.0],[12.0 11.0 7.0 7.0],[7.0 9.0 12.0 5.0],[7.0 9.0 9.0 3.0],[12.0 8.0 11.0 6.0],[10.0 12.0 10.0 4.0],[6.0 6.0 5.0 3.0],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 1.0E9 3.0],[1.0E9 1.0E9 1.0E9 5.0],[1.0E9 1.0E9 8.0 5.0],[1.0E9 1.0E9 1.0E9 7.0]]
[[8.0 12.0 9.0 5.0],[9.0 8.0 6.0 3.0],[8.0 8.0 7.0 5.0],[8.0 10.0 12.0 4.0],[0.0 0.0 0.0 0.0],[9.0 11.0 8.0 8.0],[11.0 8.0 8.0 5.0],[9.0 8.0 9.0 4.0],[11.0 10.0 11.0 6.0],[9.0 9.0 11.0 6.0],[7.0 5.0 5.0 3.0],[1.0E9 1.0E9 9.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 1.0E9 6.0],[1.0E9 1.0E9 1.0E9 4.0],[1.0E9 1.0E9 8.0 5.0],[1.0E9 1.0E9 1.0E9 8.0]]
[[8.0 12.0 7.0 5.0],[8.0 7.0 5.0 3.0],[12.0 11.0 9.0 7.0],[7.0 7.0 10.0 4.0],[9.0 12.0 7.0 5.0],[0.0 0.0 0.0 0.0],[12.0 7.0 12.0 6.0],[11.0 11.0 7.0 4.0],[10.0 9.0 8.0 5.0],[10.0 7.0 10.0 6.0],[5.0 7.0 5.0 2.0],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 1.0E9 4.0],[1.0E9 1.0E9 1.0E9 6.0],[1.0E9 1.0E9 10.0 5.0],[1.0E9 1.0E9 1.0E9 9.0]]
[[9.0 9.0 7.0 4.0],[6.0 9.0 6.0 3.0],[8.0 9.0 7.0 5.0],[10.0 8.0 8.0 7.0],[9.0 12.0 7.0 6.0],[8.0 10.0 9.0 5.0],[0.0 0.0 0.0 0.0],[11.0 12.0 7.0 6.0],[12.0 12.0 10.0 5.0],[12.0 9.0 9.0 5.0],[5.0 5.0 6.0 3.0],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 12.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 1.0E9 6.0],[1.0E9 1.0E9 1.0E9 5.0],[1.0E9 1.0E9 8.0 5.0],[1.0E9 1.0E9 1.0E9 6.0]]
[[10.0 12.0 6.0 4.0],[10.0 7.0 7.0 4.0],[12.0 10.0 9.0 7.0],[9.0 10.0 10.0 6.0],[7.0 8.0 8.0 6.0],[10.0 9.0 12.0 4.0],[10.0 9.0 7.0 5.0],[0.0 0.0 0.0 0.0],[11.0 7.0 8.0 6.0],[11.0 11.0 10.0 4.0],[6.0 6.0 4.0 3.0],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 1.0E9 5.0],[1.0E9 1.0E9 1.0E9 5.0],[1.0E9 1.0E9 11.0 6.0],[1.0E9 1.0E9 1.0E9 7.0]]
