N = 23;
T = 14;
K = 5;
C = 365.0;
furnance = 2;
color = 6;
machines = [4 5 6 7 8];
products = [111 48 183 3 419 161 23 54 256 175 8 120 115 158 176 156 160 55 159 424 24 77 11];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0]];
Pik = [[4.032504 4.032504 4.032504 4.032504 4.032504],[4.4549568 4.4549568 4.4549568 4.4549568 4.4549568],[3.744468 3.744468 3.744468 3.744468 3.744468],[3.7739116800000003 3.7739116800000003 3.7739116800000003 3.7739116800000003 3.7739116800000003],[4.032504 4.032504 4.032504 4.032504 4.032504],[4.1477184 4.1477184 4.1477184 4.1477184 4.1477184],[3.7252656 3.7252656 3.7252656 3.7252656 3.7252656],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[3.52044 3.52044 3.52044 3.52044 3.52044],[3.648456 3.648456 3.648456 3.648456 3.648456],[3.36042 3.36042 3.36042 3.36042 3.36042],[2.88036 2.88036 2.88036 2.88036 2.88036],[3.456432 3.456432 3.456432 3.456432 3.456432],[2.88036 2.88036 2.88036 2.88036 2.88036],[4.3781472 4.3781472 4.3781472 4.3781472 4.3781472],[2.496312 2.496312 2.496312 2.496312 2.496312],[4.1477184 4.1477184 4.1477184 4.1477184 4.1477184],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[4.032504 4.032504 4.032504 4.032504 4.032504],[4.0357044 4.0357044 4.0357044 4.0357044 4.0357044],[1.856232 1.856232 1.856232 1.856232 1.856232],[3.84048 3.84048 3.84048 3.84048 3.84048]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 84.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 88.0],[0.0 0.0 0.0 0.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 0.0 0.0 89.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 88.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 86.0],[0.0 0.0 0.0 0.0 0.0 0.0 84.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 92.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 87.0],[0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0],[0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 90.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 88.0],[0.0 0.0 0.0 0.0 0.0 0.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 90.0],[0.0 0.0 0.0 0.0 0.0 0.0 88.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[9.0 12.0 8.0 10.0 11.0],[11.0 8.0 1.0E9 15.0 11.0],[7.0 10.0 13.0 10.0 11.0],[11.0 10.0 9.0 10.0 12.0],[14.0 8.0 1.0E9 12.0 9.0],[9.0 8.0 1.0E9 8.0 14.0],[10.0 9.0 15.0 9.0 13.0],[9.0 6.0 1.0E9 14.0 13.0],[12.0 11.0 1.0E9 9.0 11.0],[8.0 6.0 8.0 11.0 14.0],[9.0 7.0 7.0 8.0 6.0],[9.0 8.0 12.0 13.0 12.0],[7.0 7.0 8.0 7.0 9.0],[9.0 13.0 13.0 12.0 12.0],[6.0 8.0 9.0 9.0 6.0],[9.0 13.0 1.0E9 11.0 12.0],[8.0 12.0 13.0 9.0 10.0],[13.0 9.0 1.0E9 12.0 8.0],[10.0 10.0 15.0 9.0 11.0],[8.0 8.0 10.0 14.0 14.0],[4.0 4.0 6.0 6.0 5.0],[9.0 7.0 1.0E9 13.0 10.0]]
[[13.0 12.0 1.0E9 12.0 8.0],[0.0 0.0 0.0 0.0 0.0],[10.0 10.0 1.0E9 9.0 12.0],[11.0 8.0 8.0 14.0 14.0],[9.0 13.0 14.0 9.0 12.0],[9.0 13.0 1.0E9 8.0 11.0],[9.0 12.0 1.0E9 13.0 11.0],[13.0 11.0 9.0 10.0 12.0],[9.0 10.0 1.0E9 10.0 12.0],[12.0 10.0 1.0E9 8.0 14.0],[10.0 8.0 12.0 9.0 12.0],[6.0 8.0 10.0 7.0 7.0],[10.0 8.0 8.0 12.0 11.0],[6.0 9.0 8.0 9.0 7.0],[13.0 8.0 9.0 15.0 10.0],[5.0 8.0 7.0 10.0 10.0],[9.0 13.0 1.0E9 11.0 8.0],[8.0 12.0 11.0 8.0 10.0],[8.0 12.0 1.0E9 9.0 8.0],[11.0 11.0 11.0 15.0 11.0],[11.0 11.0 14.0 10.0 10.0],[5.0 4.0 4.0 5.0 7.0],[12.0 7.0 1.0E9 8.0 14.0]]
[[9.0 11.0 1.0E9 9.0 11.0],[10.0 10.0 11.0 8.0 10.0],[0.0 0.0 0.0 0.0 0.0],[7.0 8.0 13.0 11.0 10.0],[8.0 7.0 11.0 12.0 12.0],[10.0 14.0 1.0E9 8.0 12.0],[9.0 11.0 1.0E9 14.0 10.0],[10.0 13.0 8.0 13.0 13.0],[11.0 11.0 1.0E9 12.0 12.0],[7.0 11.0 1.0E9 8.0 9.0],[6.0 9.0 8.0 13.0 12.0],[9.0 7.0 9.0 7.0 7.0],[7.0 10.0 14.0 9.0 11.0],[9.0 6.0 7.0 11.0 8.0],[14.0 14.0 13.0 9.0 9.0],[6.0 6.0 10.0 9.0 7.0],[12.0 14.0 1.0E9 10.0 9.0],[8.0 10.0 14.0 10.0 9.0],[11.0 9.0 1.0E9 13.0 12.0],[10.0 13.0 14.0 14.0 15.0],[9.0 7.0 9.0 14.0 10.0],[6.0 4.0 7.0 7.0 7.0],[13.0 12.0 1.0E9 13.0 10.0]]
[[10.0 7.0 1.0E9 11.0 14.0],[13.0 8.0 12.0 9.0 13.0],[12.0 7.0 1.0E9 11.0 10.0],[0.0 0.0 0.0 0.0 0.0],[8.0 12.0 8.0 9.0 13.0],[11.0 13.0 1.0E9 15.0 15.0],[11.0 9.0 1.0E9 11.0 14.0],[8.0 12.0 12.0 11.0 8.0],[6.0 10.0 1.0E9 13.0 12.0],[8.0 9.0 1.0E9 14.0 13.0],[11.0 9.0 13.0 12.0 10.0],[8.0 8.0 7.0 7.0 8.0],[7.0 7.0 8.0 9.0 14.0],[7.0 9.0 11.0 8.0 11.0],[13.0 11.0 10.0 14.0 11.0],[8.0 8.0 9.0 8.0 6.0],[13.0 13.0 1.0E9 14.0 15.0],[8.0 14.0 14.0 13.0 8.0],[13.0 12.0 1.0E9 11.0 11.0],[12.0 7.0 10.0 8.0 10.0],[8.0 10.0 13.0 10.0 9.0],[6.0 6.0 5.0 7.0 6.0],[11.0 7.0 1.0E9 8.0 10.0]]
[[11.0 8.0 1.0E9 8.0 8.0],[14.0 10.0 12.0 13.0 10.0],[11.0 7.0 1.0E9 8.0 11.0],[12.0 7.0 8.0 10.0 14.0],[0.0 0.0 0.0 0.0 0.0],[12.0 8.0 1.0E9 8.0 10.0],[11.0 8.0 1.0E9 11.0 9.0],[8.0 10.0 12.0 9.0 9.0],[11.0 11.0 1.0E9 12.0 11.0],[9.0 12.0 1.0E9 13.0 15.0],[9.0 9.0 8.0 10.0 11.0],[6.0 7.0 12.0 10.0 9.0],[9.0 9.0 11.0 11.0 13.0],[9.0 6.0 11.0 7.0 12.0],[10.0 12.0 10.0 10.0 15.0],[8.0 7.0 7.0 7.0 6.0],[10.0 7.0 1.0E9 15.0 13.0],[14.0 12.0 13.0 13.0 12.0],[14.0 9.0 1.0E9 8.0 9.0],[8.0 13.0 13.0 9.0 12.0],[9.0 13.0 14.0 10.0 11.0],[4.0 5.0 8.0 4.0 5.0],[8.0 7.0 1.0E9 12.0 9.0]]
[[12.0 11.0 1.0E9 12.0 14.0],[11.0 11.0 12.0 8.0 14.0],[11.0 12.0 1.0E9 11.0 8.0],[9.0 9.0 12.0 8.0 8.0],[12.0 13.0 13.0 13.0 11.0],[0.0 0.0 0.0 0.0 0.0],[10.0 11.0 1.0E9 13.0 13.0],[12.0 12.0 9.0 14.0 9.0],[9.0 8.0 1.0E9 14.0 14.0],[11.0 12.0 1.0E9 13.0 12.0],[8.0 8.0 11.0 13.0 12.0],[7.0 10.0 12.0 11.0 10.0],[6.0 9.0 8.0 8.0 13.0],[6.0 10.0 9.0 9.0 10.0],[13.0 10.0 13.0 15.0 15.0],[7.0 7.0 10.0 9.0 10.0],[13.0 12.0 1.0E9 14.0 12.0],[13.0 11.0 8.0 15.0 13.0],[9.0 14.0 1.0E9 15.0 13.0],[8.0 10.0 9.0 14.0 10.0],[9.0 10.0 14.0 10.0 10.0],[6.0 4.0 6.0 7.0 7.0],[11.0 11.0 1.0E9 13.0 13.0]]
