N = 10;
T = 28;
K = 5;
C = 365.0;
furnance = 2;
color = 2;
machines = [4 5 6 7 8];
products = [240 130 187 423 71 53 173 430 109 136];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0]];
Pik = [[3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003 3.2089130640000003],[2.6499312 2.6499312 2.6499312 2.6499312 2.6499312],[3.6868608000000003 3.6868608000000003 3.6868608000000003 3.6868608000000003 3.6868608000000003],[4.4933616 4.4933616 4.4933616 4.4933616 4.4933616],[2.0066508 2.0066508 2.0066508 2.0066508 2.0066508],[1.36209024 1.36209024 1.36209024 1.36209024 1.36209024],[4.3781472 4.3781472 4.3781472 4.3781472 4.3781472],[2.9571696000000003 2.9571696000000003 2.9571696000000003 2.9571696000000003 2.9571696000000003],[1.12014 1.12014 1.12014 1.12014 1.12014],[2.784348 2.784348 2.784348 2.784348 2.784348]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 195.0 0.0 0.0 0.0 0.0 0.0 0.0 92.0 0.0 0.0 0.0 0.0 0.0 0.0 202.0],[0.0 0.0 0.0 0.0 0.0 0.0 144.0 0.0 0.0 0.0 0.0 0.0 0.0 202.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 94.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 197.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 203.0 0.0 0.0 0.0 0.0 0.0 0.0 186.0 0.0 0.0 0.0 0.0 0.0 0.0 203.0 0.0 0.0 0.0 0.0 0.0 0.0 201.0],[0.0 0.0 0.0 0.0 0.0 0.0 208.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 173.0 0.0 0.0 0.0 0.0 0.0 0.0 212.0],[0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 196.0 0.0 0.0 0.0 0.0 0.0 0.0 203.0 0.0 0.0 0.0 0.0 0.0 0.0 208.0],[0.0 0.0 0.0 0.0 0.0 0.0 123.0 0.0 0.0 0.0 0.0 0.0 0.0 202.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 85.0],[0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0],[0.0 0.0 0.0 0.0 0.0 0.0 124.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[9.0 5.0 10.0 11.0 6.0],[8.0 12.0 1.0E9 12.0 11.0],[8.0 9.0 12.0 11.0 11.0],[5.0 6.0 8.0 6.0 8.0],[5.0 4.0 4.0 6.0 6.0],[10.0 10.0 1.0E9 9.0 10.0],[7.0 6.0 10.0 11.0 11.0],[3.0 3.0 4.0 4.0 4.0],[8.0 9.0 9.0 6.0 11.0]]
[[9.0 10.0 13.0 12.0 7.0],[0.0 0.0 0.0 0.0 0.0],[7.0 8.0 1.0E9 13.0 12.0],[14.0 11.0 14.0 10.0 13.0],[4.0 5.0 7.0 5.0 7.0],[3.0 4.0 3.0 5.0 4.0],[10.0 10.0 1.0E9 12.0 11.0],[7.0 8.0 7.0 7.0 11.0],[4.0 2.0 4.0 4.0 4.0],[8.0 6.0 11.0 7.0 9.0]]
[[8.0 6.0 8.0 13.0 11.0],[8.0 6.0 9.0 10.0 8.0],[0.0 0.0 0.0 0.0 0.0],[9.0 13.0 15.0 9.0 10.0],[7.0 6.0 6.0 5.0 5.0],[4.0 5.0 6.0 4.0 5.0],[13.0 12.0 1.0E9 11.0 10.0],[6.0 5.0 8.0 12.0 11.0],[3.0 3.0 4.0 4.0 4.0],[8.0 7.0 9.0 10.0 10.0]]
[[8.0 8.0 9.0 9.0 13.0],[8.0 6.0 9.0 8.0 9.0],[8.0 9.0 1.0E9 11.0 9.0],[0.0 0.0 0.0 0.0 0.0],[6.0 6.0 7.0 5.0 7.0],[4.0 4.0 5.0 4.0 5.0],[8.0 8.0 1.0E9 11.0 13.0],[10.0 5.0 8.0 12.0 11.0],[3.0 3.0 4.0 4.0 5.0],[5.0 9.0 9.0 12.0 11.0]]
[[9.0 9.0 12.0 12.0 7.0],[9.0 8.0 8.0 9.0 9.0],[10.0 10.0 1.0E9 12.0 14.0],[8.0 12.0 11.0 9.0 14.0],[0.0 0.0 0.0 0.0 0.0],[3.0 5.0 6.0 4.0 4.0],[14.0 10.0 1.0E9 13.0 14.0],[5.0 6.0 8.0 7.0 12.0],[3.0 4.0 5.0 3.0 3.0],[9.0 9.0 9.0 8.0 8.0]]
[[8.0 11.0 12.0 11.0 11.0],[7.0 6.0 9.0 8.0 7.0],[10.0 11.0 1.0E9 15.0 12.0],[9.0 11.0 9.0 10.0 8.0],[5.0 7.0 6.0 6.0 5.0],[0.0 0.0 0.0 0.0 0.0],[9.0 8.0 1.0E9 11.0 14.0],[7.0 9.0 10.0 7.0 10.0],[3.0 4.0 4.0 3.0 3.0],[9.0 7.0 8.0 10.0 10.0]]
