N = 28;
T = 28;
K = 3;
C = 135.0;
furnance = 1;
color = 1;
machines = [1 2 3];
products = [85 433 70 68 75 16 17 208 108 113 93 101 429 22 124 78 461 56 144 140 95 118 241 106 116 142 421 425];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 0.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0]];
Pik = [[1.6524 1.6524 1.6524],[2.6325 2.6325 2.6325],[2.97432 2.97432 2.97432],[4.536 4.536 4.536],[4.86 4.86 4.86],[3.84912 3.84912 3.84912],[4.12128 4.12128 4.12128],[5.28768 5.28768 5.28768],[4.86 4.86 4.86],[4.86 4.86 4.86],[9.234 9.234 9.234],[4.4631 4.4631 4.4631],[3.96576 3.96576 3.96576],[4.76928 4.76928 4.76928],[2.42352 2.42352 2.42352],[1.8792 1.8792 1.8792],[4.6656 4.6656 4.6656],[4.212 4.212 4.212],[1.71072 1.71072 1.71072],[2.97432 2.97432 2.97432],[3.1104 3.1104 3.1104],[2.916 2.916 2.916],[3.2486184000000002 3.2486184000000002 3.2486184000000002],[3.59964 3.59964 3.59964],[3.4992 3.4992 3.4992],[2.56608 2.56608 2.56608],[4.54896 4.54896 4.54896],[4.54896 4.54896 4.54896]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0]];
Sijk = [[[0.0 0.0 0.0],[7.0 4.0 5.0],[5.0 5.0 8.0],[8.0 4.0 1.0E9],[6.0 7.0 1.0E9],[9.0 4.0 7.0],[9.0 5.0 1.0E9],[8.0 7.0 1.0E9],[5.0 6.0 1.0E9],[7.0 7.0 1.0E9],[5.0 5.0 1.0E9],[9.0 7.0 6.0],[1.0E9 6.0 7.0],[9.0 5.0 9.0],[6.0 3.0 8.0],[5.0 3.0 6.0],[1.0E9 6.0 8.0],[1.0E9 6.0 6.0],[6.0 3.0 1.0E9],[6.0 5.0 9.0],[7.0 3.0 8.0],[7.0 4.0 6.0],[5.0 1.0E9 7.0],[7.0 5.0 9.0],[7.0 4.0 5.0],[5.0 3.0 8.0],[8.0 6.0 9.0],[9.0 6.0 6.0]]
[[5.0 2.0 4.0],[0.0 0.0 0.0],[8.0 4.0 8.0],[7.0 5.0 1.0E9],[6.0 7.0 1.0E9],[8.0 6.0 9.0],[8.0 7.0 1.0E9],[9.0 8.0 1.0E9],[7.0 6.0 1.0E9],[5.0 6.0 1.0E9],[6.0 5.0 1.0E9],[6.0 5.0 7.0],[1.0E9 6.0 6.0],[6.0 5.0 6.0],[8.0 3.0 8.0],[4.0 3.0 5.0],[1.0E9 4.0 8.0],[1.0E9 7.0 9.0],[4.0 3.0 1.0E9],[8.0 5.0 8.0],[9.0 4.0 8.0],[6.0 3.0 6.0],[8.0 1.0E9 7.0],[8.0 5.0 7.0],[9.0 5.0 8.0],[5.0 3.0 7.0],[6.0 5.0 7.0],[7.0 5.0 8.0]]
[[5.0 3.0 5.0],[7.0 3.0 9.0],[0.0 0.0 0.0],[6.0 4.0 1.0E9],[6.0 8.0 1.0E9],[9.0 4.0 6.0],[9.0 6.0 1.0E9],[6.0 8.0 1.0E9],[9.0 7.0 1.0E9],[7.0 8.0 1.0E9],[7.0 9.0 1.0E9],[7.0 8.0 6.0],[1.0E9 7.0 8.0],[5.0 6.0 7.0],[6.0 4.0 7.0],[6.0 2.0 5.0],[1.0E9 4.0 8.0],[1.0E9 6.0 9.0],[5.0 2.0 1.0E9],[7.0 3.0 7.0],[9.0 4.0 7.0],[6.0 4.0 5.0],[6.0 1.0E9 9.0],[6.0 5.0 8.0],[6.0 4.0 7.0],[5.0 4.0 6.0],[6.0 4.0 5.0],[6.0 4.0 9.0]]
[[6.0 3.0 5.0],[6.0 3.0 8.0],[6.0 3.0 5.0],[0.0 0.0 0.0],[8.0 6.0 1.0E9],[7.0 5.0 5.0],[6.0 5.0 1.0E9],[5.0 6.0 1.0E9],[8.0 6.0 1.0E9],[7.0 6.0 1.0E9],[6.0 8.0 1.0E9],[6.0 7.0 6.0],[1.0E9 6.0 8.0],[6.0 7.0 6.0],[7.0 3.0 5.0],[5.0 3.0 4.0],[1.0E9 6.0 8.0],[1.0E9 5.0 8.0],[4.0 3.0 1.0E9],[9.0 4.0 7.0],[5.0 5.0 6.0],[7.0 3.0 9.0],[9.0 1.0E9 7.0],[7.0 4.0 6.0],[8.0 4.0 5.0],[5.0 4.0 5.0],[6.0 5.0 6.0],[5.0 6.0 9.0]]
[[5.0 3.0 4.0],[8.0 3.0 5.0],[5.0 5.0 7.0],[6.0 4.0 1.0E9],[0.0 0.0 0.0],[6.0 5.0 6.0],[5.0 7.0 1.0E9],[9.0 7.0 1.0E9],[5.0 8.0 1.0E9],[9.0 5.0 1.0E9],[6.0 9.0 1.0E9],[5.0 6.0 6.0],[1.0E9 4.0 9.0],[6.0 5.0 6.0],[6.0 4.0 7.0],[5.0 2.0 4.0],[1.0E9 7.0 7.0],[1.0E9 7.0 7.0],[6.0 3.0 1.0E9],[6.0 4.0 6.0],[7.0 4.0 6.0],[6.0 5.0 6.0],[7.0 1.0E9 7.0],[6.0 6.0 6.0],[8.0 4.0 9.0],[7.0 3.0 5.0],[6.0 8.0 6.0],[8.0 7.0 6.0]]
[[4.0 2.0 6.0],[8.0 3.0 7.0],[9.0 4.0 8.0],[9.0 5.0 1.0E9],[6.0 7.0 1.0E9],[0.0 0.0 0.0],[6.0 5.0 1.0E9],[7.0 8.0 1.0E9],[8.0 8.0 1.0E9],[7.0 7.0 1.0E9],[7.0 5.0 1.0E9],[6.0 6.0 7.0],[1.0E9 6.0 6.0],[9.0 5.0 5.0],[5.0 3.0 7.0],[5.0 3.0 5.0],[1.0E9 6.0 7.0],[1.0E9 5.0 6.0],[5.0 3.0 1.0E9],[5.0 5.0 9.0],[9.0 5.0 7.0],[8.0 4.0 8.0],[6.0 1.0E9 8.0],[9.0 5.0 7.0],[7.0 4.0 8.0],[6.0 4.0 8.0],[7.0 5.0 7.0],[8.0 8.0 5.0]]
[[5.0 2.0 3.0],[6.0 4.0 5.0],[5.0 5.0 7.0],[8.0 5.0 1.0E9],[9.0 7.0 1.0E9],[8.0 5.0 8.0],[0.0 0.0 0.0],[7.0 6.0 1.0E9],[7.0 7.0 1.0E9],[8.0 6.0 1.0E9],[6.0 8.0 1.0E9],[8.0 5.0 6.0],[1.0E9 5.0 7.0],[7.0 4.0 6.0],[7.0 4.0 6.0],[6.0 2.0 5.0],[1.0E9 7.0 6.0],[1.0E9 4.0 8.0],[5.0 2.0 1.0E9],[7.0 4.0 8.0],[8.0 5.0 8.0],[9.0 3.0 7.0],[6.0 1.0E9 8.0],[7.0 5.0 7.0],[7.0 5.0 6.0],[7.0 3.0 8.0],[5.0 5.0 7.0],[9.0 5.0 6.0]]
