N = 10;
T = 56;
K = 3;
C = 135.0;
furnance = 1;
color = 3;
machines = [1 2 3];
products = [226 232 14 13 244 463 238 10 94 15];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 16.0],[16.0 0.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0]];
Pik = [[2.956824 2.956824 2.956824],[3.4992 3.4992 3.4992],[3.888 3.888 3.888],[3.888 3.888 3.888],[3.38742 3.38742 3.38742],[4.54896 4.54896 4.54896],[3.67416 3.67416 3.67416],[3.888 3.888 3.888],[3.1104 3.1104 3.1104],[3.84912 3.84912 3.84912]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0],[0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0],[0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0],[0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0],[0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0],[0.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0],[0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0]];
Sijk = [[[0.0 0.0 0.0],[6.0 1.0E9 8.0],[7.0 7.0 6.0],[8.0 6.0 8.0],[9.0 4.0 5.0],[1.0E9 7.0 6.0],[6.0 6.0 5.0],[8.0 6.0 8.0],[7.0 4.0 9.0],[7.0 7.0 9.0]]
[[6.0 5.0 9.0],[0.0 0.0 0.0],[7.0 4.0 8.0],[8.0 7.0 8.0],[6.0 5.0 9.0],[1.0E9 7.0 6.0],[6.0 5.0 7.0],[6.0 6.0 9.0],[9.0 5.0 8.0],[7.0 5.0 7.0]]
[[5.0 3.0 6.0],[9.0 1.0E9 9.0],[0.0 0.0 0.0],[6.0 6.0 9.0],[7.0 5.0 8.0],[1.0E9 6.0 5.0],[6.0 6.0 8.0],[8.0 5.0 7.0],[8.0 5.0 6.0],[7.0 5.0 5.0]]
[[8.0 4.0 6.0],[8.0 1.0E9 9.0],[6.0 5.0 7.0],[0.0 0.0 0.0],[9.0 4.0 9.0],[1.0E9 6.0 7.0],[8.0 3.0 8.0],[6.0 6.0 8.0],[6.0 4.0 9.0],[9.0 6.0 7.0]]
[[6.0 4.0 9.0],[7.0 1.0E9 7.0],[7.0 4.0 6.0],[6.0 4.0 9.0],[0.0 0.0 0.0],[1.0E9 4.0 8.0],[6.0 5.0 9.0],[8.0 6.0 6.0],[9.0 5.0 9.0],[8.0 6.0 9.0]]
[[7.0 3.0 8.0],[8.0 1.0E9 6.0],[9.0 5.0 5.0],[7.0 7.0 6.0],[9.0 3.0 7.0],[0.0 0.0 0.0],[7.0 6.0 6.0],[9.0 6.0 9.0],[7.0 3.0 6.0],[7.0 6.0 6.0]]
[[6.0 4.0 5.0],[6.0 1.0E9 8.0],[6.0 4.0 9.0],[7.0 4.0 5.0],[9.0 5.0 9.0],[1.0E9 7.0 8.0],[0.0 0.0 0.0],[7.0 6.0 9.0],[9.0 3.0 9.0],[9.0 5.0 9.0]]
[[7.0 3.0 7.0],[5.0 1.0E9 7.0],[7.0 5.0 7.0],[7.0 4.0 8.0],[9.0 6.0 8.0],[1.0E9 6.0 6.0],[7.0 6.0 7.0],[0.0 0.0 0.0],[6.0 3.0 5.0],[5.0 5.0 7.0]]
[[5.0 4.0 9.0],[8.0 1.0E9 9.0],[8.0 6.0 7.0],[7.0 4.0 6.0],[7.0 6.0 7.0],[1.0E9 7.0 7.0],[6.0 5.0 9.0],[5.0 5.0 7.0],[0.0 0.0 0.0],[7.0 5.0 7.0]]
[[5.0 4.0 7.0],[6.0 1.0E9 9.0],[7.0 6.0 8.0],[6.0 5.0 6.0],[6.0 4.0 6.0],[1.0E9 7.0 6.0],[7.0 5.0 7.0],[9.0 4.0 9.0],[5.0 4.0 9.0],[0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0],[6.0 1.0E9 8.0],[7.0 7.0 6.0],[8.0 6.0 8.0],[9.0 4.0 5.0],[1.0E9 7.0 6.0],[6.0 6.0 5.0],[8.0 6.0 8.0],[7.0 4.0 9.0],[7.0 7.0 9.0]]
[[6.0 5.0 9.0],[0.0 0.0 0.0],[7.0 4.0 8.0],[8.0 7.0 8.0],[6.0 5.0 9.0],[1.0E9 7.0 6.0],[6.0 5.0 7.0],[6.0 6.0 9.0],[9.0 5.0 8.0],[7.0 5.0 7.0]]
[[5.0 3.0 6.0],[9.0 1.0E9 9.0],[0.0 0.0 0.0],[6.0 6.0 9.0],[7.0 5.0 8.0],[1.0E9 6.0 5.0],[6.0 6.0 8.0],[8.0 5.0 7.0],[8.0 5.0 6.0],[7.0 5.0 5.0]]
[[8.0 4.0 6.0],[8.0 1.0E9 9.0],[6.0 5.0 7.0],[0.0 0.0 0.0],[9.0 4.0 9.0],[1.0E9 6.0 7.0],[8.0 3.0 8.0],[6.0 6.0 8.0],[6.0 4.0 9.0],[9.0 6.0 7.0]]
[[6.0 4.0 9.0],[7.0 1.0E9 7.0],[7.0 4.0 6.0],[6.0 4.0 9.0],[0.0 0.0 0.0],[1.0E9 4.0 8.0],[6.0 5.0 9.0],[8.0 6.0 6.0],[9.0 5.0 9.0],[8.0 6.0 9.0]]
[[7.0 3.0 8.0],[8.0 1.0E9 6.0],[9.0 5.0 5.0],[7.0 7.0 6.0],[9.0 3.0 7.0],[0.0 0.0 0.0],[7.0 6.0 6.0],[9.0 6.0 9.0],[7.0 3.0 6.0],[7.0 6.0 6.0]]
[[6.0 4.0 5.0],[6.0 1.0E9 8.0],[6.0 4.0 9.0],[7.0 4.0 5.0],[9.0 5.0 9.0],[1.0E9 7.0 8.0],[0.0 0.0 0.0],[7.0 6.0 9.0],[9.0 3.0 9.0],[9.0 5.0 9.0]]
[[7.0 3.0 7.0],[5.0 1.0E9 7.0],[7.0 5.0 7.0],[7.0 4.0 8.0],[9.0 6.0 8.0],[1.0E9 6.0 6.0],[7.0 6.0 7.0],[0.0 0.0 0.0],[6.0 3.0 5.0],[5.0 5.0 7.0]]
[[5.0 4.0 9.0],[8.0 1.0E9 9.0],[8.0 6.0 7.0],[7.0 4.0 6.0],[7.0 6.0 7.0],[1.0E9 7.0 7.0],[6.0 5.0 9.0],[5.0 5.0 7.0],[0.0 0.0 0.0],[7.0 5.0 7.0]]
[[5.0 4.0 7.0],[6.0 1.0E9 9.0],[7.0 6.0 8.0],[6.0 5.0 6.0],[6.0 4.0 6.0],[1.0E9 7.0 6.0],[7.0 5.0 7.0],[9.0 4.0 9.0],[5.0 4.0 9.0],[0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
