N = 20;
T = 56;
K = 2;
C = 130.0;
furnance = 3;
color = 1;
machines = [9 10];
products = [142 72 9 151 253 118 149 70 252 74 127 98 123 138 137 135 141 129 132 229];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.56608 2.56608],[2.1546 2.1546],[3.402 3.402],[2.4624 2.4624],[3.73248 3.73248],[2.916 2.916],[2.69568 2.69568],[2.97432 2.97432],[3.73248 3.73248],[2.1546 2.1546],[2.593296 2.593296],[2.77992 2.77992],[2.752056 2.752056],[2.820096 2.820096],[2.8188 2.8188],[2.8188 2.8188],[2.70864 2.70864],[2.593296 2.593296],[2.61144 2.61144],[2.952288 2.952288]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0]];
Sijk = [[[0.0 0.0],[6.0 1.0E9],[10.0 1.0E9],[8.0 1.0E9],[12.0 1.0E9],[9.0 1.0E9],[10.0 10.0],[8.0 1.0E9],[11.0 1.0E9],[6.0 1.0E9],[9.0 8.0],[11.0 6.0],[7.0 6.0],[7.0 11.0],[10.0 7.0],[11.0 6.0],[9.0 8.0],[6.0 8.0],[9.0 6.0],[9.0 10.0]]
[[9.0 1.0E9],[0.0 0.0],[12.0 1.0E9],[9.0 1.0E9],[11.0 1.0E9],[9.0 1.0E9],[9.0 7.0],[10.0 1.0E9],[12.0 1.0E9],[6.0 1.0E9],[7.0 7.0],[6.0 9.0],[8.0 11.0],[10.0 10.0],[8.0 10.0],[9.0 7.0],[10.0 10.0],[6.0 7.0],[6.0 11.0],[9.0 12.0]]
[[7.0 1.0E9],[6.0 1.0E9],[0.0 0.0],[8.0 1.0E9],[10.0 1.0E9],[8.0 1.0E9],[6.0 10.0],[12.0 1.0E9],[12.0 1.0E9],[7.0 1.0E9],[7.0 7.0],[7.0 11.0],[6.0 8.0],[7.0 7.0],[11.0 6.0],[8.0 6.0],[10.0 7.0],[10.0 9.0],[11.0 6.0],[11.0 7.0]]
[[9.0 1.0E9],[6.0 1.0E9],[13.0 1.0E9],[0.0 0.0],[11.0 1.0E9],[11.0 1.0E9],[7.0 9.0],[11.0 1.0E9],[13.0 1.0E9],[5.0 1.0E9],[10.0 9.0],[10.0 8.0],[8.0 9.0],[10.0 10.0],[11.0 9.0],[7.0 11.0],[11.0 7.0],[8.0 8.0],[9.0 11.0],[12.0 9.0]]
[[6.0 1.0E9],[5.0 1.0E9],[7.0 1.0E9],[5.0 1.0E9],[0.0 0.0],[12.0 1.0E9],[11.0 6.0],[8.0 1.0E9],[9.0 1.0E9],[6.0 1.0E9],[7.0 9.0],[8.0 9.0],[7.0 10.0],[7.0 11.0],[11.0 9.0],[6.0 9.0],[6.0 8.0],[7.0 8.0],[10.0 7.0],[7.0 9.0]]
[[6.0 1.0E9],[5.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[13.0 1.0E9],[0.0 0.0],[9.0 6.0],[11.0 1.0E9],[11.0 1.0E9],[5.0 1.0E9],[6.0 7.0],[11.0 11.0],[11.0 6.0],[9.0 10.0],[8.0 7.0],[8.0 9.0],[7.0 10.0],[7.0 9.0],[7.0 9.0],[10.0 11.0]]
[[10.0 1.0E9],[7.0 1.0E9],[13.0 1.0E9],[6.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[0.0 0.0],[11.0 1.0E9],[10.0 1.0E9],[9.0 1.0E9],[8.0 6.0],[7.0 6.0],[10.0 10.0],[7.0 8.0],[7.0 9.0],[10.0 9.0],[6.0 11.0],[9.0 6.0],[9.0 7.0],[12.0 8.0]]
