N = 20;
T = 56;
K = 3;
C = 135.0;
furnance = 1;
color = 6;
machines = [1 2 3];
products = [24 120 104 154 77 55 248 23 180 183 255 159 162 32 176 201 175 160 424 258];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 0.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[0.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[0.0 8.0 16.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[0.0 8.0 16.0],[16.0 8.0 16.0],[0.0 8.0 16.0]];
Pik = [[4.08564 4.08564 4.08564],[2.916 2.916 2.916],[4.9896 4.9896 4.9896],[3.3048 3.3048 3.3048],[1.8792 1.8792 1.8792],[4.44528 4.44528 4.44528],[3.93984 3.93984 3.93984],[3.77136 3.77136 3.77136],[5.334336 5.334336 5.334336],[3.7908 3.7908 3.7908],[4.44528 4.44528 4.44528],[4.44528 4.44528 4.44528],[4.08564 4.08564 4.08564],[5.508 5.508 5.508],[4.43232 4.43232 4.43232],[5.346 5.346 5.346],[3.6936 3.6936 3.6936],[4.19904 4.19904 4.19904],[4.0824 4.0824 4.0824],[5.2488 5.2488 5.2488]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0],[0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0]];
Sijk = [[[0.0 0.0 0.0],[8.0 5.0 8.0],[6.0 7.0 1.0E9],[7.0 3.0 1.0E9],[6.0 3.0 5.0],[7.0 5.0 9.0],[8.0 5.0 1.0E9],[1.0E9 4.0 6.0],[6.0 8.0 1.0E9],[8.0 5.0 1.0E9],[6.0 6.0 1.0E9],[1.0E9 6.0 7.0],[8.0 5.0 1.0E9],[8.0 8.0 1.0E9],[5.0 6.0 9.0],[1.0E9 7.0 9.0],[1.0E9 5.0 6.0],[1.0E9 5.0 9.0],[7.0 6.0 7.0],[1.0E9 7.0 8.0]]
[[8.0 1.0E9 8.0],[0.0 0.0 0.0],[5.0 7.0 1.0E9],[7.0 4.0 1.0E9],[6.0 3.0 5.0],[8.0 7.0 6.0],[7.0 7.0 1.0E9],[1.0E9 6.0 8.0],[7.0 8.0 1.0E9],[5.0 5.0 1.0E9],[9.0 6.0 1.0E9],[1.0E9 7.0 8.0],[7.0 6.0 1.0E9],[5.0 6.0 1.0E9],[7.0 5.0 6.0],[1.0E9 7.0 8.0],[1.0E9 6.0 7.0],[1.0E9 6.0 6.0],[9.0 6.0 7.0],[1.0E9 7.0 8.0]]
[[6.0 1.0E9 7.0],[9.0 5.0 7.0],[0.0 0.0 0.0],[9.0 3.0 1.0E9],[5.0 3.0 5.0],[5.0 5.0 5.0],[9.0 4.0 1.0E9],[1.0E9 6.0 7.0],[9.0 6.0 1.0E9],[6.0 6.0 1.0E9],[7.0 7.0 1.0E9],[1.0E9 4.0 5.0],[7.0 7.0 1.0E9],[9.0 6.0 1.0E9],[6.0 6.0 5.0],[1.0E9 8.0 8.0],[1.0E9 6.0 8.0],[1.0E9 5.0 6.0],[6.0 6.0 8.0],[1.0E9 7.0 7.0]]
[[8.0 1.0E9 9.0],[7.0 5.0 8.0],[8.0 6.0 1.0E9],[0.0 0.0 0.0],[6.0 3.0 5.0],[5.0 6.0 7.0],[6.0 6.0 1.0E9],[1.0E9 6.0 9.0],[6.0 5.0 1.0E9],[8.0 6.0 1.0E9],[8.0 4.0 1.0E9],[1.0E9 7.0 9.0],[9.0 5.0 1.0E9],[8.0 8.0 1.0E9],[9.0 7.0 5.0],[1.0E9 8.0 9.0],[1.0E9 4.0 7.0],[1.0E9 5.0 5.0],[6.0 6.0 9.0],[1.0E9 7.0 9.0]]
[[7.0 1.0E9 6.0],[9.0 4.0 8.0],[5.0 7.0 1.0E9],[6.0 5.0 1.0E9],[0.0 0.0 0.0],[7.0 7.0 8.0],[9.0 6.0 1.0E9],[1.0E9 5.0 8.0],[7.0 8.0 1.0E9],[7.0 6.0 1.0E9],[8.0 6.0 1.0E9],[1.0E9 4.0 9.0],[7.0 7.0 1.0E9],[8.0 7.0 1.0E9],[7.0 7.0 6.0],[1.0E9 6.0 9.0],[1.0E9 6.0 5.0],[1.0E9 4.0 6.0],[7.0 7.0 6.0],[1.0E9 8.0 6.0]]
[[9.0 1.0E9 7.0],[7.0 3.0 7.0],[6.0 6.0 1.0E9],[6.0 5.0 1.0E9],[6.0 3.0 6.0],[0.0 0.0 0.0],[9.0 4.0 1.0E9],[1.0E9 5.0 8.0],[7.0 8.0 1.0E9],[9.0 6.0 1.0E9],[9.0 7.0 1.0E9],[1.0E9 4.0 7.0],[7.0 6.0 1.0E9],[9.0 6.0 1.0E9],[8.0 5.0 7.0],[1.0E9 6.0 9.0],[1.0E9 5.0 8.0],[1.0E9 5.0 6.0],[5.0 4.0 9.0],[1.0E9 7.0 8.0]]
[[7.0 1.0E9 5.0],[7.0 4.0 6.0],[8.0 6.0 1.0E9],[9.0 5.0 1.0E9],[4.0 3.0 4.0],[6.0 7.0 7.0],[0.0 0.0 0.0],[1.0E9 4.0 7.0],[9.0 9.0 1.0E9],[6.0 5.0 1.0E9],[7.0 7.0 1.0E9],[1.0E9 7.0 7.0],[8.0 6.0 1.0E9],[6.0 9.0 1.0E9],[8.0 7.0 7.0],[1.0E9 7.0 8.0],[1.0E9 3.0 6.0],[1.0E9 5.0 6.0],[5.0 4.0 7.0],[1.0E9 6.0 7.0]]
