N = 37;
T = 28;
K = 4;
C = 240.0;
furnance = 6;
color = 5;
machines = [17 18 19 20];
products = [473 338 336 114 277 405 148 444 280 150 505 504 317 339 340 316 311 406 401 192 372 302 417 323 332 496 59 422 306 272 343 315 128 305 449 102 346];
MINik = [[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0]];
MAXik = [[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[0.0 20.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[0.0 0.0 16.0 0.0],[0.0 0.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 0.0 16.0 0.0],[0.0 0.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 0.0 0.0 8.0],[20.0 20.0 16.0 8.0]];
Pik = [[2.312064 2.312064 2.312064 2.312064],[2.91276 2.91276 2.91276 2.91276],[3.0629664000000005 3.0629664000000005 3.0629664000000005 3.0629664000000005],[9.72 9.72 9.72 9.72],[2.395008 2.395008 2.395008 2.395008],[2.754 2.754 2.754 2.754],[2.69568 2.69568 2.69568 2.69568],[2.187 2.187 2.187 2.187],[2.8674 2.8674 2.8674 2.8674],[2.86416 2.86416 2.86416 2.86416],[2.75724 2.75724 2.75724 2.75724],[2.75724 2.75724 2.75724 2.75724],[2.91991392 2.91991392 2.91991392 2.91991392],[2.375568 2.375568 2.375568 2.375568],[2.95488 2.95488 2.95488 2.95488],[2.5515 2.5515 2.5515 2.5515],[2.386584 2.386584 2.386584 2.386584],[3.888 3.888 3.888 3.888],[2.529792 2.529792 2.529792 2.529792],[3.52512 3.52512 3.52512 3.52512],[4.06296 4.06296 4.06296 4.06296],[1.8144 1.8144 1.8144 1.8144],[3.4992 3.4992 3.4992 3.4992],[2.69892 2.69892 2.69892 2.69892],[2.67624 2.67624 2.67624 2.67624],[2.939328 2.939328 2.939328 2.939328],[3.4992 3.4992 3.4992 3.4992],[3.4992 3.4992 3.4992 3.4992],[2.4543 2.4543 2.4543 2.4543],[2.87712 2.87712 2.87712 2.87712],[3.57696 3.57696 3.57696 3.57696],[2.78964 2.78964 2.78964 2.78964],[2.593296 2.593296 2.593296 2.593296],[2.43 2.43 2.43 2.43],[2.268 2.268 2.268 2.268],[5.184 5.184 5.184 5.184],[3.359232 3.359232 3.359232 3.359232]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0],[0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0],[0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[9.0 11.0 7.0 4.0],[8.0 9.0 10.0 4.0],[12.0 10.0 10.0 10.0],[9.0 9.0 7.0 3.0],[9.0 10.0 7.0 4.0],[10.0 10.0 8.0 4.0],[5.0 9.0 5.0 4.0],[10.0 11.0 9.0 3.0],[8.0 11.0 9.0 5.0],[1.0E9 12.0 6.0 1.0E9],[1.0E9 11.0 8.0 1.0E9],[9.0 6.0 10.0 4.0],[9.0 6.0 4.0 4.0],[10.0 12.0 6.0 4.0],[6.0 8.0 7.0 3.0],[6.0 8.0 6.0 3.0],[8.0 8.0 7.0 6.0],[1.0E9 9.0 7.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[4.0 4.0 4.0 2.0],[8.0 12.0 10.0 4.0],[9.0 8.0 6.0 4.0],[8.0 10.0 8.0 3.0],[1.0E9 1.0E9 6.0 1.0E9],[1.0E9 1.0E9 12.0 1.0E9],[11.0 9.0 8.0 4.0],[9.0 8.0 5.0 3.0],[11.0 11.0 7.0 3.0],[7.0 11.0 8.0 5.0],[8.0 11.0 9.0 4.0],[10.0 10.0 5.0 4.0],[10.0 8.0 4.0 3.0],[9.0 7.0 8.0 4.0],[1.0E9 1.0E9 1.0E9 8.0],[11.0 12.0 10.0 4.0]]
[[8.0 10.0 7.0 4.0],[0.0 0.0 0.0 0.0],[11.0 8.0 8.0 3.0],[11.0 10.0 8.0 12.0],[7.0 10.0 5.0 4.0],[9.0 7.0 6.0 4.0],[8.0 10.0 8.0 3.0],[7.0 7.0 4.0 3.0],[10.0 7.0 6.0 5.0],[8.0 9.0 7.0 5.0],[1.0E9 11.0 8.0 1.0E9],[1.0E9 7.0 8.0 1.0E9],[9.0 11.0 5.0 3.0],[6.0 9.0 6.0 3.0],[12.0 7.0 9.0 4.0],[10.0 10.0 5.0 4.0],[7.0 6.0 5.0 3.0],[8.0 11.0 9.0 4.0],[1.0E9 9.0 7.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[8.0 6.0 5.0 3.0],[11.0 12.0 7.0 5.0],[9.0 7.0 9.0 3.0],[10.0 10.0 8.0 3.0],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[11.0 11.0 9.0 4.0],[10.0 8.0 5.0 4.0],[9.0 7.0 6.0 4.0],[11.0 8.0 8.0 4.0],[11.0 10.0 7.0 5.0],[7.0 6.0 8.0 4.0],[9.0 7.0 7.0 3.0],[5.0 7.0 4.0 3.0],[1.0E9 1.0E9 1.0E9 5.0],[10.0 9.0 7.0 5.0]]
[[7.0 9.0 7.0 4.0],[10.0 7.0 7.0 4.0],[0.0 0.0 0.0 0.0],[10.0 11.0 7.0 7.0],[8.0 7.0 5.0 4.0],[11.0 7.0 8.0 3.0],[7.0 10.0 8.0 5.0],[8.0 9.0 5.0 3.0],[7.0 10.0 8.0 4.0],[7.0 9.0 9.0 4.0],[1.0E9 9.0 8.0 1.0E9],[1.0E9 10.0 6.0 1.0E9],[7.0 7.0 7.0 5.0],[9.0 7.0 7.0 4.0],[7.0 10.0 9.0 4.0],[7.0 8.0 6.0 3.0],[8.0 10.0 5.0 4.0],[8.0 7.0 9.0 6.0],[1.0E9 7.0 6.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[5.0 7.0 6.0 3.0],[7.0 9.0 11.0 6.0],[11.0 8.0 8.0 4.0],[9.0 9.0 8.0 4.0],[1.0E9 1.0E9 10.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[7.0 9.0 11.0 6.0],[9.0 7.0 6.0 3.0],[9.0 7.0 7.0 4.0],[8.0 11.0 7.0 5.0],[11.0 11.0 8.0 3.0],[9.0 7.0 5.0 3.0],[8.0 6.0 6.0 4.0],[7.0 7.0 8.0 3.0],[1.0E9 1.0E9 1.0E9 7.0],[7.0 10.0 9.0 6.0]]
[[8.0 7.0 7.0 4.0],[8.0 11.0 9.0 5.0],[8.0 10.0 7.0 4.0],[0.0 0.0 0.0 0.0],[10.0 8.0 6.0 4.0],[10.0 10.0 7.0 3.0],[6.0 8.0 6.0 5.0],[9.0 7.0 5.0 2.0],[11.0 11.0 7.0 5.0],[10.0 9.0 6.0 5.0],[1.0E9 9.0 9.0 1.0E9],[1.0E9 11.0 7.0 1.0E9],[8.0 9.0 8.0 4.0],[6.0 9.0 8.0 4.0],[8.0 7.0 7.0 4.0],[11.0 8.0 6.0 3.0],[10.0 6.0 6.0 3.0],[9.0 7.0 10.0 4.0],[1.0E9 10.0 7.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[1.0E9 1.0E9 11.0 1.0E9],[6.0 5.0 6.0 2.0],[9.0 9.0 9.0 4.0],[10.0 9.0 7.0 4.0],[11.0 9.0 8.0 3.0],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[12.0 7.0 8.0 5.0],[9.0 10.0 8.0 3.0],[11.0 7.0 8.0 4.0],[7.0 8.0 9.0 5.0],[8.0 11.0 7.0 5.0],[7.0 9.0 8.0 5.0],[8.0 10.0 7.0 3.0],[7.0 9.0 5.0 2.0],[1.0E9 1.0E9 1.0E9 6.0],[8.0 10.0 10.0 6.0]]
[[6.0 7.0 7.0 3.0],[7.0 11.0 9.0 4.0],[11.0 9.0 7.0 3.0],[8.0 7.0 7.0 12.0],[0.0 0.0 0.0 0.0],[10.0 10.0 8.0 3.0],[7.0 9.0 8.0 3.0],[8.0 8.0 6.0 3.0],[8.0 6.0 6.0 4.0],[11.0 8.0 6.0 4.0],[1.0E9 9.0 6.0 1.0E9],[1.0E9 11.0 5.0 1.0E9],[10.0 9.0 7.0 3.0],[10.0 6.0 6.0 4.0],[8.0 9.0 5.0 5.0],[9.0 10.0 5.0 3.0],[5.0 8.0 6.0 3.0],[12.0 10.0 8.0 4.0],[1.0E9 9.0 5.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[4.0 6.0 5.0 2.0],[8.0 9.0 9.0 6.0],[8.0 11.0 6.0 4.0],[9.0 6.0 5.0 4.0],[1.0E9 1.0E9 6.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[11.0 10.0 12.0 5.0],[10.0 10.0 7.0 4.0],[10.0 7.0 9.0 3.0],[10.0 12.0 10.0 5.0],[9.0 9.0 6.0 3.0],[7.0 6.0 5.0 5.0],[7.0 7.0 6.0 3.0],[8.0 7.0 8.0 3.0],[1.0E9 1.0E9 1.0E9 6.0],[8.0 8.0 9.0 4.0]]
[[6.0 8.0 5.0 4.0],[8.0 7.0 6.0 5.0],[11.0 12.0 6.0 5.0],[9.0 9.0 10.0 10.0],[6.0 6.0 4.0 3.0],[0.0 0.0 0.0 0.0],[8.0 10.0 9.0 4.0],[8.0 7.0 4.0 4.0],[9.0 8.0 6.0 3.0],[7.0 9.0 9.0 5.0],[1.0E9 10.0 8.0 1.0E9],[1.0E9 9.0 6.0 1.0E9],[10.0 10.0 9.0 3.0],[7.0 10.0 6.0 4.0],[11.0 11.0 7.0 3.0],[10.0 11.0 8.0 3.0],[10.0 6.0 7.0 3.0],[10.0 8.0 10.0 6.0],[1.0E9 9.0 8.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[5.0 5.0 6.0 2.0],[11.0 8.0 9.0 4.0],[11.0 9.0 5.0 5.0],[11.0 7.0 9.0 3.0],[1.0E9 1.0E9 8.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[9.0 8.0 11.0 3.0],[10.0 10.0 8.0 4.0],[11.0 11.0 8.0 3.0],[8.0 8.0 7.0 4.0],[8.0 9.0 6.0 5.0],[11.0 8.0 6.0 4.0],[6.0 7.0 7.0 3.0],[6.0 9.0 5.0 4.0],[1.0E9 1.0E9 1.0E9 8.0],[10.0 9.0 10.0 5.0]]
