N = 20;
T = 56;
K = 5;
C = 365.0;
furnance = 2;
color = 6;
machines = [4 5 6 7 8];
products = [156 176 117 115 158 8 183 24 54 55 419 3 160 424 111 77 159 182 120 201];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0]];
Pik = [[2.496312 2.496312 2.496312 2.496312 2.496312],[4.3781472 4.3781472 4.3781472 4.3781472 4.3781472],[3.888486 3.888486 3.888486 3.888486 3.888486],[3.456432 3.456432 3.456432 3.456432 3.456432],[2.88036 2.88036 2.88036 2.88036 2.88036],[3.36042 3.36042 3.36042 3.36042 3.36042],[3.744468 3.744468 3.744468 3.744468 3.744468],[4.0357044 4.0357044 4.0357044 4.0357044 4.0357044],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[4.032504 4.032504 4.032504 4.032504 4.032504],[3.7739116800000003 3.7739116800000003 3.7739116800000003 3.7739116800000003 3.7739116800000003],[4.1477184 4.1477184 4.1477184 4.1477184 4.1477184],[4.032504 4.032504 4.032504 4.032504 4.032504],[4.032504 4.032504 4.032504 4.032504 4.032504],[1.856232 1.856232 1.856232 1.856232 1.856232],[4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999 4.390948799999999],[4.1541192 4.1541192 4.1541192 4.1541192 4.1541192],[2.88036 2.88036 2.88036 2.88036 2.88036],[5.28066 5.28066 5.28066 5.28066 5.28066]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 100.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 97.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0],[0.0 0.0 0.0 0.0 0.0 0.0 99.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 97.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 98.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 92.0 0.0 0.0 0.0 0.0 0.0 0.0 92.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 98.0 0.0 0.0 0.0 0.0 0.0 0.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 95.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 95.0 0.0 0.0 0.0 0.0 0.0 0.0 59.0],[0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 105.0],[0.0 0.0 0.0 0.0 0.0 0.0 108.0 0.0 0.0 0.0 0.0 0.0 0.0 105.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0 0.0 0.0 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 100.0],[0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 97.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0],[0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0],[0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 107.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0],[0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 89.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0],[0.0 0.0 0.0 0.0 0.0 0.0 98.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 107.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0],[0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 0.0 0.0 98.0],[0.0 0.0 0.0 0.0 0.0 0.0 84.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0 0.0 0.0 0.0 0.0 0.0 0.0 102.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 103.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[12.0 9.0 8.0 14.0 9.0],[8.0 7.0 13.0 8.0 14.0],[10.0 9.0 8.0 9.0 11.0],[7.0 7.0 8.0 7.0 7.0],[6.0 8.0 9.0 7.0 12.0],[7.0 8.0 1.0E9 14.0 12.0],[10.0 13.0 14.0 10.0 11.0],[8.0 14.0 9.0 9.0 11.0],[10.0 13.0 8.0 13.0 9.0],[10.0 8.0 11.0 9.0 9.0],[7.0 7.0 11.0 14.0 13.0],[9.0 8.0 1.0E9 10.0 10.0],[13.0 11.0 15.0 10.0 11.0],[11.0 8.0 1.0E9 14.0 8.0],[6.0 4.0 6.0 8.0 6.0],[14.0 13.0 1.0E9 11.0 14.0],[7.0 8.0 1.0E9 15.0 11.0],[9.0 6.0 9.0 6.0 10.0],[14.0 8.0 1.0E9 13.0 12.0]]
[[5.0 5.0 10.0 9.0 8.0],[0.0 0.0 0.0 0.0 0.0],[8.0 11.0 11.0 10.0 14.0],[6.0 9.0 13.0 12.0 13.0],[6.0 8.0 7.0 7.0 6.0],[8.0 9.0 11.0 9.0 10.0],[7.0 8.0 1.0E9 8.0 8.0],[9.0 13.0 15.0 10.0 8.0],[9.0 11.0 9.0 13.0 15.0],[14.0 9.0 13.0 10.0 11.0],[10.0 9.0 8.0 10.0 11.0],[8.0 7.0 8.0 9.0 14.0],[12.0 8.0 1.0E9 14.0 9.0],[11.0 10.0 11.0 13.0 9.0],[13.0 13.0 1.0E9 10.0 14.0],[5.0 4.0 4.0 5.0 7.0],[14.0 10.0 1.0E9 11.0 11.0],[8.0 12.0 1.0E9 12.0 15.0],[9.0 6.0 9.0 11.0 7.0],[12.0 13.0 1.0E9 8.0 11.0]]
[[7.0 6.0 7.0 8.0 6.0],[9.0 14.0 12.0 11.0 10.0],[0.0 0.0 0.0 0.0 0.0],[6.0 11.0 9.0 13.0 9.0],[8.0 10.0 12.0 12.0 7.0],[9.0 9.0 8.0 7.0 14.0],[10.0 9.0 1.0E9 12.0 12.0],[9.0 10.0 9.0 9.0 15.0],[12.0 10.0 8.0 9.0 10.0],[11.0 8.0 9.0 13.0 10.0],[13.0 9.0 13.0 14.0 14.0],[11.0 11.0 10.0 11.0 9.0],[10.0 10.0 1.0E9 13.0 8.0],[13.0 13.0 14.0 12.0 11.0],[12.0 7.0 1.0E9 9.0 10.0],[6.0 4.0 6.0 7.0 6.0],[10.0 12.0 1.0E9 10.0 13.0],[11.0 13.0 1.0E9 8.0 14.0],[6.0 6.0 8.0 11.0 6.0],[14.0 13.0 1.0E9 10.0 10.0]]
[[6.0 8.0 7.0 9.0 8.0],[11.0 11.0 8.0 13.0 12.0],[12.0 10.0 9.0 14.0 11.0],[0.0 0.0 0.0 0.0 0.0],[9.0 5.0 12.0 11.0 7.0],[10.0 10.0 9.0 9.0 12.0],[10.0 10.0 1.0E9 15.0 8.0],[10.0 13.0 11.0 14.0 9.0],[9.0 11.0 8.0 10.0 10.0],[10.0 11.0 14.0 12.0 11.0],[7.0 9.0 14.0 12.0 12.0],[7.0 10.0 15.0 11.0 12.0],[13.0 9.0 1.0E9 9.0 14.0],[12.0 9.0 10.0 10.0 9.0],[10.0 8.0 1.0E9 13.0 12.0],[6.0 4.0 8.0 5.0 5.0],[10.0 8.0 1.0E9 9.0 15.0],[13.0 13.0 1.0E9 15.0 8.0],[9.0 9.0 9.0 10.0 10.0],[9.0 14.0 1.0E9 9.0 8.0]]
[[6.0 8.0 10.0 8.0 8.0],[11.0 8.0 10.0 11.0 11.0],[11.0 8.0 14.0 8.0 14.0],[8.0 10.0 11.0 14.0 10.0],[0.0 0.0 0.0 0.0 0.0],[10.0 11.0 9.0 11.0 11.0],[8.0 7.0 1.0E9 12.0 9.0],[10.0 9.0 14.0 9.0 14.0],[10.0 8.0 12.0 9.0 8.0],[8.0 10.0 14.0 15.0 10.0],[7.0 12.0 8.0 8.0 14.0],[10.0 13.0 13.0 8.0 8.0],[12.0 14.0 1.0E9 13.0 12.0],[10.0 12.0 15.0 9.0 11.0],[12.0 11.0 1.0E9 12.0 11.0],[4.0 6.0 6.0 6.0 5.0],[9.0 12.0 1.0E9 11.0 14.0],[8.0 12.0 1.0E9 9.0 13.0],[6.0 8.0 11.0 7.0 11.0],[14.0 11.0 1.0E9 12.0 11.0]]
[[6.0 7.0 9.0 10.0 10.0],[8.0 9.0 13.0 13.0 11.0],[9.0 12.0 8.0 14.0 12.0],[11.0 11.0 11.0 9.0 8.0],[7.0 5.0 11.0 12.0 7.0],[0.0 0.0 0.0 0.0 0.0],[11.0 12.0 1.0E9 13.0 9.0],[12.0 13.0 11.0 12.0 11.0],[12.0 9.0 9.0 15.0 8.0],[10.0 13.0 13.0 9.0 14.0],[13.0 13.0 10.0 14.0 9.0],[10.0 11.0 9.0 11.0 8.0],[13.0 10.0 1.0E9 10.0 8.0],[9.0 8.0 12.0 10.0 13.0],[10.0 11.0 1.0E9 13.0 15.0],[5.0 5.0 7.0 5.0 7.0],[14.0 11.0 1.0E9 15.0 15.0],[9.0 10.0 1.0E9 9.0 13.0],[7.0 7.0 11.0 11.0 7.0],[11.0 11.0 1.0E9 11.0 11.0]]
