N = 26;
T = 56;
K = 5;
C = 365.0;
furnance = 2;
color = 3;
machines = [4 5 6 7 8];
products = [222 244 66 463 13 224 218 185 239 15 133 94 10 242 235 14 233 231 21 223 226 232 243 230 238 220];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 0.0 20.0 20.0]];
Pik = [[4.176522 4.176522 4.176522 4.176522 4.176522],[3.3460182 3.3460182 3.3460182 3.3460182 3.3460182],[2.8675584 2.8675584 2.8675584 2.8675584 2.8675584],[4.4933616 4.4933616 4.4933616 4.4933616 4.4933616],[3.84048 3.84048 3.84048 3.84048 3.84048],[4.32054 4.32054 4.32054 4.32054 4.32054],[2.63584944 2.63584944 2.63584944 2.63584944 2.63584944],[3.8276784 3.8276784 3.8276784 3.8276784 3.8276784],[3.3591398399999997 3.3591398399999997 3.3591398399999997 3.3591398399999997 3.3591398399999997],[3.8020752 3.8020752 3.8020752 3.8020752 3.8020752],[2.784348 2.784348 2.784348 2.784348 2.784348],[3.072384 3.072384 3.072384 3.072384 3.072384],[3.84048 3.84048 3.84048 3.84048 3.84048],[3.3460182 3.3460182 3.3460182 3.3460182 3.3460182],[3.1916949119999996 3.1916949119999996 3.1916949119999996 3.1916949119999996 3.1916949119999996],[3.84048 3.84048 3.84048 3.84048 3.84048],[3.00325536 3.00325536 3.00325536 3.00325536 3.00325536],[3.3591398399999997 3.3591398399999997 3.3591398399999997 3.3591398399999997 3.3591398399999997],[4.7109888 4.7109888 4.7109888 4.7109888 4.7109888],[4.032504 4.032504 4.032504 4.032504 4.032504],[2.92068504 2.92068504 2.92068504 2.92068504 2.92068504],[3.456432 3.456432 3.456432 3.456432 3.456432],[3.3460182 3.3460182 3.3460182 3.3460182 3.3460182],[3.2452056000000002 3.2452056000000002 3.2452056000000002 3.2452056000000002 3.2452056000000002],[3.6292536 3.6292536 3.6292536 3.6292536 3.6292536],[2.784348 2.784348 2.784348 2.784348 2.784348]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 71.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 83.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[8.0 9.0 8.0 10.0 7.0],[7.0 5.0 9.0 9.0 8.0],[9.0 13.0 1.0E9 13.0 8.0],[9.0 11.0 1.0E9 11.0 13.0],[11.0 7.0 1.0E9 10.0 9.0],[7.0 8.0 1.0E9 8.0 9.0],[12.0 11.0 1.0E9 12.0 11.0],[9.0 6.0 13.0 12.0 8.0],[10.0 7.0 1.0E9 10.0 13.0],[5.0 6.0 11.0 10.0 12.0],[8.0 9.0 1.0E9 7.0 11.0],[8.0 9.0 1.0E9 13.0 13.0],[7.0 7.0 9.0 10.0 10.0],[7.0 6.0 7.0 10.0 10.0],[9.0 7.0 1.0E9 12.0 12.0],[8.0 7.0 8.0 12.0 11.0],[9.0 8.0 10.0 13.0 13.0],[10.0 9.0 1.0E9 15.0 10.0],[9.0 11.0 1.0E9 9.0 13.0],[10.0 9.0 12.0 9.0 11.0],[8.0 9.0 8.0 14.0 12.0],[9.0 9.0 1.0E9 11.0 14.0],[6.0 10.0 9.0 9.0 10.0],[7.0 11.0 14.0 10.0 8.0],[7.0 6.0 1.0E9 9.0 7.0]]
[[8.0 12.0 1.0E9 11.0 9.0],[0.0 0.0 0.0 0.0 0.0],[9.0 9.0 8.0 10.0 9.0],[8.0 12.0 1.0E9 12.0 12.0],[10.0 13.0 1.0E9 9.0 13.0],[9.0 12.0 1.0E9 12.0 14.0],[5.0 8.0 1.0E9 8.0 10.0],[10.0 7.0 1.0E9 9.0 13.0],[8.0 8.0 7.0 14.0 13.0],[8.0 8.0 1.0E9 9.0 11.0],[7.0 6.0 12.0 10.0 10.0],[10.0 7.0 1.0E9 12.0 10.0],[8.0 9.0 1.0E9 12.0 11.0],[8.0 9.0 9.0 13.0 13.0],[8.0 7.0 13.0 9.0 10.0],[11.0 10.0 1.0E9 13.0 12.0],[10.0 8.0 7.0 8.0 7.0],[6.0 8.0 10.0 14.0 10.0],[11.0 11.0 1.0E9 9.0 10.0],[12.0 11.0 1.0E9 14.0 8.0],[6.0 9.0 7.0 11.0 12.0],[6.0 7.0 9.0 12.0 8.0],[10.0 8.0 1.0E9 11.0 10.0],[6.0 8.0 10.0 10.0 10.0],[12.0 8.0 11.0 11.0 13.0],[7.0 5.0 1.0E9 8.0 9.0]]
[[12.0 13.0 1.0E9 11.0 14.0],[6.0 6.0 9.0 9.0 13.0],[0.0 0.0 0.0 0.0 0.0],[13.0 8.0 1.0E9 11.0 10.0],[10.0 12.0 1.0E9 13.0 10.0],[9.0 10.0 1.0E9 9.0 10.0],[8.0 8.0 1.0E9 6.0 10.0],[8.0 13.0 1.0E9 13.0 8.0],[9.0 10.0 10.0 8.0 12.0],[9.0 11.0 1.0E9 10.0 13.0],[9.0 8.0 11.0 11.0 8.0],[8.0 10.0 1.0E9 11.0 12.0],[11.0 9.0 1.0E9 12.0 14.0],[9.0 9.0 13.0 12.0 13.0],[6.0 10.0 8.0 9.0 12.0],[9.0 7.0 1.0E9 14.0 9.0],[10.0 8.0 10.0 12.0 12.0],[10.0 6.0 10.0 10.0 10.0],[15.0 10.0 1.0E9 11.0 9.0],[10.0 11.0 1.0E9 15.0 12.0],[7.0 7.0 10.0 7.0 10.0],[11.0 9.0 12.0 8.0 13.0],[8.0 8.0 1.0E9 13.0 10.0],[7.0 7.0 9.0 13.0 11.0],[10.0 10.0 9.0 13.0 10.0],[6.0 9.0 1.0E9 7.0 11.0]]
[[13.0 11.0 1.0E9 14.0 11.0],[8.0 10.0 10.0 13.0 9.0],[9.0 8.0 11.0 7.0 11.0],[0.0 0.0 0.0 0.0 0.0],[11.0 10.0 1.0E9 10.0 10.0],[12.0 9.0 1.0E9 10.0 15.0],[6.0 7.0 1.0E9 8.0 8.0],[11.0 13.0 1.0E9 14.0 11.0],[10.0 8.0 8.0 11.0 14.0],[8.0 12.0 1.0E9 15.0 11.0],[9.0 9.0 6.0 12.0 9.0],[7.0 8.0 1.0E9 11.0 9.0],[11.0 12.0 1.0E9 11.0 9.0],[10.0 9.0 11.0 13.0 9.0],[9.0 9.0 10.0 8.0 7.0],[7.0 7.0 1.0E9 9.0 12.0],[9.0 10.0 8.0 10.0 12.0],[8.0 9.0 12.0 9.0 13.0],[12.0 10.0 1.0E9 11.0 11.0],[12.0 11.0 1.0E9 14.0 8.0],[8.0 6.0 8.0 9.0 11.0],[10.0 6.0 13.0 8.0 13.0],[11.0 8.0 1.0E9 13.0 10.0],[7.0 7.0 12.0 9.0 10.0],[10.0 7.0 15.0 13.0 13.0],[7.0 5.0 1.0E9 6.0 7.0]]
[[7.0 10.0 1.0E9 9.0 9.0],[8.0 11.0 7.0 8.0 11.0],[6.0 7.0 10.0 7.0 8.0],[9.0 14.0 1.0E9 14.0 13.0],[0.0 0.0 0.0 0.0 0.0],[10.0 9.0 1.0E9 9.0 9.0],[8.0 6.0 1.0E9 8.0 9.0],[10.0 8.0 1.0E9 9.0 11.0],[9.0 7.0 9.0 12.0 12.0],[8.0 11.0 1.0E9 8.0 13.0],[9.0 9.0 8.0 10.0 8.0],[10.0 8.0 1.0E9 10.0 12.0],[11.0 7.0 1.0E9 8.0 12.0],[11.0 8.0 11.0 11.0 12.0],[9.0 6.0 7.0 10.0 12.0],[8.0 12.0 1.0E9 9.0 9.0],[8.0 10.0 10.0 7.0 10.0],[11.0 9.0 9.0 10.0 14.0],[13.0 11.0 1.0E9 12.0 10.0],[9.0 11.0 1.0E9 10.0 13.0],[8.0 7.0 6.0 10.0 10.0],[9.0 8.0 10.0 8.0 8.0],[10.0 7.0 1.0E9 8.0 11.0],[9.0 6.0 9.0 11.0 8.0],[10.0 12.0 10.0 9.0 14.0],[9.0 6.0 1.0E9 7.0 9.0]]
[[12.0 9.0 1.0E9 11.0 10.0],[8.0 10.0 11.0 8.0 12.0],[7.0 9.0 11.0 11.0 11.0],[9.0 10.0 1.0E9 10.0 15.0],[9.0 11.0 1.0E9 11.0 14.0],[0.0 0.0 0.0 0.0 0.0],[7.0 7.0 1.0E9 10.0 10.0],[7.0 8.0 1.0E9 13.0 9.0],[9.0 7.0 11.0 8.0 9.0],[9.0 9.0 1.0E9 13.0 15.0],[8.0 8.0 10.0 9.0 8.0],[9.0 10.0 1.0E9 13.0 8.0],[11.0 11.0 1.0E9 9.0 10.0],[11.0 8.0 11.0 8.0 12.0],[9.0 7.0 9.0 8.0 8.0],[7.0 12.0 1.0E9 9.0 8.0],[9.0 7.0 12.0 7.0 11.0],[10.0 10.0 12.0 9.0 8.0],[12.0 10.0 1.0E9 14.0 14.0],[10.0 9.0 1.0E9 12.0 12.0],[7.0 7.0 11.0 11.0 12.0],[10.0 6.0 12.0 11.0 14.0],[10.0 9.0 1.0E9 13.0 11.0],[10.0 10.0 10.0 8.0 7.0],[8.0 8.0 12.0 15.0 12.0],[6.0 9.0 1.0E9 11.0 10.0]]
